Date,MeanMaxTemp,MeanMinTemp,MeanRH,MeanWSpeed,MeanWdir,Prec,Pressure
2018-01-01,25.2,17.8,71.0,1.9,345.0,0.0,1010.4
2018-01-02,25.0,16.5,88.0,2.2,49.0,6.2,1012.3
2018-01-03,27.1,17.3,73.0,2.8,100.0,0.0,1011.4
2018-01-04,26.8,20.8,91.0,3.8,52.0,0.4,1008.6
2018-01-05,22.0,18.8,91.0,9.5,16.0,43.2,985.0
2018-01-06,21.8,18.0,87.0,3.7,246.0,14.2,1004.0
2018-01-07,22.6,17.5,72.0,2.5,248.0,0.0,1012.2
2018-01-08,23.8,15.2,67.0,3.2,229.0,0.0,1016.3
2018-01-09,24.4,13.3,78.0,1.2,308.0,0.0,1020.0
2018-01-10,27.4,15.7,74.0,1.2,267.0,0.0,1018.0
2018-01-11,26.5,16.3,77.0,1.9,268.0,0.0,1017.7
2018-01-12,26.6,16.8,85.0,1.3,302.0,0.0,1016.4
2018-01-13,29.1,20.4,78.0,3.4,57.0,0.0,1017.6
2018-01-14,26.3,19.9,84.0,3.6,38.0,0.0,1016.0
2018-01-15,26.8,20.0,77.0,4.1,63.0,0.4,1016.9
2018-01-16,26.8,20.0,75.0,5.4,51.0,0.0,1016.8
2018-01-17,25.7,19.4,73.0,6.8,44.0,0.0,1016.1
2018-01-18,24.8,19.4,95.0,6.2,34.0,11.2,1013.8
2018-01-19,21.2,19.0,92.0,4.6,20.0,21.6,1014.3
2018-01-20,26.3,20.2,81.0,3.3,39.0,0.2,1018.5
2018-01-21,26.7,20.0,87.0,2.6,40.0,0.0,1018.7
2018-01-22,27.1,18.8,95.0,2.9,2.0,11.4,1016.4
2018-01-23,25.3,18.6,90.0,1.7,59.0,4.4,1015.4
2018-01-24,27.4,17.7,84.0,2.0,197.0,8.0,1015.8
2018-01-25,27.0,18.1,86.0,1.8,224.0,0.0,1017.1
2018-01-26,27.0,20.7,83.0,1.2,281.0,0.0,1015.7
2018-01-27,28.4,17.6,83.0,1.2,125.0,0.0,1016.8
2018-01-28,28.0,17.9,83.0,1.7,143.0,1.2,1016.3
2018-01-29,28.8,19.6,77.0,1.8,117.0,0.0,1019.3
2018-01-30,28.1,18.9,78.0,2.9,44.0,0.0,1020.1
2018-01-31,27.3,20.0,71.0,5.4,51.0,0.0,1014.6
2018-02-01,26.8,21.2,85.0,7.6,26.0,0.4,1002.0
2018-02-02,22.6,16.0,78.0,2.6,240.0,31.8,998.6
2018-02-03,24.0,13.7,89.0,2.0,6.0,0.4,1003.0
2018-02-04,22.9,14.6,88.0,2.1,150.0,23.2,1013.8
2018-02-05,23.2,15.8,90.0,1.6,139.0,23.0,1010.5
2018-02-06,25.8,12.4,93.0,1.1,272.0,7.6,1009.9
2018-02-07,24.3,15.1,70.0,2.8,164.0,0.0,1016.1
2018-02-08,25.5,14.7,71.0,3.4,137.0,0.6,1020.3
2018-02-09,22.8,15.0,96.0,3.8,167.0,11.2,1013.4
2018-02-10,21.4,15.9,98.0,2.0,110.0,8.2,1008.4
2018-02-11,22.7,21.2,97.0,4.3,50.0,17.6,1005.2
2018-02-12,23.2,19.5,98.0,2.1,42.0,33.8,1009.2
2018-02-13,27.6,22.1,98.0,2.8,28.0,15.2,1012.6
2018-02-14,23.9,21.0,91.0,2.3,30.0,12.0,1012.5
2018-02-15,26.6,18.4,79.0,2.8,192.0,8.6,1014.3
2018-02-16,26.6,14.2,97.0,0.3,148.0,0.0,1016.2
2018-02-17,29.1,17.6,97.0,0.6,97.0,0.0,1015.1
2018-02-18,26.8,18.2,98.0,0.5,183.0,0.0,1017.0
2018-02-19,27.7,21.1,92.0,0.9,342.0,0.0,1015.1
2018-02-20,28.0,21.3,83.0,5.4,22.0,1.2,1005.8
2018-02-21,26.9,17.9,80.0,2.1,245.0,4.8,1006.6
2018-02-22,24.2,15.7,78.0,2.4,316.0,2.2,1007.3
2018-02-23,23.0,13.1,94.0,1.7,213.0,0.8,1011.1
2018-02-24,24.4,12.4,80.0,0.7,280.0,0.0,1016.5
2018-02-25,24.7,12.0,96.0,0.6,309.0,0.0,1016.8
2018-02-26,27.1,13.9,89.0,1.3,319.0,0.0,1012.5
2018-02-27,25.2,18.6,86.0,0.4,341.0,0.0,1017.1
2018-02-28,25.5,19.6,77.0,5.7,60.0,0.0,1017.0
2018-03-01,23.8,18.8,80.0,5.0,69.0,0.2,1012.8
2018-03-02,25.1,19.0,93.0,4.8,68.0,1.2,1011.1
2018-03-03,26.0,18.9,71.0,4.5,67.0,0.4,1011.3
