Date,BC(370),BC(880),NO,NO2,NOx,PM10,RH,Temp,WS
2017-01-01,,57.0,10.8,12.6,19.1,29.1,85.6,23.0,4.0
2017-01-02,,84.0,1.0,4.4,4.8,16.5,91.9,23.0,4.2
2017-01-03,,73.67,0.0,0.0,0.0,15.1,91.8,23.0,5.8
2017-01-04,,138.67,0.7,1.4,1.9,21.2,83.4,19.0,3.9
2017-01-05,,713.83,14.9,15.2,24.3,55.1,77.5,19.0,1.8
2017-01-06,,54.83,30.9,13.1,44.0,70.1,86.4,20.0,3.2
2017-01-07,,226.83,2.0,7.3,7.9,15.2,70.4,20.0,3.2
2017-01-08,,124.67,0.9,1.6,2.1,14.0,68.9,20.0,3.3
2017-01-09,,118.17,1.0,6.6,7.2,16.9,85.2,21.0,4.3
2017-01-10,,159.17,1.2,3.7,4.6,27.6,91.5,21.0,4.3
2017-01-11,,355.33,1.9,7.8,9.7,939.2,91.9,22.0,3.4
2017-01-12,,342.0,12.0,10.4,22.4,14.8,91.3,23.0,4.5
2017-01-13,,317.0,16.4,15.4,31.8,27.3,87.7,22.0,3.9
2017-01-14,,118.17,11.8,9.6,20.7,22.7,86.3,24.0,2.7
2017-01-15,,324.83,3.5,7.3,10.5,29.4,89.7,24.0,5.6
2017-01-16,,221.17,2.5,4.5,5.6,41.1,85.5,21.0,2.5
2017-01-17,,236.0,8.8,8.9,16.6,27.9,82.6,23.0,2.3
2017-01-18,,610.83,7.4,17.1,24.5,18.9,84.9,23.0,4.2
2017-01-19,,145.33,2.4,6.5,8.8,31.1,89.9,20.0,4.0
2017-01-20,,1607.0,7.8,15.5,21.9,25.6,79.6,20.0,4.1
2017-01-21,,99.67,52.3,25.0,77.3,79.2,89.0,22.0,5.7
2017-01-22,,114.33,0.8,1.1,1.8,32.5,89.7,21.0,6.1
2017-01-23,,261.67,2.5,3.7,6.2,33.5,73.4,20.0,5.1
2017-01-24,,462.67,28.1,17.3,45.3,23.2,76.7,22.0,2.4
2017-01-25,,191.0,20.6,12.9,33.5,28.0,89.5,21.0,4.6
2017-01-26,,138.83,7.2,13.6,20.3,38.4,80.0,21.0,2.6
2017-01-27,,114.0,50.8,20.5,71.4,22.7,81.8,21.0,3.0
2017-01-28,,781.83,14.3,9.6,22.1,22.1,81.5,24.0,1.8
2017-01-29,,103.33,18.7,9.3,25.6,25.4,88.0,24.0,2.7
2017-01-30,,426.17,9.6,11.6,18.3,15.8,84.2,24.0,2.7
2017-01-31,,486.17,18.4,14.5,30.8,14.5,84.1,24.0,2.0
2017-02-01,,483.17,19.7,11.1,30.8,21.5,88.9,22.0,3.6
2017-02-02,,422.33,3.9,11.0,14.9,26.1,89.6,23.0,4.6
2017-02-03,,188.17,14.8,10.5,25.3,20.7,89.8,24.0,3.9
2017-02-04,,132.67,21.4,14.0,28.9,24.5,89.0,23.0,3.2
2017-02-05,,861.5,10.1,12.0,15.6,20.9,85.0,24.0,2.6
2017-02-06,,431.33,9.4,9.3,14.5,22.4,88.9,27.0,3.5
2017-02-07,,,4.0,8.7,12.6,14.4,89.5,26.0,4.1
2017-02-08,,,25.1,26.3,51.5,24.7,90.3,22.0,2.7
2017-02-09,,,26.9,23.8,49.6,15.0,87.4,21.0,2.9
2017-02-10,,,69.3,26.8,93.8,18.9,89.7,21.0,1.5
2017-02-11,,,26.6,19.0,37.9,16.5,89.5,21.0,2.7
2017-02-12,,,26.5,14.3,39.0,18.5,90.8,23.0,4.3
2017-02-13,,,2.1,3.1,5.0,33.4,91.1,25.0,5.9
2017-02-14,,,33.6,33.4,67.0,14.6,91.8,19.0,1.9
2017-02-15,,,37.8,26.8,64.7,30.0,88.5,22.0,1.5
2017-02-16,,,49.8,30.8,80.6,13.0,92.5,20.0,2.2
2017-02-17,,,28.2,46.3,69.8,14.6,91.9,22.0,2.0
2017-02-18,,,16.9,17.0,32.2,16.0,91.4,25.0,2.8
2017-02-19,,,9.1,12.4,18.6,14.9,89.7,25.0,3.4
2017-02-20,,,18.4,28.0,46.4,29.7,91.5,24.0,3.4
2017-02-21,,,46.7,29.0,75.7,28.7,81.8,23.0,3.1
2017-02-22,,,54.1,23.4,72.4,24.0,87.0,25.0,2.1
2017-02-23,,,81.0,59.9,140.9,25.1,88.2,26.0,2.2
2017-02-24,,,41.4,27.2,68.6,19.1,87.4,24.0,1.6
2017-02-25,,,43.2,20.6,63.7,19.9,89.2,25.0,2.6
2017-02-26,,,15.6,14.8,25.6,15.3,89.0,24.0,2.1
2017-02-27,,,82.0,25.6,107.6,18.9,86.1,25.0,2.4
2017-02-28,,,75.0,31.3,106.3,17.1,89.2,25.0,2.6
2017-03-01,,,54.4,28.6,75.5,15.2,88.5,23.0,1.8
2017-03-02,,,62.3,18.4,76.2,18.3,90.2,23.0,1.7
2017-03-03,,,68.1,20.4,85.4,22.9,87.6,23.0,3.2
2017-03-04,,,42.6,16.3,58.9,20.8,90.3,23.0,2.8
2017-03-05,,,3.0,4.2,5.8,23.4,86.5,22.0,2.9
2017-03-06,,,74.8,26.3,100.1,16.7,83.7,23.0,2.8
2017-03-07,,,71.0,28.4,88.9,20.9,90.9,22.0,2.3
2017-03-08,,,30.1,23.2,53.3,9.2,91.6,20.0,4.4
2017-03-09,,,28.2,30.3,54.7,13.8,85.9,21.0,4.7
2017-03-10,,,15.3,18.5,29.4,22.1,93.3,22.0,3.8
2017-03-11,,,38.6,27.6,66.2,21.6,93.7,23.0,2.6
2017-03-12,,,10.0,14.0,21.4,27.7,92.8,22.0,4.8
2017-03-13,,,7.3,15.0,22.3,30.9,89.5,21.0,4.0
2017-03-14,,,4.6,23.9,28.4,17.5,87.1,21.0,2.8
2017-03-15,,,28.6,20.7,42.1,29.5,79.8,21.0,4.0
2017-03-16,,,93.4,29.3,122.6,30.8,83.1,22.0,1.9
2017-03-17,,,93.1,20.9,114.0,20.9,85.8,22.0,2.3
2017-03-18,,,26.6,18.7,45.3,21.8,88.2,22.0,1.6
2017-03-19,,,17.0,30.2,38.2,21.6,89.4,23.0,1.2
2017-03-20,,,108.0,27.9,132.4,22.3,88.4,22.0,3.7
2017-03-21,,,2.5,4.8,5.9,13.6,77.0,21.0,1.8
2017-03-22,,,8.1,11.1,17.5,17.8,82.2,23.0,2.9
2017-03-23,,,17.0,25.8,41.8,17.9,88.0,23.0,2.7
2017-03-24,,,43.4,26.5,66.6,21.4,89.2,23.0,2.9
2017-03-25,,,18.9,15.5,31.6,64.6,89.7,22.0,2.5
2017-03-26,,,12.2,11.2,23.3,23.9,90.3,22.0,3.1
2017-03-27,,,16.1,21.0,32.4,21.5,92.1,24.0,2.8
2017-03-28,,,72.9,23.9,95.0,19.8,91.9,24.0,2.1
2017-03-29,,,9.5,22.4,31.9,18.2,92.4,21.0,3.9
2017-03-30,,,10.6,25.3,35.0,11.8,90.0,23.0,3.1
2017-03-31,,,30.4,22.3,51.5,15.2,87.6,22.0,1.5
2017-04-01,,,74.6,26.2,86.9,20.2,91.3,23.0,2.2
2017-04-02,,,13.4,13.6,24.0,17.1,91.4,23.0,2.6
2017-04-03,1796.33,1444.67,23.8,22.1,45.9,17.7,92.9,25.0,1.6
2017-04-04,4424.67,3477.33,28.8,20.0,48.8,27.7,92.8,23.0,2.8
2017-04-05,240.0,194.67,34.4,25.7,60.1,16.7,93.6,23.0,4.2
2017-04-06,2388.17,1503.33,2.2,3.9,5.9,23.8,77.9,20.0,4.6
2017-04-07,2675.17,2347.17,32.3,26.3,48.9,18.1,88.4,20.0,3.0
2017-04-08,1675.67,1163.0,48.1,24.7,68.7,21.6,91.9,20.0,2.3
2017-04-09,4531.5,3917.5,14.9,20.6,26.6,16.7,89.5,20.0,2.8
2017-04-10,1848.83,1471.17,50.0,44.6,94.6,20.6,85.2,22.0,2.5
2017-04-11,2063.5,1850.67,17.2,25.8,41.5,24.4,85.0,23.0,3.6
2017-04-12,2905.33,2290.0,25.7,31.3,54.9,26.6,91.9,21.0,3.8
2017-04-13,502.67,362.83,32.8,33.3,66.1,18.7,93.4,20.0,3.5
2017-04-14,2685.33,1833.0,3.2,9.6,12.1,23.6,91.6,21.0,2.9
2017-04-15,2533.83,1606.17,30.9,23.3,46.2,0.0,91.3,20.0,4.1
2017-04-16,1151.0,969.67,23.6,30.9,53.1,0.0,90.8,20.0,3.1
2017-04-17,3993.33,3466.83,12.2,23.3,35.5,0.0,91.7,19.0,3.9
2017-04-18,7222.5,5568.17,102.9,28.5,131.4,20.6,90.0,20.0,1.9
2017-04-19,2982.0,2120.5,115.8,31.8,134.3,24.4,91.2,19.0,1.2
2017-04-20,5091.5,4354.5,32.8,34.4,52.1,20.4,89.9,19.0,1.5
2017-04-21,3477.17,2306.83,96.0,47.7,128.8,16.1,90.4,17.0,1.6
2017-04-22,2008.0,1254.33,33.1,45.9,67.2,20.2,86.8,20.0,1.8
2017-04-23,3200.17,2667.33,14.1,20.3,34.4,17.1,89.9,19.0,3.7
2017-04-24,4919.33,2853.0,34.5,36.2,70.7,22.7,85.6,20.0,1.6
2017-04-25,8664.0,6452.83,53.8,37.9,66.2,17.9,90.8,21.0,1.9
2017-04-26,7182.5,5493.67,118.5,53.8,151.4,26.7,90.8,21.0,1.5
2017-04-27,5389.0,4403.0,134.3,49.3,160.9,25.9,90.7,21.0,1.9
2017-04-28,3397.33,2346.83,85.5,35.8,104.1,18.9,91.0,22.0,1.8
2017-04-29,861.0,498.33,39.2,32.8,68.7,22.5,91.5,19.0,2.2
2017-04-30,3453.33,1912.0,5.7,12.9,18.6,24.6,92.2,18.0,4.2
2017-05-01,10427.5,5177.5,156.8,42.5,188.5,24.1,85.1,16.0,2.6
2017-05-02,10834.0,7775.17,244.4,43.9,275.0,27.5,87.5,16.0,1.8
2017-05-03,307.83,235.83,178.3,37.2,206.1,30.4,90.9,16.0,2.4
2017-05-04,6629.33,4106.33,1.4,8.5,9.3,22.9,89.6,17.0,2.9
2017-05-05,8730.67,4408.0,45.8,39.3,85.1,30.6,87.3,18.0,2.6
2017-05-06,6441.17,3419.67,79.5,33.5,95.2,31.9,90.9,18.0,2.1
2017-05-07,7171.0,4748.33,29.5,25.7,41.2,30.4,90.3,18.0,2.4
2017-05-08,9783.17,6609.67,130.4,49.6,158.2,26.2,90.4,20.0,1.7
2017-05-09,6367.5,5136.0,136.7,48.7,161.7,25.2,90.7,20.0,2.2
2017-05-10,2382.33,2075.67,92.8,33.0,123.7,14.9,91.2,19.0,2.3
2017-05-11,1203.83,1042.33,25.6,28.9,50.5,27.4,90.7,19.0,2.6
2017-05-12,12058.5,6047.33,12.8,22.8,34.0,11.2,92.2,19.0,2.0
2017-05-13,7908.83,3180.0,38.7,27.8,66.6,30.6,86.0,16.0,1.6
2017-05-14,4718.0,2692.33,40.7,25.3,49.3,23.0,91.1,17.0,1.4
