Date,AQI,PM10,PM2.5,RH,TEMP,WS
2017-01-01,19,10.9,0.0,85.5,24,2.2
2017-01-02,19,14.5,0.0,91.9,24,2.5
2017-01-03,15,11.6,0.0,92.1,23,3.0
2017-01-04,24,20.1,0.0,85.1,19,4.7
2017-01-05,41,31.0,0.0,75.4,20,3.6
2017-01-06,41,20.9,0.0,84.8,21,3.1
2017-01-07,31,19.3,0.0,63.2,20,3.7
2017-01-08,25,15.1,0.0,65.9,20,3.7
2017-01-09,26,20.5,0.0,81.5,22,3.4
2017-01-10,27,18.2,0.0,87.1,23,3.3
2017-01-11,21,15.6,0.0,88.2,23,2.9
2017-01-12,16,12.7,0.0,92.3,24,2.8
2017-01-13,31,27.6,0.0,85.7,22,3.9
2017-01-14,39,28.2,0.0,79.8,24,2.2
2017-01-15,35,35.3,0.0,86.7,26,3.4
2017-01-16,53,34.7,0.0,83.3,21,4.6
2017-01-17,51,25.8,0.0,81.3,22,4.9
2017-01-18,41,23.7,0.0,83.9,23,3.6
2017-01-19,36,32.7,0.0,89.3,20,4.0
2017-01-20,40,41.5,0.0,82.3,20,3.8
2017-01-21,41,31.3,0.0,88.2,21,1.1
2017-01-22,51,62.6,0.0,91.7,22,4.0
2017-01-23,54,40.7,0.0,77.6,20,4.6
2017-01-24,55,29.2,0.0,73.5,22,2.9
2017-01-25,36,29.5,0.0,86.7,22,3.9
2017-01-26,56,35.6,0.0,71.6,21,4.0
2017-01-27,55,24.5,0.0,72.7,21,3.5
2017-01-28,37,31.2,0.0,80.4,23,3.0
2017-01-29,37,32.0,0.0,88.3,24,3.0
2017-01-30,31,18.5,0.0,81.1,24,3.7
2017-01-31,25,14.7,0.0,82.3,24,3.3
2017-02-01,21,20.4,0.0,90.4,24,2.3
2017-02-02,22,22.0,0.0,86.5,25,3.1
2017-02-03,20,21.0,0.0,88.0,24,3.2
2017-02-04,29,19.3,0.0,89.5,22,3.8
2017-02-05,34,24.7,0.0,84.3,24,2.8
2017-02-06,34,20.8,0.0,90.2,27,3.3
2017-02-07,24,19.6,0.0,83.0,28,3.1
2017-02-08,34,32.7,0.0,87.2,22,2.8
2017-02-09,32,16.7,0.0,86.8,22,2.2
2017-02-10,21,16.9,0.0,84.9,22,2.5
2017-02-11,23,17.9,0.0,80.8,22,3.5
2017-02-12,25,21.6,0.0,91.2,24,2.8
2017-02-13,0,27.1,0.0,91.7,26,3.6
2017-02-14,32,21.8,0.0,91.2,19,1.9
2017-02-15,41,34.1,0.0,87.2,23,3.2
2017-02-16,40,17.7,0.0,92.6,20,2.1
2017-02-17,235,19.9,0.0,92.7,23,1.5
2017-02-18,242,19.4,0.0,92.9,25,1.1
2017-02-19,18,15.3,0.0,92.5,25,1.3
2017-02-20,34,30.2,0.0,88.9,25,1.5
2017-02-21,0,22.8,0.0,84.5,24,1.7
2017-02-22,33,25.5,0.0,87.9,24,3.7
2017-02-23,41,36.7,0.0,87.3,25,1.5
2017-02-24,40,23.3,0.0,87.0,23,0.9
2017-02-25,27,27.8,0.0,90.4,25,3.0
2017-02-26,27,17.5,0.0,87.1,25,2.6
2017-02-27,21,16.6,0.0,87.2,25,1.1
2017-02-28,0,12.9,0.0,89.1,25,1.7
2017-03-01,311,18.4,0.0,92.4,24,1.3
2017-03-02,319,29.9,0.0,93.2,23,3.3
2017-03-03,29,15.6,0.0,89.6,23,2.9
2017-03-04,22,18.8,0.0,85.4,23,3.2
2017-03-05,31,56.0,0.0,87.6,23,3.1
2017-03-06,37,21.9,0.0,84.4,23,3.2
2017-03-07,26,24.2,0.0,92.8,22,1.3
2017-03-08,23,15.4,0.0,92.8,21,4.2
2017-03-09,20,34.9,0.0,85.8,22,3.3
2017-03-10,30,26.1,0.0,93.4,23,1.5
2017-03-11,28,31.4,0.0,93.2,23,0.9
2017-03-12,41,32.0,0.0,91.2,23,3.1
2017-03-13,34,25.8,0.0,89.3,22,3.1
2017-03-14,39,25.4,0.0,85.9,20,3.1
2017-03-15,27,21.8,0.0,87.8,23,2.2
2017-03-16,24,23.7,0.0,84.6,22,1.5
2017-03-17,22,37.4,0.0,90.5,23,1.3
2017-03-18,27,20.4,0.0,85.0,22,4.0
2017-03-19,27,15.3,0.0,90.0,24,2.5
2017-03-20,25,21.6,0.0,90.6,22,3.3
2017-03-21,29,21.2,0.0,82.1,21,4.3
2017-03-22,33,27.3,0.0,87.1,23,3.1
2017-03-23,33,21.0,0.0,87.6,22,2.9
2017-03-24,28,31.0,0.0,89.7,22,1.2
2017-03-25,22,17.0,0.0,89.6,23,0.8
2017-03-26,16,27.4,0.0,91.5,23,1.3
2017-03-27,141,21.4,0.0,93.1,23,1.4
2017-03-28,142,15.5,0.0,90.8,25,1.2
2017-03-29,35,17.0,0.0,92.1,21,2.2
2017-03-30,21,20.1,0.0,92.2,22,2.3
2017-03-31,18,17.3,0.0,89.4,22,2.1
2017-04-01,23,30.1,0.0,92.3,23,0.8
2017-04-02,21,8.8,0.0,92.9,23,0.7
2017-04-03,12,17.3,0.0,93.2,26,1.0
2017-04-04,15,20.6,0.0,92.8,22,2.9
2017-04-05,26,24.7,0.0,93.2,23,2.2
2017-04-06,31,22.0,0.0,77.2,20,3.2
2017-04-07,29,25.6,0.0,87.2,20,3.1
2017-04-08,32,27.0,0.0,92.4,21,1.1
2017-04-09,29,14.5,0.0,87.8,20,2.3
2017-04-10,18,16.5,0.0,90.6,22,1.3
2017-04-11,28,20.3,0.0,86.3,24,0.8
2017-04-12,36,21.7,0.0,92.6,21,1.7
2017-04-13,26,16.0,0.0,92.2,20,2.5
2017-04-14,21,21.2,0.0,90.3,22,2.0
2017-04-15,25,34.6,0.0,91.2,20,2.4
2017-04-16,29,18.1,0.0,91.4,21,2.2
2017-04-17,21,13.0,0.0,91.8,19,3.1
2017-04-18,24,21.4,0.0,91.6,21,1.9
2017-04-19,28,33.1,0.0,92.2,20,3.5
2017-04-20,26,22.4,0.0,92.0,19,3.1
2017-04-21,26,16.2,0.0,90.1,12,0.3
2017-04-22,0,20.8,0.0,0.0,0,0.0
2017-04-23,0,11.2,0.0,0.0,0,0.0
2017-04-24,0,19.6,0.0,86.6,20,3.6
2017-04-25,25,16.8,0.0,92.0,12,0.8
2017-04-26,0,23.3,0.0,0.0,0,0.0
2017-04-27,0,21.7,0.0,88.2,20,1.0
2017-04-28,20,24.0,0.0,92.0,21,1.3
2017-04-29,21,14.6,0.0,92.3,19,1.9
2017-04-30,21,22.0,0.0,92.1,19,4.3
2017-05-01,25,24.7,0.0,86.7,16,4.1
2017-05-02,25,33.0,0.0,90.8,16,1.4
2017-05-03,45,36.5,0.0,92.4,17,2.0
2017-05-04,34,24.6,0.0,88.7,17,4.4
2017-05-05,0,30.6,0.0,89.0,18,3.3
2017-05-06,50,41.6,0.0,91.6,19,1.8
2017-05-07,57,39.9,0.0,91.6,18,1.1
2017-05-08,36,28.4,0.0,91.0,19,0.8
2017-05-09,30,20.5,0.0,93.0,20,0.8
2017-05-10,0,17.8,0.0,89.9,20,1.1
2017-05-11,35,32.0,0.0,90.5,19,0.9
2017-05-12,41,24.7,0.0,92.5,19,3.7
2017-05-13,25,32.4,0.0,89.7,16,2.6
2017-05-14,33,30.8,0.0,92.4,16,3.3
2017-05-15,0,24.9,0.0,90.0,17,1.3
2017-05-16,26,26.3,0.0,85.7,18,1.2
2017-05-17,28,23.2,0.0,91.3,20,1.4
2017-05-18,196,26.4,0.0,88.8,18,3.9
2017-05-19,266,28.2,0.0,83.0,16,3.8
2017-05-20,104,22.7,0.0,81.0,17,5.0
2017-05-21,32,49.8,0.0,89.5,14,2.6
2017-05-22,56,61.6,0.0,91.3,14,0.9
2017-05-23,67,64.5,0.0,91.7,2,0.9
2017-05-24,0,26.0,0.0,91.5,19,2.1
2017-05-25,28,27.8,0.0,93.3,17,0.5
2017-05-26,24,16.6,0.0,91.5,19,2.7
2017-05-27,39,22.5,0.0,92.4,19,1.8
2017-05-28,39,21.2,0.0,92.2,18,1.7
2017-05-29,36,21.2,0.0,92.0,18,2.1
2017-05-30,30,20.5,0.0,90.7,18,1.5
2017-05-31,29,31.1,0.0,91.8,18,2.0
2017-06-01,41,35.0,0.0,92.5,18,1.9
2017-06-02,28,14.0,0.0,90.1,16,2.6
2017-06-03,17,23.6,0.0,89.0,16,2.2
2017-06-04,28,32.1,0.0,92.0,16,2.1
2017-06-05,33,40.9,0.0,92.2,16,1.7
2017-06-06,32,28.0,0.0,93.0,15,1.7
2017-06-07,27,37.7,0.0,92.2,16,2.6
2017-06-08,35,56.4,0.0,93.0,14,2.4
2017-06-09,53,49.5,0.0,92.3,5,2.1
2017-06-10,43,29.0,0.0,0.0,0,0.0
2017-06-11,39,67.9,0.0,0.0,0,0.0
2017-06-12,53,56.2,0.0,0.0,0,0.0
2017-06-13,34,17.1,0.0,0.0,0,0.0
2017-06-14,53,37.6,0.0,63.1,14,3.8
2017-06-15,58,31.9,0.0,81.4,15,2.3
2017-06-16,44,25.9,0.0,91.0,17,2.8
2017-06-17,43,45.4,0.0,92.5,16,1.2
2017-06-18,42,18.8,0.0,92.5,16,1.8
2017-06-19,29,36.9,0.0,90.4,17,1.1
2017-06-20,35,29.0,0.0,91.9,17,1.6
2017-06-21,34,25.3,0.0,73.5,16,2.3
2017-06-22,36,21.4,0.0,90.4,17,2.7
2017-06-23,25,43.7,0.0,92.0,17,1.7
2017-06-24,29,17.9,0.0,92.0,14,3.8
2017-06-25,28,24.6,0.0,89.3,17,2.2
2017-06-26,41,58.1,0.0,91.7,15,3.3
2017-06-27,56,53.6,0.0,92.6,14,2.4
2017-06-28,51,43.2,0.0,92.2,15,1.5
2017-06-29,45,39.7,0.0,90.8,16,1.4
2017-06-30,50,46.2,0.0,92.9,15,1.3
2017-07-01,36,25.4,0.0,89.57,16,1.8
2017-07-02,28,23.0,0.0,92.99,15,1.1
2017-07-03,19,28.8,0.0,92.47,15,2.0
2017-07-04,40,24.6,0.0,92.86,16,3.2
2017-07-05,37,25.1,0.0,91.47,15,0.9
2017-07-06,22,19.0,0.0,91.59,16,1.6
2017-07-07,17,16.9,0.0,91.84,15,1.5
2017-07-08,20,18.6,0.0,92.7,16,1.3
2017-07-09,19,16.3,0.0,92.04,15,2.6
2017-07-10,28,21.7,0.0,89.55,15,3.5
2017-07-11,28,17.5,0.0,92.38,15,2.9
2017-07-12,30,41.2,0.0,91.6,12,2.9
2017-07-13,29,21.2,0.0,83.55,11,5.9
2017-07-14,21,19.0,0.0,83.88,11,5.6
2017-07-15,42,66.7,0.0,91.42,14,3.1
2017-07-16,73,69.6,0.0,91.7,15,1.8
2017-07-17,55,26.6,0.0,91.88,15,1.7
2017-07-18,24,25.9,0.0,89.98,17,1.0
2017-07-19,37,60.1,0.0,91.87,16,1.0
2017-07-20,40,32.6,0.0,91.24,17,2.6
2017-07-21,24,23.5,0.0,88.32,14,3.0
2017-07-22,32,21.9,0.0,88.73,14,2.7
2017-07-23,32,21.6,0.0,90.96,15,2.1
2017-07-24,24,27.1,0.0,90.08,15,2.8
2017-07-25,25,22.4,0.0,90.69,16,3.7
2017-07-26,32,26.0,0.0,88.8,15,3.4
