Date,PM10,TEMP,Temp,WS
2018-01-01,34.8,,,2.9
2018-01-02,14.8,,,3.0
2018-01-03,11.9,,,3.6
2018-01-04,21.9,,,5.8
2018-01-05,39.0,,,6.2
2018-01-06,43.4,,,2.4
2018-01-07,46.2,,,2.5
2018-01-08,29.9,,,2.3
2018-01-09,20.9,,,2.0
2018-01-10,100.5,,,2.0
2018-01-11,20.4,,,1.9
2018-01-12,23.0,,,2.5
2018-01-13,25.1,,,3.2
2018-01-14,13.0,,,3.5
2018-01-15,20.7,,,3.8
2018-01-16,109.4,,,5.3
2018-01-17,43.8,,,6.2
2018-01-18,31.2,,,4.8
2018-01-19,30.5,,,3.8
2018-01-20,24.3,,,2.9
2018-01-21,19.1,,,3.1
2018-01-22,17.2,,,2.6
2018-01-23,15.8,,,1.7
2018-01-24,23.6,,,2.2
2018-01-25,15.8,,,2.0
2018-01-26,24.8,,,1.3
2018-01-27,26.3,,,1.6
2018-01-28,20.4,,,2.7
2018-01-29,24.2,,,3.3
2018-01-30,29.7,,,3.7
2018-01-31,37.1,,,4.8
2018-02-01,36.7,,,6.0
2018-02-02,27.9,,,2.8
2018-02-03,20.0,,,4.9
2018-02-04,17.5,,,2.3
2018-02-05,24.5,,,1.8
2018-02-06,20.0,,,2.3
2018-02-07,32.3,,,4.2
2018-02-08,16.7,,,3.1
2018-02-09,10.2,19.0,,2.4
2018-02-10,72.6,23.0,,3.0
2018-02-11,11.0,23.0,,3.9
2018-02-12,15.1,27.0,,3.3
2018-02-13,29.3,23.0,,3.8
2018-02-14,29.2,25.0,,3.0
2018-02-15,22.3,25.0,,1.7
2018-02-16,22.7,29.0,,2.3
2018-02-17,24.3,26.0,,3.4
2018-02-18,29.4,26.0,,2.3
2018-02-19,28.6,26.0,,2.4
2018-02-20,40.2,26.0,,5.2
2018-02-21,32.0,23.0,,2.4
2018-02-22,28.0,22.0,,2.5
2018-02-23,22.8,22.0,,2.1
2018-02-24,21.4,23.0,,1.7
2018-02-25,22.4,24.0,,1.7
2018-02-26,18.0,23.0,,2.3
2018-02-27,17.7,24.0,,3.3
2018-02-28,24.6,23.0,,4.4
2018-03-01,22.4,24.0,,4.2
2018-03-02,25.4,24.0,,4.2
2018-03-03,35.1,25.0,,4.2
2018-03-04,33.0,25.0,,2.8
2018-03-05,34.4,26.0,,1.6
2018-03-06,33.8,27.0,,1.6
2018-03-07,15.8,25.0,,2.3
2018-03-08,16.4,22.0,,3.0
2018-03-09,19.3,25.0,,1.9
2018-03-10,19.6,23.0,,1.8
2018-03-11,18.5,22.0,,2.6
2018-03-12,17.0,18.0,,2.6
2018-03-13,28.0,22.0,,4.3
2018-03-14,21.2,21.0,,2.2
2018-03-15,28.8,21.0,,1.3
2018-03-16,32.7,22.0,,1.5
2018-03-17,31.0,23.0,,3.2
2018-03-18,18.6,22.0,,3.9
2018-03-19,28.0,23.0,,3.4
2018-03-20,22.3,24.0,,3.5
2018-03-21,30.9,24.0,,2.4
2018-03-22,22.6,24.0,,2.4
2018-03-23,20.7,22.0,,3.6
2018-03-24,18.8,22.0,,3.9
2018-03-25,114.3,22.0,,1.4
2018-03-26,22.5,24.0,,2.9
2018-03-27,14.6,24.0,,2.9
2018-03-28,15.3,23.0,,2.6
2018-03-29,21.0,24.0,,2.2
2018-03-30,15.5,22.0,,1.7
2018-03-31,38.8,22.0,,2.0
2018-04-01,26.6,21.0,,2.0
2018-04-02,19.0,21.0,,1.5
2018-04-03,21.4,23.0,,1.6
2018-04-04,26.3,23.0,,2.4
2018-04-05,23.6,22.0,,2.1
2018-04-06,38.2,23.0,,1.5
2018-04-07,22.7,22.0,,3.1
2018-04-08,27.7,21.0,,2.9
2018-04-09,23.0,21.0,,2.1
2018-04-10,44.0,21.0,,4.1
2018-04-11,42.6,,,
