Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-01-01,2.6,21.7,23.3,14.5,45.0,82.9,4.0
2017-01-02,2.6,6.4,8.0,15.8,13.6,91.6,0.5
2017-01-03,3.9,5.1,8.5,14.6,6.8,92.1,0.7
2017-01-04,21.5,16.1,37.5,23.3,13.6,85.1,1.1
2017-01-05,26.0,25.1,48.0,39.1,14.7,65.7,9.3
2017-01-06,31.8,27.0,58.8,36.3,14.3,76.5,1.4
2017-01-07,14.4,11.9,24.7,18.0,8.1,62.4,0.7
2017-01-08,8.6,5.8,13.9,15.1,14.8,65.7,0.5
2017-01-09,30.4,25.5,55.8,17.9,10.4,80.6,1.3
2017-01-10,25.9,17.1,41.6,16.7,22.3,88.2,1.1
2017-01-11,41.3,23.4,64.7,15.0,7.7,88.6,1.8
2017-01-12,14.9,15.3,26.8,13.5,10.6,90.7,0.9
2017-01-13,36.9,27.3,64.2,30.6,18.2,87.5,1.9
2017-01-14,18.8,21.3,38.3,28.0,12.4,76.9,8.4
2017-01-15,8.2,9.7,17.6,36.5,13.0,88.2,0.7
2017-01-16,38.3,25.9,61.9,40.8,17.4,80.1,1.9
2017-01-17,37.4,32.6,69.9,31.8,19.6,79.7,2.2
2017-01-18,40.7,30.5,71.2,25.0,19.5,81.5,1.8
2017-01-19,29.5,24.2,53.7,36.9,18.5,90.0,1.7
2017-01-20,25.0,23.9,43.1,25.3,22.1,79.8,1.4
2017-01-21,26.5,24.3,46.2,45.5,23.5,90.0,1.4
2017-01-22,4.4,5.8,9.3,57.6,13.7,93.5,0.6
2017-01-23,21.3,14.1,34.5,40.4,23.0,75.5,1.0
2017-01-24,60.5,33.1,92.3,28.0,10.9,71.9,3.1
2017-01-25,20.7,18.6,37.8,39.9,15.3,89.0,1.1
2017-01-26,54.3,34.0,88.3,37.4,17.8,69.0,2.5
2017-01-27,56.7,34.9,91.6,35.5,13.0,70.4,2.5
2017-01-28,27.9,22.4,46.5,30.6,21.9,78.1,2.9
2017-01-29,22.1,19.7,39.7,32.8,17.9,84.6,2.6
2017-01-30,14.8,20.6,35.4,16.0,17.9,78.8,1.0
2017-01-31,32.5,23.8,56.3,21.1,24.5,81.2,1.7
2017-02-01,56.6,18.9,75.5,23.9,22.7,89.0,2.6
