Date,AQI,NO,NO2,NOx,PM10,PM2.5,Temp,WS
2017-01-01,27.0,104.2,52.9,143.2,,,,
2017-01-02,33.0,142.0,64.5,185.5,,,,
2017-01-03,48.0,129.5,93.3,219.2,,,,
2017-01-05,25.0,82.8,47.6,118.0,,,,
2017-01-06,49.0,166.8,95.8,228.5,,,,
2017-01-07,30.0,66.5,57.0,115.1,,,,
2017-01-08,23.0,90.9,44.3,135.1,,,,
2017-01-09,34.0,238.1,88.9,327.0,,,,
2017-01-10,59.0,193.8,114.7,285.0,,,,
2017-01-11,47.0,194.9,90.6,259.5,12.771300448430042,,,
2017-01-12,56.0,246.1,108.3,346.1,,,,
2017-01-13,47.0,240.0,90.7,319.2,,,,
2017-01-14,32.0,116.6,59.4,176.0,,,,
2017-01-15,28.0,122.1,52.3,167.2,,,,
2017-01-16,46.0,96.4,88.4,184.8,,,,
2017-01-17,27.0,97.8,50.6,148.3,,,,
2017-01-18,47.0,188.3,90.2,278.6,,,,
2017-01-19,44.0,206.9,83.1,256.1,,,,
2017-01-20,42.0,249.6,79.7,315.0,,,,
2017-01-21,19.0,41.7,33.5,75.2,,,,
2017-01-22,30.0,163.4,56.8,220.2,,,,
2017-01-23,39.0,180.4,73.4,253.6,26.585062240663117,,,
2017-01-24,53.0,222.4,102.8,270.7,,,,
2017-01-25,61.0,309.2,118.6,427.8,,,,
2017-01-26,42.0,151.1,80.0,206.9,,,,
2017-01-27,46.0,192.8,88.0,280.8,,,,
2017-01-28,22.0,56.9,39.8,92.5,,,,
2017-01-29,35.0,114.1,65.7,179.8,23.62222222222196,,,
2017-01-30,26.0,88.1,47.9,135.9,,,,
2017-01-31,52.0,242.7,99.1,341.8,,,,
2017-02-01,81.0,293.5,162.0,401.1,,,,
2017-02-02,56.0,244.4,111.2,347.7,,,,
2017-02-03,83.0,394.2,163.7,507.0,,,,
2017-02-04,25.0,104.4,49.3,142.7,14.195020746888641,,,
2017-02-05,15.0,57.4,28.4,83.6,,,,
2017-02-06,28.0,85.1,54.4,139.5,,,,
2017-02-07,67.0,210.3,132.3,342.5,,,,
2017-02-08,45.0,147.7,89.7,237.4,,,,
2017-02-09,18.0,58.3,34.8,89.7,,,,
2017-02-10,54.0,140.0,107.0,246.9,13.632286995515786,,,
2017-02-11,38.0,166.7,75.8,230.5,,,,
2017-02-12,,136.0,78.5,208.1,,,,
2017-02-13,69.0,277.1,137.3,414.5,,,,
2017-02-14,64.0,122.7,126.1,248.7,,,,
2017-02-15,36.0,113.4,71.2,172.9,,,,
2017-02-16,29.0,160.2,56.6,216.9,10.452282157675427,,,
2017-02-17,48.0,166.4,95.1,261.5,,,,
2017-02-18,18.0,48.2,35.4,80.7,,,,
2017-02-19,13.0,37.7,25.9,59.8,,,,
2017-02-20,15.0,37.3,29.8,67.1,,,,
2017-02-21,47.0,132.1,92.9,225.0,,,,
2017-02-22,57.0,319.1,112.8,431.8,18.06278026905762,,,
2017-02-23,60.0,105.3,119.6,224.9,,,,
2017-02-24,53.0,187.9,104.6,274.5,,,,
2017-02-25,32.0,136.9,62.3,195.7,,,,
2017-02-26,19.0,89.1,37.8,122.5,,,,
2017-02-27,28.0,58.0,55.8,113.7,,,,
2017-02-28,34.0,67.1,67.1,134.2,8.814159292036235,,,
2017-03-01,51.0,228.8,101.4,298.5,,,,
2017-03-02,37.0,181.6,73.3,238.1,,,,
2017-03-03,24.0,166.7,98.2,253.2,14.5,6.1,,
2017-03-04,23.0,193.1,75.7,255.1,14.0,6.9,,
2017-03-05,31.0,73.1,52.5,125.6,24.4,8.5,,
2017-03-06,37.0,205.0,104.4,281.0,24.0,8.2,,
2017-03-07,29.0,90.7,56.4,140.2,21.5,8.9,,
2017-03-08,29.0,16.7,41.2,41.1,22.2,9.3,,
2017-03-09,23.0,7.6,20.3,20.2,16.8,5.7,,
2017-03-10,41.0,34.8,43.7,76.2,34.1,11.1,,
2017-03-11,41.0,63.2,45.5,103.6,31.0,12.2,,
2017-03-12,49.0,166.8,113.4,232.6,35.6,14.3,,
2017-03-13,41.0,256.9,158.2,415.1,30.2,11.5,,
2017-03-14,44.0,227.3,108.8,296.0,24.6,8.7,,
2017-03-15,31.0,92.8,48.7,137.6,14.8,6.0,,
2017-03-16,28.0,111.1,54.6,163.2,19.2,6.3,,
