Date,NO,NO2,NOx,PM10,PM2.5,RH,Temp
2017-01-01,17.5,24.7,42.2,17.9,14.0,84.2,23.0
2017-01-02,11.1,12.0,20.0,16.9,18.2,93.7,24.0
2017-01-03,11.3,11.0,22.3,12.9,9.3,92.5,24.0
2017-01-04,14.2,13.2,27.4,19.4,9.6,87.1,19.0
2017-01-05,14.5,24.2,38.6,26.1,14.2,70.7,19.0
2017-01-06,37.6,24.7,62.3,23.7,12.9,77.0,20.0
2017-01-07,10.8,13.0,23.3,20.7,7.1,68.3,20.0
2017-01-08,8.6,7.4,14.5,15.0,15.6,69.7,20.0
2017-01-09,18.2,17.8,36.0,23.0,10.2,83.4,21.0
2017-01-10,35.5,25.2,60.7,25.1,13.4,92.7,21.0
2017-01-11,25.3,16.3,41.6,18.5,8.3,93.8,23.0
2017-01-12,48.6,22.9,71.4,17.0,9.4,91.7,24.0
2017-01-13,26.4,20.5,45.7,27.7,16.2,87.5,22.0
2017-01-14,25.5,21.0,46.6,27.4,11.8,82.1,23.0
2017-01-15,12.3,11.3,21.3,32.4,12.4,87.4,26.0
2017-01-16,26.2,22.5,48.7,33.6,20.5,86.9,21.0
2017-01-17,17.7,18.0,35.7,25.4,18.7,82.0,22.0
2017-01-18,50.4,32.1,82.5,23.8,26.0,87.0,23.0
2017-01-19,31.4,25.8,57.2,34.4,15.4,90.8,20.0
2017-01-20,27.0,27.7,54.7,23.9,19.7,76.9,20.0
2017-01-21,101.6,30.5,132.1,36.5,16.9,92.0,21.0
2017-01-22,11.7,7.7,19.4,31.9,14.5,94.2,21.0
2017-01-23,20.5,17.6,38.0,31.6,20.8,77.6,20.0
2017-01-24,59.9,34.0,93.8,24.5,14.4,76.8,22.0
2017-01-25,60.1,25.2,85.3,28.1,10.3,90.8,21.0
2017-01-26,29.3,24.7,54.0,37.6,16.4,75.0,21.0
2017-01-27,63.5,32.1,95.5,23.8,11.0,78.1,21.0
2017-01-28,15.8,18.2,34.0,20.8,20.0,79.7,23.0
2017-01-29,18.4,18.3,34.4,23.2,16.7,86.8,23.0
2017-01-30,12.7,16.9,28.6,23.1,13.0,81.2,23.0
2017-01-31,33.2,22.0,53.8,23.0,19.1,84.3,24.0
2017-02-01,63.7,26.7,90.3,3022.9,14.0,91.2,23.0
2017-02-02,45.1,26.4,71.4,23.1,18.0,88.9,24.0
2017-02-03,32.6,20.3,52.9,17.2,12.0,87.5,24.0
2017-02-04,41.3,28.3,69.6,20.3,10.4,84.4,23.0
2017-02-05,12.2,17.8,29.2,19.7,14.0,83.1,24.0
2017-02-06,26.2,15.0,41.2,26.3,11.7,89.0,27.0
2017-02-07,31.2,15.9,47.1,22.4,16.4,87.9,27.0
2017-02-08,18.5,24.5,42.9,30.0,15.0,92.7,22.0
2017-02-09,22.6,26.7,49.3,23.2,10.6,84.7,22.0
2017-02-10,87.1,38.1,125.2,19.0,12.9,83.4,21.0
2017-02-11,39.5,25.9,65.3,17.3,11.8,87.0,21.0
2017-02-12,34.1,19.1,53.2,105.6,13.2,92.1,24.0
2017-02-13,21.5,15.7,37.0,37.3,13.2,92.4,26.0
2017-02-14,36.6,46.4,83.0,15.1,12.0,93.8,19.0
2017-02-15,36.4,32.8,68.2,26.3,13.9,87.5,22.0
2017-02-16,45.0,40.4,85.4,19.8,11.1,94.8,20.0
2017-02-17,35.3,41.5,76.8,16.2,15.7,94.6,23.0
2017-02-18,17.7,24.4,42.1,14.1,9.5,92.2,24.0
2017-02-19,8.0,6.4,11.5,27.9,9.1,93.9,24.0
2017-02-20,16.2,16.2,32.4,35.9,14.2,93.8,24.0
2017-02-21,20.9,19.4,38.3,24.6,23.8,76.8,23.0
2017-02-22,76.1,32.0,106.8,28.6,12.6,85.4,24.0
2017-02-23,82.5,41.9,124.5,43.8,23.3,85.1,26.0
2017-02-24,62.5,38.0,99.7,25.0,14.3,81.5,24.0
2017-02-25,60.9,25.8,86.1,29.6,14.8,88.2,23.0
2017-02-26,48.7,20.6,69.4,22.4,11.1,88.0,24.0
2017-02-27,129.6,30.9,158.6,19.9,21.4,84.5,25.0
2017-02-28,76.0,36.9,112.8,15.9,14.4,87.7,24.0
2017-03-01,81.2,32.9,108.7,18.6,12.7,91.6,24.0
2017-03-02,66.5,29.9,96.4,18.6,15.0,93.8,22.0
2017-03-03,77.9,36.1,114.0,35.5,30.9,83.4,23.0
2017-03-04,65.9,27.5,93.4,14.4,15.8,89.5,23.0
2017-03-05,12.2,13.5,24.1,20.6,10.6,91.4,22.0
2017-03-06,132.3,45.9,178.1,20.8,15.3,79.7,23.0
2017-03-07,111.5,42.1,153.6,20.5,13.9,93.7,22.0
2017-03-08,16.3,31.5,47.8,36.5,7.0,94.0,21.0
2017-03-09,10.6,10.0,19.5,18.9,18.0,88.5,21.0
2017-03-10,11.7,7.6,17.9,25.3,12.5,95.9,22.0
2017-03-11,7.9,13.9,19.4,25.5,13.5,95.9,23.0
2017-03-12,15.0,23.6,33.4,33.5,16.4,94.4,22.0
2017-03-13,21.9,31.6,46.3,29.2,12.7,91.1,21.0
2017-03-14,64.7,42.8,107.6,21.7,24.8,86.8,21.0
2017-03-15,37.4,30.9,68.2,15.5,13.9,82.2,22.0
2017-03-16,109.9,42.3,152.2,17.0,16.1,83.6,22.0
2017-03-17,174.1,35.7,209.8,22.6,19.2,88.6,22.0
2017-03-18,45.2,29.6,74.8,21.3,16.1,88.8,22.0
2017-03-19,69.0,38.8,94.8,18.7,19.2,89.4,23.0
2017-03-20,120.1,45.3,161.0,29.0,30.6,89.5,22.0
2017-03-21,18.9,18.9,37.0,16.8,12.8,79.1,21.0
2017-03-22,45.1,31.8,76.8,17.9,12.9,88.7,23.0
2017-03-23,33.5,27.8,56.5,25.0,13.8,87.2,22.0
2017-03-24,131.2,44.8,168.8,22.3,27.6,89.3,22.0
2017-03-25,39.8,25.6,59.6,12.6,21.5,91.6,22.0
2017-03-26,6.7,6.6,11.7,40.8,14.4,93.9,22.0
2017-03-27,47.4,30.8,77.9,19.5,9.2,95.5,22.0
2017-03-28,128.0,41.4,169.3,18.9,18.5,94.1,24.0
