Date,allergy_unscaled,allergy_monthly,isPartial,scale,allergy
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,60.0,False,0.6,0.0
2018-01-08,0,60.0,,0.6,0.0
2018-01-09,98,60.0,,0.6,58.8
2018-01-10,49,60.0,,0.6,29.4
2018-01-11,50,60.0,,0.6,30.0
2018-01-12,0,60.0,,0.6,0.0
2018-01-13,59,60.0,,0.6,35.4
2018-01-14,100,46.0,False,0.46,46.0
2018-01-15,0,46.0,,0.46,0.0
2018-01-16,44,46.0,,0.46,20.240000000000002
2018-01-17,0,46.0,,0.46,0.0
2018-01-18,0,46.0,,0.46,0.0
2018-01-19,0,46.0,,0.46,0.0
2018-01-20,0,46.0,,0.46,0.0
2018-01-21,0,19.0,False,0.19,0.0
2018-01-22,43,19.0,,0.19,8.17
2018-01-23,89,19.0,,0.19,16.91
2018-01-24,46,19.0,,0.19,8.74
2018-01-25,48,19.0,,0.19,9.120000000000001
2018-01-26,0,19.0,,0.19,0.0
2018-01-27,0,19.0,,0.19,0.0
2018-01-28,0,37.0,False,0.37,0.0
2018-01-29,0,37.0,,0.37,0.0
2018-01-30,46,37.0,,0.37,17.02
2018-01-31,44,37.0,,0.37,16.28
2018-02-01,45,37.0,,0.37,16.65
2018-02-02,0,37.0,,0.37,0.0
2018-02-03,28,37.0,,0.37,10.36
2018-02-04,26,9.0,False,0.09,2.34
2018-02-05,0,9.0,,0.09,0.0
2018-02-06,100,9.0,,0.09,9.0
2018-02-07,0,9.0,,0.09,0.0
2018-02-08,0,9.0,,0.09,0.0
2018-02-09,50,9.0,,0.09,4.5
2018-02-10,0,9.0,,0.09,0.0
2018-02-11,0,9.0,False,0.09,0.0
2018-02-12,0,9.0,,0.09,0.0
2018-02-13,0,9.0,,0.09,0.0
2018-02-14,23,9.0,,0.09,2.07
2018-02-15,24,9.0,,0.09,2.16
2018-02-16,0,9.0,,0.09,0.0
2018-02-17,0,9.0,,0.09,0.0
2018-02-18,48,18.0,False,0.18,8.64
2018-02-19,0,18.0,,0.18,0.0
2018-02-20,0,18.0,,0.18,0.0
2018-02-21,0,18.0,,0.18,0.0
2018-02-22,0,18.0,,0.18,0.0
2018-02-23,0,18.0,,0.18,0.0
2018-02-24,0,18.0,,0.18,0.0
2018-02-25,75,69.0,False,0.69,51.74999999999999
2018-02-26,21,69.0,,0.69,14.489999999999998
2018-02-27,21,69.0,,0.69,14.489999999999998
2018-02-28,0,69.0,,0.69,0.0
2018-03-01,100,69.0,,0.69,69.0
2018-03-02,41,69.0,,0.69,28.29
2018-03-03,0,69.0,,0.69,0.0
2018-03-04,76,34.0,False,0.34,25.840000000000003
2018-03-05,0,34.0,,0.34,0.0
2018-03-06,0,34.0,,0.34,0.0
2018-03-07,0,34.0,,0.34,0.0
2018-03-08,36,34.0,,0.34,12.24
2018-03-09,0,34.0,,0.34,0.0
2018-03-10,0,34.0,,0.34,0.0
2018-03-11,75,43.0,False,0.43,32.25
2018-03-12,67,43.0,,0.43,28.81
2018-03-13,0,43.0,,0.43,0.0
2018-03-14,69,43.0,,0.43,29.669999999999998
2018-03-15,35,43.0,,0.43,15.049999999999999
2018-03-16,0,43.0,,0.43,0.0
2018-03-17,0,43.0,,0.43,0.0
2018-03-18,39,43.0,False,0.43,16.77
2018-03-19,34,43.0,,0.43,14.62
2018-03-20,35,43.0,,0.43,15.049999999999999
2018-03-21,0,43.0,,0.43,0.0
2018-03-22,0,43.0,,0.43,0.0
2018-03-23,80,43.0,,0.43,34.4
2018-03-24,0,43.0,,0.43,0.0
2018-03-25,77,27.0,False,0.27,20.790000000000003
2018-03-26,0,27.0,,0.27,0.0
2018-03-27,35,27.0,,0.27,9.450000000000001
2018-03-28,35,27.0,,0.27,9.450000000000001
2018-03-29,0,27.0,,0.27,0.0
2018-03-30,0,27.0,,0.27,0.0
2018-03-31,46,27.0,,0.27,12.420000000000002
2018-04-01,41,54.0,False,0.54,22.14
2018-04-02,35,54.0,,0.54,18.900000000000002
2018-04-03,29,54.0,,0.54,15.66
2018-04-04,0,54.0,,0.54,0.0
2018-04-05,58,54.0,,0.54,31.32
2018-04-06,100,54.0,,0.54,54.0
2018-04-07,0,54.0,,0.54,0.0
2018-04-08,32,68.0,False,0.68,21.76
2018-04-09,28,68.0,,0.68,19.040000000000003
2018-04-10,56,68.0,,0.68,38.080000000000005
2018-04-11,0,68.0,,0.68,0.0
2018-04-12,59,68.0,,0.68,40.120000000000005
2018-04-13,34,68.0,,0.68,23.12
2018-04-14,0,68.0,,0.68,0.0
2018-04-15,0,55.0,False,0.55,0.0
2018-04-16,30,55.0,,0.55,16.5
2018-04-17,62,55.0,,0.55,34.1
2018-04-18,0,55.0,,0.55,0.0
2018-04-19,33,55.0,,0.55,18.150000000000002
2018-04-20,0,55.0,,0.55,0.0
2018-04-21,0,55.0,,0.55,0.0
2018-04-22,0,55.0,False,0.55,0.0
2018-04-23,30,55.0,,0.55,16.5
2018-04-24,0,55.0,,0.55,0.0
2018-04-25,34,55.0,,0.55,18.700000000000003
2018-04-26,97,55.0,,0.55,53.35
2018-04-27,33,55.0,,0.55,18.150000000000002
2018-04-28,35,55.0,,0.55,19.25
2018-04-29,63,43.0,False,0.43,27.09
2018-04-30,0,43.0,,0.43,0.0
2018-05-01,0,43.0,,0.43,0.0
2018-05-02,0,43.0,,0.43,0.0
2018-05-03,0,43.0,,0.43,0.0
2018-05-04,100,43.0,,0.43,43.0
2018-05-05,54,43.0,,0.43,23.22
2018-05-06,46,17.0,False,0.17,7.82
2018-05-07,0,17.0,,0.17,0.0
2018-05-08,0,17.0,,0.17,0.0
2018-05-09,0,17.0,,0.17,0.0
2018-05-10,0,17.0,,0.17,0.0
2018-05-11,0,17.0,,0.17,0.0
2018-05-12,0,17.0,,0.17,0.0
2018-05-13,45,52.0,False,0.52,23.400000000000002
2018-05-14,0,52.0,,0.52,0.0
2018-05-15,40,52.0,,0.52,20.8
2018-05-16,41,52.0,,0.52,21.32
2018-05-17,42,52.0,,0.52,21.84
2018-05-18,49,52.0,,0.52,25.48
2018-05-19,0,52.0,,0.52,0.0
2018-05-20,46,44.0,False,0.44,20.24
2018-05-21,40,44.0,,0.44,17.6
2018-05-22,0,44.0,,0.44,0.0
2018-05-23,0,44.0,,0.44,0.0
2018-05-24,83,44.0,,0.44,36.52
2018-05-25,0,44.0,,0.44,0.0
2018-05-26,0,44.0,,0.44,0.0
2018-05-27,0,9.0,False,0.09,0.0
2018-05-28,0,9.0,,0.09,0.0
2018-05-29,0,9.0,,0.09,0.0
2018-05-30,0,9.0,,0.09,0.0
2018-05-31,43,9.0,,0.09,3.8699999999999997
2018-06-01,0,9.0,,0.09,0.0
2018-06-02,0,9.0,,0.09,0.0
2018-06-03,41,80.0,False,0.8,32.800000000000004
2018-06-04,70,80.0,,0.8,56.0
2018-06-05,0,80.0,,0.8,0.0
2018-06-06,66,80.0,,0.8,52.800000000000004
2018-06-07,34,80.0,,0.8,27.200000000000003
2018-06-08,0,80.0,,0.8,0.0
2018-06-09,0,80.0,,0.8,0.0
2018-06-10,76,42.0,False,0.42,31.919999999999998
2018-06-11,63,42.0,,0.42,26.459999999999997
2018-06-12,0,42.0,,0.42,0.0
2018-06-13,0,42.0,,0.42,0.0
2018-06-14,0,42.0,,0.42,0.0
2018-06-15,0,42.0,,0.42,0.0
2018-06-16,0,42.0,,0.42,0.0
2018-06-17,37,61.0,False,0.61,22.57
2018-06-18,32,61.0,,0.61,19.52
2018-06-19,32,61.0,,0.61,19.52
2018-06-20,0,61.0,,0.61,0.0
2018-06-21,100,61.0,,0.61,61.0
2018-06-22,0,61.0,,0.61,0.0
2018-06-23,90,61.0,,0.61,54.9
2018-06-24,38,36.0,False,0.36,13.68
2018-06-25,0,36.0,,0.36,0.0
2018-06-26,0,36.0,,0.36,0.0
2018-06-27,34,36.0,,0.36,12.24
2018-06-28,0,36.0,,0.36,0.0
2018-06-29,0,36.0,,0.36,0.0
2018-06-30,0,36.0,,0.36,0.0
2018-07-01,0,9.0,False,0.09,0.0
2018-07-02,40,9.0,,0.09,3.5999999999999996
2018-07-03,41,9.0,,0.09,3.69
2018-07-04,42,9.0,,0.09,3.78
2018-07-05,0,9.0,,0.09,0.0
2018-07-06,48,9.0,,0.09,4.32
2018-07-07,53,9.0,,0.09,4.77
2018-07-08,94,47.0,False,0.47,44.18
2018-07-09,0,47.0,,0.47,0.0
2018-07-10,43,47.0,,0.47,20.209999999999997
2018-07-11,0,47.0,,0.47,0.0
2018-07-12,0,47.0,,0.47,0.0
2018-07-13,50,47.0,,0.47,23.5
2018-07-14,0,47.0,,0.47,0.0
2018-07-15,94,28.0,False,0.28,26.320000000000004
2018-07-16,45,28.0,,0.28,12.600000000000001
2018-07-17,0,28.0,,0.28,0.0
2018-07-18,0,28.0,,0.28,0.0
2018-07-19,0,28.0,,0.28,0.0
2018-07-20,100,28.0,,0.28,28.000000000000004
2018-07-21,0,28.0,,0.28,0.0
2018-07-22,0,71.0,False,0.71,0.0
2018-07-23,0,71.0,,0.71,0.0
2018-07-24,84,71.0,,0.71,59.64
2018-07-25,39,71.0,,0.71,27.689999999999998
2018-07-26,42,71.0,,0.71,29.82
2018-07-27,98,71.0,,0.71,69.58
2018-07-28,52,71.0,,0.71,36.92
2018-07-29,47,71.0,False,0.71,33.37
2018-07-30,41,71.0,,0.71,29.11
2018-07-31,81,71.0,,0.71,57.51
2018-08-01,32,71.0,,0.71,22.72
2018-08-02,96,71.0,,0.71,68.16
2018-08-03,0,71.0,,0.71,0.0
2018-08-04,44,71.0,,0.71,31.24
2018-08-05,0,88.0,False,0.88,0.0
2018-08-06,96,88.0,,0.88,84.48
2018-08-07,0,88.0,,0.88,0.0
2018-08-08,0,88.0,,0.88,0.0
2018-08-09,100,88.0,,0.88,88.0
2018-08-10,39,88.0,,0.88,34.32
2018-08-11,0,88.0,,0.88,0.0
2018-08-12,0,53.0,False,0.53,0.0
2018-08-13,32,53.0,,0.53,16.96
2018-08-14,0,53.0,,0.53,0.0
2018-08-15,33,53.0,,0.53,17.490000000000002
2018-08-16,33,53.0,,0.53,17.490000000000002
2018-08-17,0,53.0,,0.53,0.0
2018-08-18,90,53.0,,0.53,47.7
2018-08-19,0,27.0,False,0.27,0.0
2018-08-20,32,27.0,,0.27,8.64
2018-08-21,0,27.0,,0.27,0.0
2018-08-22,33,27.0,,0.27,8.91
2018-08-23,0,27.0,,0.27,0.0
2018-08-24,0,27.0,,0.27,0.0
2018-08-25,0,27.0,,0.27,0.0
2018-08-26,39,46.0,False,0.46,17.94
2018-08-27,0,46.0,,0.46,0.0
2018-08-28,34,46.0,,0.46,15.64
2018-08-29,67,46.0,,0.46,30.82
2018-08-30,0,46.0,,0.46,0.0
2018-08-31,41,46.0,,0.46,18.86
2018-09-01,54,46.0,,0.46,24.84
2018-09-02,0,37.0,False,0.37,0.0
2018-09-03,40,37.0,,0.37,14.8
2018-09-04,0,37.0,,0.37,0.0
2018-09-05,0,37.0,,0.37,0.0
2018-09-06,40,37.0,,0.37,14.8
2018-09-07,100,37.0,,0.37,37.0
2018-09-08,0,37.0,,0.37,0.0
2018-09-09,47,100.0,False,1.0,47.0
2018-09-10,41,100.0,,1.0,41.0
2018-09-11,40,100.0,,1.0,40.0
2018-09-12,0,100.0,,1.0,0.0
2018-09-13,43,100.0,,1.0,43.0
2018-09-14,47,100.0,,1.0,47.0
2018-09-15,0,100.0,,1.0,0.0
2018-09-16,47,27.0,False,0.27,12.690000000000001
2018-09-17,81,27.0,,0.27,21.87
2018-09-18,0,27.0,,0.27,0.0
2018-09-19,0,27.0,,0.27,0.0
2018-09-20,83,27.0,,0.27,22.41
2018-09-21,0,27.0,,0.27,0.0
2018-09-22,0,27.0,,0.27,0.0
2018-09-23,47,55.0,False,0.55,25.85
2018-09-24,40,55.0,,0.55,22.0
2018-09-25,40,55.0,,0.55,22.0
2018-09-26,41,55.0,,0.55,22.55
2018-09-27,0,55.0,,0.55,0.0
2018-09-28,51,55.0,,0.55,28.05
2018-09-29,55,55.0,,0.55,30.250000000000004
2018-09-30,50,40.0,False,0.4,20.0
2018-10-01,52,40.0,,0.4,20.8
2018-10-02,51,40.0,,0.4,20.400000000000002
2018-10-03,53,40.0,,0.4,21.200000000000003
2018-10-04,53,40.0,,0.4,21.200000000000003
2018-10-05,62,40.0,,0.4,24.8
2018-10-06,0,40.0,,0.4,0.0
2018-10-07,57,29.0,False,0.29,16.529999999999998
2018-10-08,54,29.0,,0.29,15.659999999999998
2018-10-09,53,29.0,,0.29,15.37
2018-10-10,0,29.0,,0.29,0.0
2018-10-11,0,29.0,,0.29,0.0
2018-10-12,0,29.0,,0.29,0.0
2018-10-13,0,29.0,,0.29,0.0
2018-10-14,0,57.0,False,0.57,0.0
2018-10-15,49,57.0,,0.57,27.929999999999996
2018-10-16,95,57.0,,0.57,54.15
2018-10-17,0,57.0,,0.57,0.0
2018-10-18,100,57.0,,0.57,56.99999999999999
2018-10-19,61,57.0,,0.57,34.769999999999996
2018-10-20,69,57.0,,0.57,39.33
2018-10-21,0,28.0,False,0.28,0.0
2018-10-22,55,28.0,,0.28,15.400000000000002
2018-10-23,0,28.0,,0.28,0.0
2018-10-24,48,28.0,,0.28,13.440000000000001
2018-10-25,98,28.0,,0.28,27.44
2018-10-26,58,28.0,,0.28,16.240000000000002
2018-10-27,54,28.0,,0.28,15.120000000000001
2018-10-28,0,54.0,False,0.54,0.0
2018-10-29,85,54.0,,0.54,45.900000000000006
2018-10-30,47,54.0,,0.54,25.380000000000003
2018-10-31,0,54.0,,0.54,0.0
2018-11-01,0,54.0,,0.54,0.0
2018-11-02,24,54.0,,0.54,12.96
2018-11-03,0,54.0,,0.54,0.0
2018-11-04,0,53.0,False,0.53,0.0
2018-11-05,73,53.0,,0.53,38.690000000000005
2018-11-06,0,53.0,,0.53,0.0
2018-11-07,39,53.0,,0.53,20.67
2018-11-08,38,53.0,,0.53,20.14
2018-11-09,0,53.0,,0.53,0.0
2018-11-10,0,53.0,,0.53,0.0
2018-11-11,22,37.0,False,0.37,8.14
2018-11-12,20,37.0,,0.37,7.4
2018-11-13,20,37.0,,0.37,7.4
2018-11-14,0,37.0,,0.37,0.0
2018-11-15,0,37.0,,0.37,0.0
2018-11-16,100,37.0,,0.37,37.0
2018-11-17,0,37.0,,0.37,0.0
2018-11-18,23,53.0,False,0.53,12.190000000000001
2018-11-19,39,53.0,,0.53,20.67
2018-11-20,40,53.0,,0.53,21.200000000000003
2018-11-21,39,53.0,,0.53,20.67
2018-11-22,21,53.0,,0.53,11.13
2018-11-23,23,53.0,,0.53,12.190000000000001
2018-11-24,0,53.0,,0.53,0.0
2018-11-25,42,55.0,False,0.55,23.1
2018-11-26,0,55.0,,0.55,0.0
2018-11-27,20,55.0,,0.55,11.0
2018-11-28,41,55.0,,0.55,22.55
2018-11-29,0,55.0,,0.55,0.0
2018-11-30,0,55.0,,0.55,0.0
2018-12-01,0,55.0,,0.55,0.0
2018-12-02,0,29.0,False,0.29,0.0
2018-12-03,46,29.0,,0.29,13.34
2018-12-04,0,29.0,,0.29,0.0
2018-12-05,50,29.0,,0.29,14.499999999999998
2018-12-06,0,29.0,,0.29,0.0
2018-12-07,65,29.0,,0.29,18.849999999999998
2018-12-08,0,29.0,,0.29,0.0
2018-12-09,59,70.0,False,0.7,41.3
2018-12-10,100,70.0,,0.7,70.0
2018-12-11,0,70.0,,0.7,0.0
2018-12-12,0,70.0,,0.7,0.0
2018-12-13,55,70.0,,0.7,38.5
2018-12-14,0,70.0,,0.7,0.0
2018-12-15,0,70.0,,0.7,0.0
2018-12-16,59,51.0,False,0.51,30.09
2018-12-17,0,51.0,,0.51,0.0
2018-12-18,0,51.0,,0.51,0.0
2018-12-19,0,51.0,,0.51,0.0
2018-12-20,54,51.0,,0.51,27.54
2018-12-21,63,51.0,,0.51,32.13
2018-12-22,0,51.0,,0.51,0.0
2018-12-23,61,37.0,False,0.37,22.57
2018-12-24,0,37.0,,0.37,0.0
2018-12-25,71,37.0,,0.37,26.27
2018-12-26,0,37.0,,0.37,0.0
2018-12-27,0,37.0,,0.37,0.0
2018-12-28,66,37.0,,0.37,24.419999999999998
2018-12-29,0,37.0,,0.37,0.0
2018-12-30,0,48.0,False,0.48,0.0
2018-12-31,0,48.0,,0.48,0.0
2019-01-01,0,48.0,,0.48,0.0
2019-01-02,0,48.0,,0.48,0.0
2019-01-03,100,48.0,,0.48,48.0
2019-01-04,37,48.0,,0.48,17.759999999999998
2019-01-05,40,48.0,,0.48,19.2
2019-01-06,66,41.0,False,0.41,27.06
2019-01-07,63,41.0,,0.41,25.83
2019-01-08,31,41.0,,0.41,12.709999999999999
2019-01-09,0,41.0,,0.41,0.0
2019-01-10,0,41.0,,0.41,0.0
2019-01-11,34,41.0,,0.41,13.94
2019-01-12,0,41.0,,0.41,0.0
2019-01-13,64,29.0,False,0.29,18.56
2019-01-14,0,29.0,,0.29,0.0
2019-01-15,0,29.0,,0.29,0.0
2019-01-16,0,29.0,,0.29,0.0
2019-01-17,0,29.0,,0.29,0.0
2019-01-18,0,29.0,,0.29,0.0
2019-01-19,74,29.0,,0.29,21.459999999999997
2019-01-20,31,58.0,False,0.58,17.98
2019-01-21,28,58.0,,0.58,16.24
2019-01-22,29,58.0,,0.58,16.82
2019-01-23,0,58.0,,0.58,0.0
2019-01-24,0,58.0,,0.58,0.0
2019-01-25,33,58.0,,0.58,19.139999999999997
2019-01-26,0,58.0,,0.58,0.0
2019-01-27,34,68.0,False,0.68,23.12
2019-01-28,0,68.0,,0.68,0.0
2019-01-29,54,68.0,,0.68,36.720000000000006
2019-01-30,0,68.0,,0.68,0.0
2019-01-31,29,68.0,,0.68,19.720000000000002
