Date,Asthma_unscaled,Asthma_monthly,isPartial,scale,Asthma
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,57,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,20.0,False,0.2,0.0
2018-01-08,0,20.0,,0.2,0.0
2018-01-09,0,20.0,,0.2,0.0
2018-01-10,0,20.0,,0.2,0.0
2018-01-11,0,20.0,,0.2,0.0
2018-01-12,0,20.0,,0.2,0.0
2018-01-13,0,20.0,,0.2,0.0
2018-01-14,56,36.0,False,0.36,20.16
2018-01-15,50,36.0,,0.36,18.0
2018-01-16,100,36.0,,0.36,36.0
2018-01-17,0,36.0,,0.36,0.0
2018-01-18,0,36.0,,0.36,0.0
2018-01-19,59,36.0,,0.36,21.24
2018-01-20,0,36.0,,0.36,0.0
2018-01-21,0,28.0,False,0.28,0.0
2018-01-22,0,28.0,,0.28,0.0
2018-01-23,51,28.0,,0.28,14.280000000000001
2018-01-24,52,28.0,,0.28,14.560000000000002
2018-01-25,0,28.0,,0.28,0.0
2018-01-26,0,28.0,,0.28,0.0
2018-01-27,0,28.0,,0.28,0.0
2018-01-28,0,28.0,False,0.28,0.0
2018-01-29,56,28.0,,0.28,15.680000000000001
2018-01-30,0,28.0,,0.28,0.0
2018-01-31,0,28.0,,0.28,0.0
2018-02-01,39,28.0,,0.28,10.920000000000002
2018-02-02,46,28.0,,0.28,12.88
2018-02-03,100,28.0,,0.28,28.000000000000004
2018-02-04,43,18.0,False,0.18,7.739999999999999
2018-02-05,0,18.0,,0.18,0.0
2018-02-06,0,18.0,,0.18,0.0
2018-02-07,0,18.0,,0.18,0.0
2018-02-08,0,18.0,,0.18,0.0
2018-02-09,0,18.0,,0.18,0.0
2018-02-10,44,18.0,,0.18,7.92
2018-02-11,39,26.0,False,0.26,10.14
2018-02-12,0,26.0,,0.26,0.0
2018-02-13,0,26.0,,0.26,0.0
2018-02-14,39,26.0,,0.26,10.14
2018-02-15,0,26.0,,0.26,0.0
2018-02-16,0,26.0,,0.26,0.0
2018-02-17,0,26.0,,0.26,0.0
2018-02-18,0,44.0,False,0.44,0.0
2018-02-19,74,44.0,,0.44,32.56
2018-02-20,37,44.0,,0.44,16.28
2018-02-21,38,44.0,,0.44,16.72
2018-02-22,40,44.0,,0.44,17.6
2018-02-23,0,44.0,,0.44,0.0
2018-02-24,0,44.0,,0.44,0.0
2018-02-25,42,34.0,False,0.34,14.280000000000001
2018-02-26,0,34.0,,0.34,0.0
2018-02-27,37,34.0,,0.34,12.58
2018-02-28,0,34.0,,0.34,0.0
2018-03-01,0,34.0,,0.34,0.0
2018-03-02,38,34.0,,0.34,12.920000000000002
2018-03-03,0,34.0,,0.34,0.0
2018-03-04,37,26.0,False,0.26,9.620000000000001
2018-03-05,32,26.0,,0.26,8.32
2018-03-06,0,26.0,,0.26,0.0
2018-03-07,32,26.0,,0.26,8.32
2018-03-08,67,26.0,,0.26,17.42
2018-03-09,0,26.0,,0.26,0.0
2018-03-10,0,26.0,,0.26,0.0
2018-03-11,0,60.0,False,0.6,0.0
2018-03-12,0,60.0,,0.6,0.0
2018-03-13,0,60.0,,0.6,0.0
2018-03-14,100,60.0,,0.6,60.0
2018-03-15,33,60.0,,0.6,19.8
2018-03-16,0,60.0,,0.6,0.0
2018-03-17,0,60.0,,0.6,0.0
2018-03-18,0,51.0,False,0.51,0.0
2018-03-19,32,51.0,,0.51,16.32
2018-03-20,33,51.0,,0.51,16.830000000000002
2018-03-21,33,51.0,,0.51,16.830000000000002
2018-03-22,66,51.0,,0.51,33.660000000000004
2018-03-23,0,51.0,,0.51,0.0
2018-03-24,41,51.0,,0.51,20.91
2018-03-25,0,18.0,False,0.18,0.0
2018-03-26,0,18.0,,0.18,0.0
2018-03-27,0,18.0,,0.18,0.0
2018-03-28,0,18.0,,0.18,0.0
2018-03-29,0,18.0,,0.18,0.0
2018-03-30,0,18.0,,0.18,0.0
2018-03-31,0,18.0,,0.18,0.0
2018-04-01,0,18.0,False,0.18,0.0
2018-04-02,0,18.0,,0.18,0.0
2018-04-03,88,18.0,,0.18,15.84
2018-04-04,0,18.0,,0.18,0.0
2018-04-05,0,18.0,,0.18,0.0
2018-04-06,0,18.0,,0.18,0.0
2018-04-07,0,18.0,,0.18,0.0
2018-04-08,0,60.0,False,0.6,0.0
2018-04-09,0,60.0,,0.6,0.0
2018-04-10,43,60.0,,0.6,25.8
2018-04-11,44,60.0,,0.6,26.4
2018-04-12,46,60.0,,0.6,27.599999999999998
2018-04-13,100,60.0,,0.6,60.0
2018-04-14,0,60.0,,0.6,0.0
2018-04-15,49,27.0,False,0.27,13.23
2018-04-16,89,27.0,,0.27,24.03
2018-04-17,46,27.0,,0.27,12.420000000000002
2018-04-18,0,27.0,,0.27,0.0
2018-04-19,0,27.0,,0.27,0.0
2018-04-20,0,27.0,,0.27,0.0
2018-04-21,0,27.0,,0.27,0.0
2018-04-22,0,9.0,False,0.09,0.0
2018-04-23,46,9.0,,0.09,4.14
2018-04-24,0,9.0,,0.09,0.0
2018-04-25,51,9.0,,0.09,4.59
2018-04-26,96,9.0,,0.09,8.64
2018-04-27,0,9.0,,0.09,0.0
2018-04-28,0,9.0,,0.09,0.0
2018-04-29,0,77.0,False,0.77,0.0
2018-04-30,42,77.0,,0.77,32.34
2018-05-01,24,77.0,,0.77,18.48
2018-05-02,24,77.0,,0.77,18.48
2018-05-03,100,77.0,,0.77,77.0
2018-05-04,0,77.0,,0.77,0.0
2018-05-05,0,77.0,,0.77,0.0
2018-05-06,82,76.0,False,0.76,62.32
2018-05-07,0,76.0,,0.76,0.0
2018-05-08,0,76.0,,0.76,0.0
2018-05-09,24,76.0,,0.76,18.240000000000002
2018-05-10,50,76.0,,0.76,38.0
2018-05-11,55,76.0,,0.76,41.8
2018-05-12,30,76.0,,0.76,22.8
2018-05-13,27,51.0,False,0.51,13.77
2018-05-14,0,51.0,,0.51,0.0
2018-05-15,0,51.0,,0.51,0.0
2018-05-16,72,51.0,,0.51,36.72
2018-05-17,25,51.0,,0.51,12.75
2018-05-18,29,51.0,,0.51,14.790000000000001
2018-05-19,0,51.0,,0.51,0.0
2018-05-20,0,26.0,False,0.26,0.0
2018-05-21,71,26.0,,0.26,18.46
2018-05-22,24,26.0,,0.26,6.24
2018-05-23,0,26.0,,0.26,0.0
2018-05-24,0,26.0,,0.26,0.0
2018-05-25,0,26.0,,0.26,0.0
2018-05-26,0,26.0,,0.26,0.0
2018-05-27,0,61.0,False,0.61,0.0
2018-05-28,24,61.0,,0.61,14.64
2018-05-29,0,61.0,,0.61,0.0
2018-05-30,26,61.0,,0.61,15.86
2018-05-31,26,61.0,,0.61,15.86
2018-06-01,59,61.0,,0.61,35.99
2018-06-02,0,61.0,,0.61,0.0
2018-06-03,58,18.0,False,0.18,10.44
2018-06-04,49,18.0,,0.18,8.82
2018-06-05,0,18.0,,0.18,0.0
2018-06-06,47,18.0,,0.18,8.459999999999999
2018-06-07,0,18.0,,0.18,0.0
2018-06-08,59,18.0,,0.18,10.62
2018-06-09,0,18.0,,0.18,0.0
2018-06-10,0,42.0,False,0.42,0.0
2018-06-11,0,42.0,,0.42,0.0
2018-06-12,0,42.0,,0.42,0.0
2018-06-13,89,42.0,,0.42,37.379999999999995
2018-06-14,47,42.0,,0.42,19.74
2018-06-15,0,42.0,,0.42,0.0
2018-06-16,0,42.0,,0.42,0.0
2018-06-17,54,9.0,False,0.09,4.859999999999999
2018-06-18,0,9.0,,0.09,0.0
2018-06-19,0,9.0,,0.09,0.0
2018-06-20,0,9.0,,0.09,0.0
2018-06-21,0,9.0,,0.09,0.0
2018-06-22,58,9.0,,0.09,5.22
2018-06-23,0,9.0,,0.09,0.0
2018-06-24,0,27.0,False,0.27,0.0
2018-06-25,0,27.0,,0.27,0.0
2018-06-26,0,27.0,,0.27,0.0
2018-06-27,0,27.0,,0.27,0.0
2018-06-28,100,27.0,,0.27,27.0
2018-06-29,0,27.0,,0.27,0.0
2018-06-30,0,27.0,,0.27,0.0
2018-07-01,0,18.0,False,0.18,0.0
2018-07-02,30,18.0,,0.18,5.3999999999999995
2018-07-03,32,18.0,,0.18,5.76
2018-07-04,32,18.0,,0.18,5.76
2018-07-05,33,18.0,,0.18,5.9399999999999995
2018-07-06,37,18.0,,0.18,6.66
2018-07-07,0,18.0,,0.18,0.0
2018-07-08,0,37.0,False,0.37,0.0
2018-07-09,66,37.0,,0.37,24.419999999999998
2018-07-10,32,37.0,,0.37,11.84
2018-07-11,0,37.0,,0.37,0.0
2018-07-12,0,37.0,,0.37,0.0
2018-07-13,0,37.0,,0.37,0.0
2018-07-14,42,37.0,,0.37,15.54
2018-07-15,0,47.0,False,0.47,0.0
2018-07-16,34,47.0,,0.47,15.979999999999999
2018-07-17,0,47.0,,0.47,0.0
2018-07-18,100,47.0,,0.47,47.0
2018-07-19,0,47.0,,0.47,0.0
2018-07-20,39,47.0,,0.47,18.33
2018-07-21,0,47.0,,0.47,0.0
2018-07-22,0,18.0,False,0.18,0.0
2018-07-23,32,18.0,,0.18,5.76
2018-07-24,0,18.0,,0.18,0.0
2018-07-25,0,18.0,,0.18,0.0
2018-07-26,0,18.0,,0.18,0.0
2018-07-27,37,18.0,,0.18,6.66
2018-07-28,0,18.0,,0.18,0.0
2018-07-29,70,35.0,False,0.35,24.5
2018-07-30,63,35.0,,0.35,22.049999999999997
2018-07-31,0,35.0,,0.35,0.0
2018-08-01,35,35.0,,0.35,12.25
2018-08-02,0,35.0,,0.35,0.0
2018-08-03,43,35.0,,0.35,15.049999999999999
2018-08-04,0,35.0,,0.35,0.0
2018-08-05,0,35.0,False,0.35,0.0
2018-08-06,0,35.0,,0.35,0.0
2018-08-07,0,35.0,,0.35,0.0
2018-08-08,35,35.0,,0.35,12.25
2018-08-09,0,35.0,,0.35,0.0
2018-08-10,0,35.0,,0.35,0.0
2018-08-11,100,35.0,,0.35,35.0
2018-08-12,42,17.0,False,0.17,7.140000000000001
2018-08-13,0,17.0,,0.17,0.0
2018-08-14,0,17.0,,0.17,0.0
2018-08-15,36,17.0,,0.17,6.12
2018-08-16,73,17.0,,0.17,12.41
2018-08-17,0,17.0,,0.17,0.0
2018-08-18,0,17.0,,0.17,0.0
2018-08-19,0,27.0,False,0.27,0.0
2018-08-20,37,27.0,,0.27,9.99
2018-08-21,37,27.0,,0.27,9.99
2018-08-22,36,27.0,,0.27,9.72
2018-08-23,0,27.0,,0.27,0.0
2018-08-24,0,27.0,,0.27,0.0
2018-08-25,0,27.0,,0.27,0.0
2018-08-26,0,18.0,False,0.18,0.0
2018-08-27,0,18.0,,0.18,0.0
2018-08-28,0,18.0,,0.18,0.0
2018-08-29,0,18.0,,0.18,0.0
2018-08-30,39,18.0,,0.18,7.02
2018-08-31,0,18.0,,0.18,0.0
2018-09-01,0,18.0,,0.18,0.0
2018-09-02,0,9.0,False,0.09,0.0
2018-09-03,28,9.0,,0.09,2.52
2018-09-04,28,9.0,,0.09,2.52
2018-09-05,29,9.0,,0.09,2.61
2018-09-06,0,9.0,,0.09,0.0
2018-09-07,0,9.0,,0.09,0.0
2018-09-08,0,9.0,,0.09,0.0
2018-09-09,0,54.0,False,0.54,0.0
2018-09-10,0,54.0,,0.54,0.0
2018-09-11,28,54.0,,0.54,15.120000000000001
2018-09-12,29,54.0,,0.54,15.66
2018-09-13,58,54.0,,0.54,31.32
2018-09-14,33,54.0,,0.54,17.82
2018-09-15,0,54.0,,0.54,0.0
2018-09-16,33,9.0,False,0.09,2.9699999999999998
2018-09-17,28,9.0,,0.09,2.52
2018-09-18,0,9.0,,0.09,0.0
2018-09-19,0,9.0,,0.09,0.0
2018-09-20,29,9.0,,0.09,2.61
2018-09-21,100,9.0,,0.09,9.0
2018-09-22,77,9.0,,0.09,6.93
2018-09-23,0,28.0,False,0.28,0.0
2018-09-24,0,28.0,,0.28,0.0
2018-09-25,28,28.0,,0.28,7.840000000000001
2018-09-26,0,28.0,,0.28,0.0
2018-09-27,0,28.0,,0.28,0.0
2018-09-28,0,28.0,,0.28,0.0
2018-09-29,0,28.0,,0.28,0.0
2018-09-30,0,0.0,False,0.0,0.0
2018-10-01,36,0.0,,0.0,0.0
2018-10-02,0,0.0,,0.0,0.0
2018-10-03,0,0.0,,0.0,0.0
2018-10-04,0,0.0,,0.0,0.0
2018-10-05,0,0.0,,0.0,0.0
2018-10-06,100,0.0,,0.0,0.0
2018-10-07,40,48.0,False,0.48,19.2
2018-10-08,0,48.0,,0.48,0.0
2018-10-09,0,48.0,,0.48,0.0
2018-10-10,0,48.0,,0.48,0.0
2018-10-11,0,48.0,,0.48,0.0
2018-10-12,0,48.0,,0.48,0.0
2018-10-13,46,48.0,,0.48,22.08
2018-10-14,0,37.0,False,0.37,0.0
2018-10-15,34,37.0,,0.37,12.58
2018-10-16,0,37.0,,0.37,0.0
2018-10-17,34,37.0,,0.37,12.58
2018-10-18,0,37.0,,0.37,0.0
2018-10-19,0,37.0,,0.37,0.0
2018-10-20,0,37.0,,0.37,0.0
2018-10-21,48,46.0,False,0.46,22.080000000000002
2018-10-22,0,46.0,,0.46,0.0
2018-10-23,0,46.0,,0.46,0.0
2018-10-24,0,46.0,,0.46,0.0
2018-10-25,0,46.0,,0.46,0.0
2018-10-26,41,46.0,,0.46,18.86
2018-10-27,0,46.0,,0.46,0.0
2018-10-28,36,18.0,False,0.18,6.4799999999999995
2018-10-29,60,18.0,,0.18,10.799999999999999
2018-10-30,0,18.0,,0.18,0.0
2018-10-31,0,18.0,,0.18,0.0
2018-11-01,0,18.0,,0.18,0.0
2018-11-02,0,18.0,,0.18,0.0
2018-11-03,0,18.0,,0.18,0.0
2018-11-04,0,9.0,False,0.09,0.0
2018-11-05,0,9.0,,0.09,0.0
2018-11-06,0,9.0,,0.09,0.0
2018-11-07,0,9.0,,0.09,0.0
2018-11-08,0,9.0,,0.09,0.0
2018-11-09,0,9.0,,0.09,0.0
2018-11-10,0,9.0,,0.09,0.0
2018-11-11,0,19.0,False,0.19,0.0
2018-11-12,0,19.0,,0.19,0.0
2018-11-13,0,19.0,,0.19,0.0
2018-11-14,35,19.0,,0.19,6.65
2018-11-15,37,19.0,,0.19,7.03
2018-11-16,43,19.0,,0.19,8.17
2018-11-17,0,19.0,,0.19,0.0
2018-11-18,0,54.0,False,0.54,0.0
2018-11-19,0,54.0,,0.54,0.0
2018-11-20,33,54.0,,0.54,17.82
2018-11-21,34,54.0,,0.54,18.36
2018-11-22,69,54.0,,0.54,37.260000000000005
2018-11-23,0,54.0,,0.54,0.0
2018-11-24,0,54.0,,0.54,0.0
2018-11-25,35,27.0,False,0.27,9.450000000000001
2018-11-26,100,27.0,,0.27,27.0
2018-11-27,0,27.0,,0.27,0.0
2018-11-28,0,27.0,,0.27,0.0
2018-11-29,36,27.0,,0.27,9.72
2018-11-30,0,27.0,,0.27,0.0
2018-12-01,92,27.0,,0.27,24.840000000000003
2018-12-02,0,39.0,False,0.39,0.0
2018-12-03,0,39.0,,0.39,0.0
2018-12-04,0,39.0,,0.39,0.0
2018-12-05,76,39.0,,0.39,29.64
2018-12-06,81,39.0,,0.39,31.59
2018-12-07,0,39.0,,0.39,0.0
2018-12-08,0,39.0,,0.39,0.0
2018-12-09,0,20.0,False,0.2,0.0
2018-12-10,0,20.0,,0.2,0.0
2018-12-11,0,20.0,,0.2,0.0
2018-12-12,0,20.0,,0.2,0.0
2018-12-13,0,20.0,,0.2,0.0
2018-12-14,89,20.0,,0.2,17.8
2018-12-15,0,20.0,,0.2,0.0
2018-12-16,91,10.0,False,0.1,9.1
2018-12-17,0,10.0,,0.1,0.0
2018-12-18,0,10.0,,0.1,0.0
2018-12-19,0,10.0,,0.1,0.0
2018-12-20,83,10.0,,0.1,8.3
2018-12-21,0,10.0,,0.1,0.0
2018-12-22,0,10.0,,0.1,0.0
2018-12-23,0,12.0,False,0.12,0.0
2018-12-24,0,12.0,,0.12,0.0
2018-12-25,0,12.0,,0.12,0.0
2018-12-26,0,12.0,,0.12,0.0
2018-12-27,100,12.0,,0.12,12.0
2018-12-28,0,12.0,,0.12,0.0
2018-12-29,0,12.0,,0.12,0.0
2018-12-30,0,0.0,False,0.0,0.0
2018-12-31,0,0.0,,0.0,0.0
2019-01-01,0,0.0,,0.0,0.0
2019-01-02,0,0.0,,0.0,0.0
2019-01-03,0,0.0,,0.0,0.0
2019-01-04,0,0.0,,0.0,0.0
2019-01-05,0,0.0,,0.0,0.0
2019-01-06,0,20.0,False,0.2,0.0
2019-01-07,54,20.0,,0.2,10.8
2019-01-08,54,20.0,,0.2,10.8
2019-01-09,0,20.0,,0.2,0.0
2019-01-10,0,20.0,,0.2,0.0
2019-01-11,0,20.0,,0.2,0.0
2019-01-12,0,20.0,,0.2,0.0
2019-01-13,0,29.0,False,0.29,0.0
2019-01-14,49,29.0,,0.29,14.209999999999999
2019-01-15,50,29.0,,0.29,14.499999999999998
2019-01-16,0,29.0,,0.29,0.0
2019-01-17,0,29.0,,0.29,0.0
2019-01-18,0,29.0,,0.29,0.0
2019-01-19,0,29.0,,0.29,0.0
2019-01-20,0,28.0,False,0.28,0.0
2019-01-21,47,28.0,,0.28,13.160000000000002
2019-01-22,0,28.0,,0.28,0.0
2019-01-23,48,28.0,,0.28,13.440000000000001
2019-01-24,100,28.0,,0.28,28.000000000000004
2019-01-25,0,28.0,,0.28,0.0
2019-01-26,0,28.0,,0.28,0.0
2019-01-27,0,19.0,False,0.19,0.0
2019-01-28,0,19.0,,0.19,0.0
2019-01-29,47,19.0,,0.19,8.93
2019-01-30,0,19.0,,0.19,0.0
2019-01-31,49,19.0,,0.19,9.31
2019-02-01,0,19.0,,0.19,0.0
2019-02-02,0,19.0,,0.19,0.0
2019-02-03,0,19.0,False,0.19,0.0
2019-02-04,0,19.0,,0.19,0.0
