Date,bacteria_unscaled,bacteria_monthly,isPartial,scale,bacteria
2018-01-01,100,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,0.0,False,0.0,0.0
2018-01-08,0,0.0,,0.0,0.0
2018-01-09,0,0.0,,0.0,0.0
2018-01-10,0,0.0,,0.0,0.0
2018-01-11,81,0.0,,0.0,0.0
2018-01-12,0,0.0,,0.0,0.0
2018-01-13,0,0.0,,0.0,0.0
2018-01-14,0,9.0,False,0.09,0.0
2018-01-15,0,9.0,,0.09,0.0
2018-01-16,0,9.0,,0.09,0.0
2018-01-17,0,9.0,,0.09,0.0
2018-01-18,0,9.0,,0.09,0.0
2018-01-19,0,9.0,,0.09,0.0
2018-01-20,99,9.0,,0.09,8.91
2018-01-21,0,0.0,False,0.0,0.0
2018-01-22,0,0.0,,0.0,0.0
2018-01-23,0,0.0,,0.0,0.0
2018-01-24,0,0.0,,0.0,0.0
2018-01-25,0,0.0,,0.0,0.0
2018-01-26,91,0.0,,0.0,0.0
2018-01-27,0,0.0,,0.0,0.0
2018-01-28,0,27.0,False,0.27,0.0
2018-01-29,0,27.0,,0.27,0.0
2018-01-30,76,27.0,,0.27,20.520000000000003
2018-01-31,0,27.0,,0.27,0.0
2018-02-01,0,27.0,,0.27,0.0
2018-02-02,0,27.0,,0.27,0.0
2018-02-03,0,27.0,,0.27,0.0
2018-02-04,0,26.0,False,0.26,0.0
2018-02-05,0,26.0,,0.26,0.0
2018-02-06,70,26.0,,0.26,18.2
2018-02-07,65,26.0,,0.26,16.900000000000002
2018-02-08,100,26.0,,0.26,26.0
2018-02-09,0,26.0,,0.26,0.0
2018-02-10,37,26.0,,0.26,9.620000000000001
2018-02-11,32,26.0,False,0.26,8.32
2018-02-12,62,26.0,,0.26,16.12
2018-02-13,30,26.0,,0.26,7.800000000000001
2018-02-14,32,26.0,,0.26,8.32
2018-02-15,0,26.0,,0.26,0.0
2018-02-16,0,26.0,,0.26,0.0
2018-02-17,0,26.0,,0.26,0.0
2018-02-18,0,42.0,False,0.42,0.0
2018-02-19,31,42.0,,0.42,13.02
2018-02-20,30,42.0,,0.42,12.6
2018-02-21,63,42.0,,0.42,26.459999999999997
2018-02-22,33,42.0,,0.42,13.86
2018-02-23,39,42.0,,0.42,16.38
2018-02-24,43,42.0,,0.42,18.06
2018-02-25,0,58.0,False,0.58,0.0
2018-02-26,30,58.0,,0.58,17.4
2018-02-27,61,58.0,,0.58,35.379999999999995
2018-02-28,0,58.0,,0.58,0.0
2018-03-01,0,58.0,,0.58,0.0
2018-03-02,0,58.0,,0.58,0.0
2018-03-03,100,58.0,,0.58,57.99999999999999
2018-03-04,82,50.0,False,0.5,41.0
2018-03-05,37,50.0,,0.5,18.5
2018-03-06,0,50.0,,0.5,0.0
2018-03-07,37,50.0,,0.5,18.5
2018-03-08,39,50.0,,0.5,19.5
2018-03-09,46,50.0,,0.5,23.0
2018-03-10,0,50.0,,0.5,0.0
2018-03-11,0,34.0,False,0.34,0.0
2018-03-12,0,34.0,,0.34,0.0
2018-03-13,37,34.0,,0.34,12.58
2018-03-14,37,34.0,,0.34,12.58
2018-03-15,77,34.0,,0.34,26.180000000000003
2018-03-16,91,34.0,,0.34,30.94
2018-03-17,0,34.0,,0.34,0.0
2018-03-18,0,25.0,False,0.25,0.0
2018-03-19,0,25.0,,0.25,0.0
2018-03-20,37,25.0,,0.25,9.25
2018-03-21,0,25.0,,0.25,0.0
