Date,breathing_unscaled,breathing_monthly,isPartial,scale,breathing
2018-01-01,0,,,,
2018-01-02,93,,,,
2018-01-03,44,,,,
2018-01-04,41,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,21.0,False,0.21,0.0
2018-01-08,0,21.0,,0.21,0.0
2018-01-09,84,21.0,,0.21,17.64
2018-01-10,0,21.0,,0.21,0.0
2018-01-11,0,21.0,,0.21,0.0
2018-01-12,0,21.0,,0.21,0.0
2018-01-13,0,21.0,,0.21,0.0
2018-01-14,0,30.0,False,0.3,0.0
2018-01-15,0,30.0,,0.3,0.0
2018-01-16,0,30.0,,0.3,0.0
2018-01-17,38,30.0,,0.3,11.4
2018-01-18,38,30.0,,0.3,11.4
2018-01-19,0,30.0,,0.3,0.0
2018-01-20,100,30.0,,0.3,30.0
2018-01-21,42,20.0,False,0.2,8.4
2018-01-22,0,20.0,,0.2,0.0
2018-01-23,0,20.0,,0.2,0.0
2018-01-24,0,20.0,,0.2,0.0
2018-01-25,0,20.0,,0.2,0.0
2018-01-26,0,20.0,,0.2,0.0
2018-01-27,53,20.0,,0.2,10.600000000000001
2018-01-28,0,60.0,False,0.6,0.0
2018-01-29,43,60.0,,0.6,25.8
2018-01-30,0,60.0,,0.6,0.0
2018-01-31,38,60.0,,0.6,22.8
2018-02-01,0,60.0,,0.6,0.0
2018-02-02,0,60.0,,0.6,0.0
2018-02-03,0,60.0,,0.6,0.0
2018-02-04,0,19.0,False,0.19,0.0
2018-02-05,46,19.0,,0.19,8.74
2018-02-06,46,19.0,,0.19,8.74
2018-02-07,0,19.0,,0.19,0.0
2018-02-08,41,19.0,,0.19,7.79
2018-02-09,46,19.0,,0.19,8.74
2018-02-10,47,19.0,,0.19,8.93
2018-02-11,0,76.0,False,0.76,0.0
2018-02-12,0,76.0,,0.76,0.0
2018-02-13,0,76.0,,0.76,0.0
2018-02-14,0,76.0,,0.76,0.0
2018-02-15,44,76.0,,0.76,33.44
2018-02-16,100,76.0,,0.76,76.0
2018-02-17,54,76.0,,0.76,41.04
2018-02-18,0,57.0,False,0.57,0.0
2018-02-19,79,57.0,,0.57,45.029999999999994
2018-02-20,0,57.0,,0.57,0.0
2018-02-21,80,57.0,,0.57,45.599999999999994
2018-02-22,84,57.0,,0.57,47.879999999999995
2018-02-23,49,57.0,,0.57,27.929999999999996
2018-02-24,55,57.0,,0.57,31.349999999999998
2018-02-25,46,28.0,False,0.28,12.88
2018-02-26,38,28.0,,0.28,10.64
2018-02-27,0,28.0,,0.28,0.0
2018-02-28,0,28.0,,0.28,0.0
2018-03-01,0,28.0,,0.28,0.0
2018-03-02,0,28.0,,0.28,0.0
2018-03-03,0,28.0,,0.28,0.0
2018-03-04,0,65.0,False,0.65,0.0
2018-03-05,0,65.0,,0.65,0.0
2018-03-06,39,65.0,,0.65,25.35
2018-03-07,78,65.0,,0.65,50.7
2018-03-08,0,65.0,,0.65,0.0
2018-03-09,0,65.0,,0.65,0.0
2018-03-10,55,65.0,,0.65,35.75
2018-03-11,43,75.0,False,0.75,32.25
2018-03-12,38,75.0,,0.75,28.5
2018-03-13,0,75.0,,0.75,0.0
2018-03-14,40,75.0,,0.75,30.0
2018-03-15,81,75.0,,0.75,60.75
2018-03-16,100,75.0,,0.75,75.0
2018-03-17,0,75.0,,0.75,0.0
2018-03-18,0,18.0,False,0.18,0.0
2018-03-19,0,18.0,,0.18,0.0
2018-03-20,0,18.0,,0.18,0.0
2018-03-21,0,18.0,,0.18,0.0
2018-03-22,0,18.0,,0.18,0.0
2018-03-23,0,18.0,,0.18,0.0
2018-03-24,0,18.0,,0.18,0.0
2018-03-25,44,68.0,False,0.68,29.92
2018-03-26,39,68.0,,0.68,26.520000000000003
2018-03-27,40,68.0,,0.68,27.200000000000003
2018-03-28,0,68.0,,0.68,0.0
2018-03-29,47,68.0,,0.68,31.96
2018-03-30,0,68.0,,0.68,0.0
2018-03-31,53,68.0,,0.68,36.04
2018-04-01,59,39.0,False,0.39,23.01
2018-04-02,99,39.0,,0.39,38.61
2018-04-03,42,39.0,,0.39,16.38
2018-04-04,0,39.0,,0.39,0.0
2018-04-05,0,39.0,,0.39,0.0
2018-04-06,0,39.0,,0.39,0.0
2018-04-07,54,39.0,,0.39,21.060000000000002
2018-04-08,0,9.0,False,0.09,0.0
2018-04-09,39,9.0,,0.09,3.51
2018-04-10,0,9.0,,0.09,0.0
2018-04-11,0,9.0,,0.09,0.0
2018-04-12,0,9.0,,0.09,0.0
2018-04-13,0,9.0,,0.09,0.0
2018-04-14,52,9.0,,0.09,4.68
2018-04-15,0,88.0,False,0.88,0.0
2018-04-16,43,88.0,,0.88,37.84
2018-04-17,0,88.0,,0.88,0.0
2018-04-18,46,88.0,,0.88,40.48
2018-04-19,46,88.0,,0.88,40.48
2018-04-20,0,88.0,,0.88,0.0
2018-04-21,0,88.0,,0.88,0.0
2018-04-22,50,29.0,False,0.29,14.499999999999998
2018-04-23,43,29.0,,0.29,12.469999999999999
2018-04-24,0,29.0,,0.29,0.0
2018-04-25,0,29.0,,0.29,0.0
2018-04-26,46,29.0,,0.29,13.34
2018-04-27,0,29.0,,0.29,0.0
2018-04-28,100,29.0,,0.29,28.999999999999996
2018-04-29,45,28.0,False,0.28,12.600000000000001
