Date,bronchitis_unscaled,bronchitis_monthly,isPartial,scale,bronchitis
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,100,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,0.0,False,0.0,0.0
2018-01-08,0,0.0,,0.0,0.0
2018-01-09,0,0.0,,0.0,0.0
2018-01-10,0,0.0,,0.0,0.0
2018-01-11,0,0.0,,0.0,0.0
2018-01-12,0,0.0,,0.0,0.0
2018-01-13,0,0.0,,0.0,0.0
2018-01-14,0,17.0,False,0.17,0.0
2018-01-15,96,17.0,,0.17,16.32
2018-01-16,0,17.0,,0.17,0.0
2018-01-17,0,17.0,,0.17,0.0
2018-01-18,0,17.0,,0.17,0.0
2018-01-19,0,17.0,,0.17,0.0
2018-01-20,0,17.0,,0.17,0.0
2018-01-21,0,0.0,False,0.0,0.0
2018-01-22,0,0.0,,0.0,0.0
2018-01-23,0,0.0,,0.0,0.0
2018-01-24,0,0.0,,0.0,0.0
2018-01-25,0,0.0,,0.0,0.0
2018-01-26,0,0.0,,0.0,0.0
2018-01-27,0,0.0,,0.0,0.0
2018-01-28,0,0.0,False,0.0,0.0
2018-01-29,0,0.0,,0.0,0.0
2018-01-30,0,0.0,,0.0,0.0
2018-01-31,0,0.0,,0.0,0.0
2018-02-01,0,0.0,,0.0,0.0
2018-02-02,0,0.0,,0.0,0.0
2018-02-03,0,0.0,,0.0,0.0
2018-02-04,0,34.0,False,0.34,0.0
2018-02-05,0,34.0,,0.34,0.0
2018-02-06,0,34.0,,0.34,0.0
2018-02-07,0,34.0,,0.34,0.0
2018-02-08,0,34.0,,0.34,0.0
2018-02-09,0,34.0,,0.34,0.0
2018-02-10,0,34.0,,0.34,0.0
2018-02-11,0,0.0,False,0.0,0.0
2018-02-12,0,0.0,,0.0,0.0
2018-02-13,0,0.0,,0.0,0.0
2018-02-14,0,0.0,,0.0,0.0
2018-02-15,0,0.0,,0.0,0.0
2018-02-16,0,0.0,,0.0,0.0
2018-02-17,0,0.0,,0.0,0.0
2018-02-18,0,0.0,False,0.0,0.0
2018-02-19,0,0.0,,0.0,0.0
2018-02-20,0,0.0,,0.0,0.0
2018-02-21,0,0.0,,0.0,0.0
2018-02-22,0,0.0,,0.0,0.0
2018-02-23,0,0.0,,0.0,0.0
2018-02-24,100,0.0,,0.0,0.0
2018-02-25,0,33.0,False,0.33,0.0
2018-02-26,0,33.0,,0.33,0.0
2018-02-27,0,33.0,,0.33,0.0
2018-02-28,0,33.0,,0.33,0.0
2018-03-01,0,33.0,,0.33,0.0
2018-03-02,0,33.0,,0.33,0.0
2018-03-03,0,33.0,,0.33,0.0
2018-03-04,0,16.0,False,0.16,0.0
2018-03-05,0,16.0,,0.16,0.0
2018-03-06,0,16.0,,0.16,0.0
2018-03-07,0,16.0,,0.16,0.0
2018-03-08,0,16.0,,0.16,0.0
2018-03-09,0,16.0,,0.16,0.0
2018-03-10,0,16.0,,0.16,0.0
2018-03-11,0,17.0,False,0.17,0.0
2018-03-12,0,17.0,,0.17,0.0
2018-03-13,0,17.0,,0.17,0.0
2018-03-14,0,17.0,,0.17,0.0
2018-03-15,0,17.0,,0.17,0.0
2018-03-16,62,17.0,,0.17,10.540000000000001
2018-03-17,0,17.0,,0.17,0.0
2018-03-18,0,0.0,False,0.0,0.0
2018-03-19,0,0.0,,0.0,0.0
2018-03-20,0,0.0,,0.0,0.0
2018-03-21,0,0.0,,0.0,0.0
2018-03-22,0,0.0,,0.0,0.0
2018-03-23,0,0.0,,0.0,0.0
2018-03-24,0,0.0,,0.0,0.0
2018-03-25,0,69.0,False,0.69,0.0
2018-03-26,100,69.0,,0.69,69.0
2018-03-27,52,69.0,,0.69,35.879999999999995
2018-03-28,54,69.0,,0.69,37.26
2018-03-29,0,69.0,,0.69,0.0
2018-03-30,0,69.0,,0.69,0.0
2018-03-31,0,69.0,,0.69,0.0
2018-04-01,0,0.0,False,0.0,0.0
2018-04-02,0,0.0,,0.0,0.0
2018-04-03,90,0.0,,0.0,0.0
2018-04-04,0,0.0,,0.0,0.0
2018-04-05,0,0.0,,0.0,0.0
2018-04-06,0,0.0,,0.0,0.0
2018-04-07,0,0.0,,0.0,0.0
2018-04-08,0,48.0,False,0.48,0.0
2018-04-09,83,48.0,,0.48,39.839999999999996
2018-04-10,0,48.0,,0.48,0.0
2018-04-11,0,48.0,,0.48,0.0
2018-04-12,0,48.0,,0.48,0.0
2018-04-13,0,48.0,,0.48,0.0
2018-04-14,0,48.0,,0.48,0.0
2018-04-15,100,0.0,False,0.0,0.0
2018-04-16,0,0.0,,0.0,0.0
2018-04-17,0,0.0,,0.0,0.0
2018-04-18,0,0.0,,0.0,0.0
2018-04-19,0,0.0,,0.0,0.0
2018-04-20,0,0.0,,0.0,0.0
2018-04-21,0,0.0,,0.0,0.0
2018-04-22,0,17.0,False,0.17,0.0
2018-04-23,92,17.0,,0.17,15.64
2018-04-24,0,17.0,,0.17,0.0
2018-04-25,0,17.0,,0.17,0.0
2018-04-26,0,17.0,,0.17,0.0
2018-04-27,0,17.0,,0.17,0.0
2018-04-28,0,17.0,,0.17,0.0
2018-04-29,0,33.0,False,0.33,0.0
2018-04-30,85,33.0,,0.33,28.05
2018-05-01,0,33.0,,0.33,0.0
2018-05-02,0,33.0,,0.33,0.0
2018-05-03,0,33.0,,0.33,0.0
2018-05-04,0,33.0,,0.33,0.0
2018-05-05,100,33.0,,0.33,33.0
2018-05-06,0,0.0,False,0.0,0.0
2018-05-07,0,0.0,,0.0,0.0
2018-05-08,0,0.0,,0.0,0.0
2018-05-09,0,0.0,,0.0,0.0
2018-05-10,77,0.0,,0.0,0.0
2018-05-11,85,0.0,,0.0,0.0
2018-05-12,0,0.0,,0.0,0.0
2018-05-13,86,65.0,False,0.65,55.9
2018-05-14,0,65.0,,0.65,0.0
2018-05-15,74,65.0,,0.65,48.1
2018-05-16,0,65.0,,0.65,0.0
2018-05-17,0,65.0,,0.65,0.0
2018-05-18,91,65.0,,0.65,59.15
2018-05-19,94,65.0,,0.65,61.1
2018-05-20,0,0.0,False,0.0,0.0
2018-05-21,0,0.0,,0.0,0.0
2018-05-22,0,0.0,,0.0,0.0
2018-05-23,0,0.0,,0.0,0.0
2018-05-24,0,0.0,,0.0,0.0
2018-05-25,0,0.0,,0.0,0.0
2018-05-26,0,0.0,,0.0,0.0
2018-05-27,0,51.0,False,0.51,0.0
2018-05-28,0,51.0,,0.51,0.0
2018-05-29,0,51.0,,0.51,0.0
2018-05-30,0,51.0,,0.51,0.0
2018-05-31,0,51.0,,0.51,0.0
2018-06-01,0,51.0,,0.51,0.0
2018-06-02,100,51.0,,0.51,51.0
2018-06-03,0,0.0,False,0.0,0.0
2018-06-04,0,0.0,,0.0,0.0
2018-06-05,0,0.0,,0.0,0.0
2018-06-06,0,0.0,,0.0,0.0
2018-06-07,0,0.0,,0.0,0.0
2018-06-08,0,0.0,,0.0,0.0
2018-06-09,0,0.0,,0.0,0.0
2018-06-10,0,0.0,False,0.0,0.0
2018-06-11,0,0.0,,0.0,0.0
2018-06-12,35,0.0,,0.0,0.0
2018-06-13,0,0.0,,0.0,0.0
2018-06-14,0,0.0,,0.0,0.0
2018-06-15,0,0.0,,0.0,0.0
2018-06-16,0,0.0,,0.0,0.0
2018-06-17,86,66.0,False,0.66,56.760000000000005
2018-06-18,0,66.0,,0.66,0.0
2018-06-19,0,66.0,,0.66,0.0
2018-06-20,37,66.0,,0.66,24.42
2018-06-21,39,66.0,,0.66,25.740000000000002
2018-06-22,0,66.0,,0.66,0.0
2018-06-23,0,66.0,,0.66,0.0
2018-06-24,0,17.0,False,0.17,0.0
2018-06-25,0,17.0,,0.17,0.0
2018-06-26,0,17.0,,0.17,0.0
2018-06-27,0,17.0,,0.17,0.0
2018-06-28,0,17.0,,0.17,0.0
2018-06-29,48,17.0,,0.17,8.16
2018-06-30,0,17.0,,0.17,0.0
2018-07-01,0,17.0,False,0.17,0.0
2018-07-02,0,17.0,,0.17,0.0
2018-07-03,0,17.0,,0.17,0.0
2018-07-04,39,17.0,,0.17,6.630000000000001
2018-07-05,0,17.0,,0.17,0.0
2018-07-06,0,17.0,,0.17,0.0
2018-07-07,0,17.0,,0.17,0.0
2018-07-08,0,0.0,False,0.0,0.0
2018-07-09,0,0.0,,0.0,0.0
2018-07-10,0,0.0,,0.0,0.0
2018-07-11,0,0.0,,0.0,0.0
2018-07-12,0,0.0,,0.0,0.0
2018-07-13,0,0.0,,0.0,0.0
2018-07-14,100,0.0,,0.0,0.0
2018-07-15,43,18.0,False,0.18,7.739999999999999
2018-07-16,0,18.0,,0.18,0.0
2018-07-17,0,18.0,,0.18,0.0
2018-07-18,40,18.0,,0.18,7.199999999999999
2018-07-19,0,18.0,,0.18,0.0
2018-07-20,0,18.0,,0.18,0.0
2018-07-21,0,18.0,,0.18,0.0
2018-07-22,0,67.0,False,0.67,0.0
2018-07-23,37,67.0,,0.67,24.790000000000003
2018-07-24,0,67.0,,0.67,0.0
2018-07-25,0,67.0,,0.67,0.0
2018-07-26,0,67.0,,0.67,0.0
2018-07-27,44,67.0,,0.67,29.48
2018-07-28,0,67.0,,0.67,0.0
2018-07-29,0,34.0,False,0.34,0.0
2018-07-30,37,34.0,,0.34,12.58
2018-07-31,0,34.0,,0.34,0.0
2018-08-01,0,34.0,,0.34,0.0
2018-08-02,0,34.0,,0.34,0.0
2018-08-03,0,34.0,,0.34,0.0
2018-08-04,0,34.0,,0.34,0.0
2018-08-05,38,67.0,False,0.67,25.46
2018-08-06,0,67.0,,0.67,0.0
2018-08-07,100,67.0,,0.67,67.0
2018-08-08,0,67.0,,0.67,0.0
2018-08-09,0,67.0,,0.67,0.0
2018-08-10,41,67.0,,0.67,27.470000000000002
2018-08-11,46,67.0,,0.67,30.82
2018-08-12,78,100.0,False,1.0,78.0
2018-08-13,0,100.0,,1.0,0.0
2018-08-14,0,100.0,,1.0,0.0
2018-08-15,0,100.0,,1.0,0.0
2018-08-16,34,100.0,,1.0,34.0
2018-08-17,0,100.0,,1.0,0.0
2018-08-18,0,100.0,,1.0,0.0
2018-08-19,0,0.0,False,0.0,0.0
2018-08-20,33,0.0,,0.0,0.0
2018-08-21,0,0.0,,0.0,0.0
2018-08-22,0,0.0,,0.0,0.0
2018-08-23,0,0.0,,0.0,0.0
2018-08-24,0,0.0,,0.0,0.0
2018-08-25,45,0.0,,0.0,0.0
2018-08-26,40,17.0,False,0.17,6.800000000000001
2018-08-27,0,17.0,,0.17,0.0
2018-08-28,0,17.0,,0.17,0.0
2018-08-29,0,17.0,,0.17,0.0
2018-08-30,36,17.0,,0.17,6.12
2018-08-31,0,17.0,,0.17,0.0
2018-09-01,0,17.0,,0.17,0.0
2018-09-02,0,69.0,False,0.69,0.0
2018-09-03,0,69.0,,0.69,0.0
2018-09-04,37,69.0,,0.69,25.529999999999998
2018-09-05,0,69.0,,0.69,0.0
2018-09-06,37,69.0,,0.69,25.529999999999998
2018-09-07,0,69.0,,0.69,0.0
2018-09-08,0,69.0,,0.69,0.0
2018-09-09,0,0.0,False,0.0,0.0
2018-09-10,0,0.0,,0.0,0.0
2018-09-11,0,0.0,,0.0,0.0
2018-09-12,0,0.0,,0.0,0.0
2018-09-13,0,0.0,,0.0,0.0
2018-09-14,43,0.0,,0.0,0.0
2018-09-15,0,0.0,,0.0,0.0
2018-09-16,0,34.0,False,0.34,0.0
2018-09-17,37,34.0,,0.34,12.58
2018-09-18,0,34.0,,0.34,0.0
2018-09-19,0,34.0,,0.34,0.0
2018-09-20,0,34.0,,0.34,0.0
2018-09-21,0,34.0,,0.34,0.0
2018-09-22,100,34.0,,0.34,34.0
2018-09-23,43,0.0,False,0.0,0.0
2018-09-24,37,0.0,,0.0,0.0
2018-09-25,0,0.0,,0.0,0.0
2018-09-26,0,0.0,,0.0,0.0
2018-09-27,0,0.0,,0.0,0.0
2018-09-28,0,0.0,,0.0,0.0
2018-09-29,0,0.0,,0.0,0.0
2018-09-30,0,38.0,False,0.38,0.0
2018-10-01,0,38.0,,0.38,0.0
2018-10-02,0,38.0,,0.38,0.0
2018-10-03,0,38.0,,0.38,0.0
2018-10-04,0,38.0,,0.38,0.0
2018-10-05,0,38.0,,0.38,0.0
2018-10-06,0,38.0,,0.38,0.0
2018-10-07,100,37.0,False,0.37,37.0
2018-10-08,0,37.0,,0.37,0.0
2018-10-09,0,37.0,,0.37,0.0
2018-10-10,0,37.0,,0.37,0.0
2018-10-11,0,37.0,,0.37,0.0
2018-10-12,0,37.0,,0.37,0.0
2018-10-13,0,37.0,,0.37,0.0
2018-10-14,99,18.0,False,0.18,17.82
2018-10-15,0,18.0,,0.18,0.0
2018-10-16,0,18.0,,0.18,0.0
2018-10-17,84,18.0,,0.18,15.12
2018-10-18,0,18.0,,0.18,0.0
2018-10-19,0,18.0,,0.18,0.0
2018-10-20,0,18.0,,0.18,0.0
2018-10-21,0,18.0,False,0.18,0.0
2018-10-22,93,18.0,,0.18,16.74
2018-10-23,0,18.0,,0.18,0.0
2018-10-24,0,18.0,,0.18,0.0
2018-10-25,0,18.0,,0.18,0.0
2018-10-26,0,18.0,,0.18,0.0
2018-10-27,0,18.0,,0.18,0.0
2018-10-28,0,0.0,False,0.0,0.0
2018-10-29,0,0.0,,0.0,0.0
2018-10-30,0,0.0,,0.0,0.0
2018-10-31,0,0.0,,0.0,0.0
2018-11-01,0,0.0,,0.0,0.0
2018-11-02,0,0.0,,0.0,0.0
2018-11-03,0,0.0,,0.0,0.0
2018-11-04,0,17.0,False,0.17,0.0
2018-11-05,0,17.0,,0.17,0.0
2018-11-06,0,17.0,,0.17,0.0
2018-11-07,0,17.0,,0.17,0.0
2018-11-08,0,17.0,,0.17,0.0
2018-11-09,0,17.0,,0.17,0.0
2018-11-10,0,17.0,,0.17,0.0
2018-11-11,0,18.0,False,0.18,0.0
2018-11-12,0,18.0,,0.18,0.0
2018-11-13,0,18.0,,0.18,0.0
2018-11-14,0,18.0,,0.18,0.0
2018-11-15,0,18.0,,0.18,0.0
2018-11-16,0,18.0,,0.18,0.0
2018-11-17,0,18.0,,0.18,0.0
2018-11-18,100,51.0,False,0.51,51.0
2018-11-19,89,51.0,,0.51,45.39
2018-11-20,0,51.0,,0.51,0.0
2018-11-21,0,51.0,,0.51,0.0
2018-11-22,0,51.0,,0.51,0.0
2018-11-23,0,51.0,,0.51,0.0
2018-11-24,0,51.0,,0.51,0.0
2018-11-25,0,0.0,False,0.0,0.0
2018-11-26,0,0.0,,0.0,0.0
2018-11-27,0,0.0,,0.0,0.0
2018-11-28,0,0.0,,0.0,0.0
2018-11-29,0,0.0,,0.0,0.0
2018-11-30,0,0.0,,0.0,0.0
2018-12-01,0,0.0,,0.0,0.0
2018-12-02,0,0.0,False,0.0,0.0
2018-12-03,0,0.0,,0.0,0.0
2018-12-04,0,0.0,,0.0,0.0
2018-12-05,0,0.0,,0.0,0.0
2018-12-06,0,0.0,,0.0,0.0
2018-12-07,0,0.0,,0.0,0.0
2018-12-08,0,0.0,,0.0,0.0
2018-12-09,0,19.0,False,0.19,0.0
2018-12-10,0,19.0,,0.19,0.0
2018-12-11,0,19.0,,0.19,0.0
2018-12-12,0,19.0,,0.19,0.0
2018-12-13,80,19.0,,0.19,15.2
2018-12-14,0,19.0,,0.19,0.0
2018-12-15,0,19.0,,0.19,0.0
2018-12-16,0,0.0,False,0.0,0.0
2018-12-17,0,0.0,,0.0,0.0
2018-12-18,73,0.0,,0.0,0.0
2018-12-19,0,0.0,,0.0,0.0
2018-12-20,0,0.0,,0.0,0.0
2018-12-21,0,0.0,,0.0,0.0
2018-12-22,100,0.0,,0.0,0.0
2018-12-23,0,46.0,False,0.46,0.0
2018-12-24,0,46.0,,0.46,0.0
2018-12-25,0,46.0,,0.46,0.0
2018-12-26,93,46.0,,0.46,42.78
2018-12-27,0,46.0,,0.46,0.0
2018-12-28,0,46.0,,0.46,0.0
2018-12-29,0,46.0,,0.46,0.0
2018-12-30,0,22.0,False,0.22,0.0
2018-12-31,0,22.0,,0.22,0.0
2019-01-01,0,22.0,,0.22,0.0
2019-01-02,0,22.0,,0.22,0.0
2019-01-03,0,22.0,,0.22,0.0
2019-01-04,0,22.0,,0.22,0.0
2019-01-05,0,22.0,,0.22,0.0
2019-01-06,0,0.0,False,0.0,0.0
2019-01-07,0,0.0,,0.0,0.0
2019-01-08,0,0.0,,0.0,0.0
2019-01-09,0,0.0,,0.0,0.0
2019-01-10,0,0.0,,0.0,0.0
2019-01-11,0,0.0,,0.0,0.0
2019-01-12,0,0.0,,0.0,0.0
2019-01-13,0,0.0,False,0.0,0.0
2019-01-14,97,0.0,,0.0,0.0
2019-01-15,0,0.0,,0.0,0.0
2019-01-16,0,0.0,,0.0,0.0
2019-01-17,0,0.0,,0.0,0.0
2019-01-18,0,0.0,,0.0,0.0
2019-01-19,0,0.0,,0.0,0.0
2019-01-20,0,36.0,False,0.36,0.0
2019-01-21,0,36.0,,0.36,0.0
2019-01-22,0,36.0,,0.36,0.0
2019-01-23,0,36.0,,0.36,0.0
2019-01-24,100,36.0,,0.36,36.0
2019-01-25,0,36.0,,0.36,0.0
2019-01-26,0,36.0,,0.36,0.0
2019-01-27,0,0.0,False,0.0,0.0
2019-01-28,0,0.0,,0.0,0.0
2019-01-29,0,0.0,,0.0,0.0
2019-01-30,0,0.0,,0.0,0.0
2019-01-31,0,0.0,,0.0,0.0
2019-02-01,0,0.0,,0.0,0.0
2019-02-02,0,0.0,,0.0,0.0
2019-02-03,0,36.0,False,0.36,0.0
2019-02-04,0,36.0,,0.36,0.0
2019-02-05,0,36.0,,0.36,0.0
2019-02-06,0,36.0,,0.36,0.0
2019-02-07,0,36.0,,0.36,0.0
2019-02-08,0,36.0,,0.36,0.0
2019-02-09,0,36.0,,0.36,0.0
