Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s,MaxTemp,MinTemp,RelHum,WindSpeed,Pressure
2018-01-01,71,25.2,17.8,345.0,1.9,1010.4,0.0,,,,,,23.8,19.9,,0.3208333333333334,1007.9930555555555
2018-01-02,88,25.0,16.5,49.0,2.2,1012.3,6.2,,,,,,25.0,20.0,,0.4993055555555557,1009.3263888888887
2018-01-03,73,27.1,17.3,100.0,2.8,1011.4,0.0,,,,,,24.9,19.7,,0.5729166666666665,1008.4236111111113
2018-01-04,91,26.8,20.8,52.0,3.8,1008.6,0.4,,,,,,22.2,20.1,,0.5763888888888885,1000.7777777777777
2018-01-05,91,22.0,18.8,16.0,9.5,985.0,43.2,,,,,,22.0,19.1,,0.9395833333333335,987.7291666666665
2018-01-06,87,21.8,18.0,246.0,3.7,1004.0,14.2,,,,,,23.2,19.1,,0.34861111111111104,1002.4375
2018-01-07,72,22.6,17.5,248.0,2.5,1012.2,0.0,,,,,,25.7,19.2,,0.4575539568345324,1009.820143884892
2018-01-08,67,23.8,15.2,229.0,3.2,1016.3,0.0,,,,,,25.6,18.4,,0.4631944444444445,1014.2916666666665
2018-01-09,78,24.4,13.3,308.0,1.2,1020.0,0.0,,,,,,27.6,18.3,,0.44166666666666665,1016.2847222222223
2018-01-10,74,27.4,15.7,267.0,1.2,1018.0,0.0,,,,,,28.9,19.5,,0.45625,1015.2638888888887
2018-01-11,77,26.5,16.3,268.0,1.9,1017.7,0.0,,,,,,28.1,20.4,,0.3534722222222222,1014.3958333333335
2018-01-12,85,26.6,16.8,302.0,1.3,1016.4,0.0,,,,,,26.3,20.6,,0.4736111111111112,1013.2291666666665
2018-01-13,78,29.1,20.4,57.0,3.4,1017.6,0.0,,,,,,26.5,21.4,,0.5347222222222221,1014.0486111111113
2018-01-14,84,26.3,19.9,38.0,3.6,1016.0,0.0,,,,,,26.9,20.9,,0.4861111111111109,1013.3611111111113
2018-01-15,77,26.8,20.0,63.0,4.1,1016.9,0.4,,,,,,24.8,21.5,,0.5131944444444445,1014.3333333333335
2018-01-16,75,26.8,20.0,51.0,5.4,1016.8,0.0,,,,,,24.3,20.5,,0.4798611111111112,1014.1527777777777
2018-01-17,73,25.7,19.4,44.0,6.8,1016.1,0.0,,,,,,23.8,20.3,,0.8638888888888889,1013.625
2018-01-18,95,24.8,19.4,34.0,6.2,1013.8,11.2,,,,,,21.7,19.5,,0.7819444444444444,1010.8541666666665
2018-01-19,92,21.2,19.0,20.0,4.6,1014.3,21.6,,,,,,25.0,20.0,,0.7222222222222222,1012.0555555555555
2018-01-20,81,26.3,20.2,39.0,3.3,1018.5,0.2,,,,,,27.6,21.3,,0.5847222222222225,1015.2777777777777
2018-01-21,87,26.7,20.0,40.0,2.6,1018.7,0.0,,,,,,26.2,22.0,,0.5798611111111112,1015.3125
2018-01-22,95,27.1,18.8,2.0,2.9,1016.4,11.4,,,,,,24.8,20.0,,0.4145833333333333,1012.8194444444445
2018-01-23,90,25.3,18.6,59.0,1.7,1015.4,4.4,,,,,,26.9,21.7,,0.4041666666666666,1012.1458333333335
2018-01-24,84,27.4,17.7,197.0,2.0,1015.8,8.0,,,,,,28.3,21.4,,0.4743055555555555,1013.1875
2018-01-25,86,27.0,18.1,224.0,1.8,1017.1,0.0,,,,,,28.6,21.4,,0.4486111111111113,1013.7083333333335
