Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-01-01,71,25.2,17.8,345.0,1.9,1010.4,0.0,,,,,
2018-02-01,88,25.0,16.5,49.0,2.2,1012.3,6.2,,,,,
2018-03-01,73,27.1,17.3,100.0,2.8,1011.4,0.0,,,,,
2018-04-01,91,26.8,20.8,52.0,3.8,1008.6,0.4,,,,,
2018-05-01,91,22.0,18.8,16.0,9.5,985.0,43.2,,,,,
2018-06-01,87,21.8,18.0,246.0,3.7,1004.0,14.2,,,,,
2018-07-01,72,22.6,17.5,248.0,2.5,1012.2,0.0,,,,,
2018-08-01,67,23.8,15.2,229.0,3.2,1016.3,0.0,,,,,
2018-09-01,78,24.4,13.3,308.0,1.2,1020.0,0.0,,,,,
2018-10-01,74,27.4,15.7,267.0,1.2,1018.0,0.0,,,,,
2018-11-01,77,26.5,16.3,268.0,1.9,1017.7,0.0,,,,,
2018-12-01,85,26.6,16.8,302.0,1.3,1016.4,0.0,,,,,
2018-01-13,78,29.1,20.4,57.0,3.4,1017.6,0.0,,,,,
2018-01-14,84,26.3,19.9,38.0,3.6,1016.0,0.0,,,,,
2018-01-15,77,26.8,20.0,63.0,4.1,1016.9,0.4,,,,,
2018-01-16,75,26.8,20.0,51.0,5.4,1016.8,0.0,,,,,
2018-01-17,73,25.7,19.4,44.0,6.8,1016.1,0.0,,,,,
2018-01-18,95,24.8,19.4,34.0,6.2,1013.8,11.2,,,,,
2018-01-19,92,21.2,19.0,20.0,4.6,1014.3,21.6,,,,,
2018-01-20,81,26.3,20.2,39.0,3.3,1018.5,0.2,,,,,
2018-01-21,87,26.7,20.0,40.0,2.6,1018.7,0.0,,,,,
2018-01-22,95,27.1,18.8,2.0,2.9,1016.4,11.4,,,,,
2018-01-23,90,25.3,18.6,59.0,1.7,1015.4,4.4,,,,,
2018-01-24,84,27.4,17.7,197.0,2.0,1015.8,8.0,,,,,
2018-01-25,86,27.0,18.1,224.0,1.8,1017.1,0.0,,,,,
2018-01-26,83,27.0,20.7,281.0,1.2,1015.7,0.0,,,,,
2018-01-27,83,28.4,17.6,125.0,1.2,1016.8,0.0,,,,,
2018-01-28,83,28.0,17.9,143.0,1.7,1016.3,1.2,,,,,
2018-01-29,77,28.8,19.6,117.0,1.8,1019.3,0.0,,,,,
2018-01-30,78,28.1,18.9,44.0,2.9,1020.1,0.0,,,,,
2018-01-31,71,27.3,20.0,51.0,5.4,1014.6,0.0,,,,,
2018-01-02,85,26.8,21.2,26.0,7.6,1002.0,0.4,,,,,
2018-02-02,78,22.6,16.0,240.0,2.6,998.6,31.8,,,,,
2018-03-02,89,24.0,13.7,6.0,2.0,1003.0,0.4,,,,,
2018-04-02,88,22.9,14.6,150.0,2.1,1013.8,23.2,,,,,
2018-05-02,90,23.2,15.8,139.0,1.6,1010.5,23.0,,,,,
2018-06-02,93,25.8,12.4,272.0,1.1,1009.9,7.6,,,,,
2018-07-02,70,24.3,15.1,164.0,2.8,1016.1,0.0,,,,,
