Date,cough_unscaled,cough_monthly,isPartial,scale,cough
2018-01-01,55,,,,
2018-01-02,50,,,,
2018-01-03,46,,,,
2018-01-04,87,,,,
2018-01-05,0,,,,
2018-01-06,53,,,,
2018-01-07,50,39.0,False,0.39,19.5
2018-01-08,45,39.0,,0.39,17.55
2018-01-09,45,39.0,,0.39,17.55
2018-01-10,0,39.0,,0.39,0.0
2018-01-11,90,39.0,,0.39,35.1
2018-01-12,100,39.0,,0.39,39.0
2018-01-13,0,39.0,,0.39,0.0
2018-01-14,0,41.0,False,0.41,0.0
2018-01-15,41,41.0,,0.41,16.81
2018-01-16,41,41.0,,0.41,16.81
2018-01-17,0,41.0,,0.41,0.0
2018-01-18,0,41.0,,0.41,0.0
2018-01-19,0,41.0,,0.41,0.0
2018-01-20,56,41.0,,0.41,22.959999999999997
2018-01-21,45,15.0,False,0.15,6.75
2018-01-22,0,15.0,,0.15,0.0
2018-01-23,0,15.0,,0.15,0.0
2018-01-24,42,15.0,,0.15,6.3
2018-01-25,86,15.0,,0.15,12.9
2018-01-26,0,15.0,,0.15,0.0
2018-01-27,57,15.0,,0.15,8.549999999999999
2018-01-28,0,41.0,False,0.41,0.0
2018-01-29,91,41.0,,0.41,37.309999999999995
2018-01-30,0,41.0,,0.41,0.0
2018-01-31,0,41.0,,0.41,0.0
2018-02-01,71,41.0,,0.41,29.11
2018-02-02,0,41.0,,0.41,0.0
2018-02-03,0,41.0,,0.41,0.0
2018-02-04,0,20.0,False,0.2,0.0
2018-02-05,0,20.0,,0.2,0.0
2018-02-06,51,20.0,,0.2,10.200000000000001
2018-02-07,0,20.0,,0.2,0.0
2018-02-08,24,20.0,,0.2,4.800000000000001
2018-02-09,26,20.0,,0.2,5.2
2018-02-10,54,20.0,,0.2,10.8
2018-02-11,0,39.0,False,0.39,0.0
2018-02-12,0,39.0,,0.39,0.0
2018-02-13,67,39.0,,0.39,26.130000000000003
2018-02-14,0,39.0,,0.39,0.0
2018-02-15,0,39.0,,0.39,0.0
2018-02-16,0,39.0,,0.39,0.0
2018-02-17,31,39.0,,0.39,12.09
2018-02-18,100,24.0,False,0.24,24.0
2018-02-19,44,24.0,,0.24,10.559999999999999
2018-02-20,0,24.0,,0.24,0.0
2018-02-21,22,24.0,,0.24,5.279999999999999
2018-02-22,73,24.0,,0.24,17.52
2018-02-23,0,24.0,,0.24,0.0
2018-02-24,0,24.0,,0.24,0.0
2018-02-25,0,28.0,False,0.28,0.0
2018-02-26,66,28.0,,0.28,18.48
2018-02-27,0,28.0,,0.28,0.0
2018-02-28,0,28.0,,0.28,0.0
2018-03-01,41,28.0,,0.28,11.48
2018-03-02,0,28.0,,0.28,0.0
2018-03-03,29,28.0,,0.28,8.120000000000001
2018-03-04,24,24.0,False,0.24,5.76
2018-03-05,43,24.0,,0.24,10.32
2018-03-06,21,24.0,,0.24,5.04
2018-03-07,0,24.0,,0.24,0.0
2018-03-08,22,24.0,,0.24,5.279999999999999
2018-03-09,53,24.0,,0.24,12.719999999999999
2018-03-10,29,24.0,,0.24,6.96
2018-03-11,47,48.0,False,0.48,22.56
2018-03-12,21,48.0,,0.48,10.08
2018-03-13,21,48.0,,0.48,10.08
2018-03-14,43,48.0,,0.48,20.64
2018-03-15,44,48.0,,0.48,21.119999999999997
2018-03-16,53,48.0,,0.48,25.439999999999998
2018-03-17,86,48.0,,0.48,41.28
2018-03-18,24,62.0,False,0.62,14.879999999999999
2018-03-19,64,62.0,,0.62,39.68
2018-03-20,21,62.0,,0.62,13.02
2018-03-21,44,62.0,,0.62,27.28
2018-03-22,0,62.0,,0.62,0.0
2018-03-23,100,62.0,,0.62,62.0
2018-03-24,27,62.0,,0.62,16.74
2018-03-25,0,45.0,False,0.45,0.0
2018-03-26,21,45.0,,0.45,9.450000000000001
2018-03-27,0,45.0,,0.45,0.0
2018-03-28,0,45.0,,0.45,0.0
2018-03-29,76,45.0,,0.45,34.2
2018-03-30,29,45.0,,0.45,13.05
2018-03-31,29,45.0,,0.45,13.05
2018-04-01,35,50.0,False,0.5,17.5
2018-04-02,0,50.0,,0.5,0.0
2018-04-03,50,50.0,,0.5,25.0
2018-04-04,0,50.0,,0.5,0.0
2018-04-05,100,50.0,,0.5,50.0
2018-04-06,29,50.0,,0.5,14.5
2018-04-07,32,50.0,,0.5,16.0
2018-04-08,27,33.0,False,0.33,8.91
