Date,Asthma inhaler_unscaled,Asthma inhaler_monthly,isPartial,scale,Asthma inhaler
2018-02-01,0,,,,
2018-02-02,0,,,,
2018-02-03,100,,,,
2018-02-04,0,0.0,False,0.0,0.0
2018-02-05,0,0.0,,0.0,0.0
2018-02-06,0,0.0,,0.0,0.0
2018-02-07,0,0.0,,0.0,0.0
2018-02-08,0,0.0,,0.0,0.0
2018-02-09,0,0.0,,0.0,0.0
2018-02-10,0,0.0,,0.0,0.0
2018-02-11,0,49.0,False,0.49,0.0
2018-02-12,0,49.0,,0.49,0.0
2018-02-13,0,49.0,,0.49,0.0
2018-02-14,0,49.0,,0.49,0.0
2018-02-15,0,49.0,,0.49,0.0
2018-02-16,0,49.0,,0.49,0.0
2018-02-17,0,49.0,,0.49,0.0
2018-02-18,0,49.0,False,0.49,0.0
2018-02-19,0,49.0,,0.49,0.0
2018-02-20,73,49.0,,0.49,35.769999999999996
2018-02-21,0,49.0,,0.49,0.0
2018-02-22,0,49.0,,0.49,0.0
2018-02-23,0,49.0,,0.49,0.0
2018-02-24,0,49.0,,0.49,0.0
2018-02-25,0,0.0,False,0.0,0.0
2018-02-26,0,0.0,,0.0,0.0
2018-02-27,0,0.0,,0.0,0.0
2018-02-28,0,0.0,,0.0,0.0
2018-03-01,0,0.0,,0.0,0.0
2018-03-02,0,0.0,,0.0,0.0
2018-03-03,0,0.0,,0.0,0.0
2018-03-04,0,0.0,False,0.0,0.0
2018-03-05,0,0.0,,0.0,0.0
2018-03-06,0,0.0,,0.0,0.0
2018-03-07,0,0.0,,0.0,0.0
2018-03-08,0,0.0,,0.0,0.0
2018-03-09,100,0.0,,0.0,0.0
2018-03-10,0,0.0,,0.0,0.0
2018-03-11,0,0.0,False,0.0,0.0
2018-03-12,0,0.0,,0.0,0.0
2018-03-13,0,0.0,,0.0,0.0
2018-03-14,0,0.0,,0.0,0.0
2018-03-15,0,0.0,,0.0,0.0
2018-03-16,0,0.0,,0.0,0.0
2018-03-17,0,0.0,,0.0,0.0
2018-03-18,92,47.0,False,0.47,43.239999999999995
2018-03-19,0,47.0,,0.47,0.0
2018-03-20,0,47.0,,0.47,0.0
2018-03-21,0,47.0,,0.47,0.0
2018-03-22,0,47.0,,0.47,0.0
2018-03-23,0,47.0,,0.47,0.0
2018-03-24,0,47.0,,0.47,0.0
2018-03-25,0,0.0,False,0.0,0.0
2018-03-26,81,0.0,,0.0,0.0
