Date,lungs_unscaled,lungs_monthly,isPartial,scale,lungs
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,86,,,,
2018-01-04,81,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,0,0.0,False,0.0,0.0
2018-01-08,0,0.0,,0.0,0.0
2018-01-09,0,0.0,,0.0,0.0
2018-01-10,0,0.0,,0.0,0.0
2018-01-11,0,0.0,,0.0,0.0
2018-01-12,0,0.0,,0.0,0.0
2018-01-13,100,0.0,,0.0,0.0
2018-01-14,0,12.0,False,0.12,0.0
2018-01-15,0,12.0,,0.12,0.0
2018-01-16,0,12.0,,0.12,0.0
2018-01-17,0,12.0,,0.12,0.0
2018-01-18,0,12.0,,0.12,0.0
2018-01-19,0,12.0,,0.12,0.0
2018-01-20,0,12.0,,0.12,0.0
2018-01-21,0,12.0,False,0.12,0.0
2018-01-22,0,12.0,,0.12,0.0
2018-01-23,75,12.0,,0.12,9.0
2018-01-24,0,12.0,,0.12,0.0
2018-01-25,0,12.0,,0.12,0.0
2018-01-26,0,12.0,,0.12,0.0
2018-01-27,0,12.0,,0.12,0.0
2018-01-28,0,12.0,False,0.12,0.0
2018-01-29,0,12.0,,0.12,0.0
2018-01-30,0,12.0,,0.12,0.0
2018-01-31,74,12.0,,0.12,8.879999999999999
2018-02-01,0,12.0,,0.12,0.0
2018-02-02,0,12.0,,0.12,0.0
2018-02-03,0,12.0,,0.12,0.0
2018-02-04,0,12.0,False,0.12,0.0
2018-02-05,0,12.0,,0.12,0.0
2018-02-06,0,12.0,,0.12,0.0
2018-02-07,0,12.0,,0.12,0.0
2018-02-08,0,12.0,,0.12,0.0
2018-02-09,0,12.0,,0.12,0.0
2018-02-10,0,12.0,,0.12,0.0
2018-02-11,0,11.0,False,0.11,0.0
2018-02-12,0,11.0,,0.11,0.0
2018-02-13,0,11.0,,0.11,0.0
2018-02-14,0,11.0,,0.11,0.0
2018-02-15,0,11.0,,0.11,0.0
2018-02-16,0,11.0,,0.11,0.0
2018-02-17,100,11.0,,0.11,11.0
2018-02-18,0,0.0,False,0.0,0.0
2018-02-19,73,0.0,,0.0,0.0
2018-02-20,0,0.0,,0.0,0.0
2018-02-21,0,0.0,,0.0,0.0
2018-02-22,0,0.0,,0.0,0.0
2018-02-23,0,0.0,,0.0,0.0
2018-02-24,0,0.0,,0.0,0.0
2018-02-25,0,33.0,False,0.33,0.0
2018-02-26,0,33.0,,0.33,0.0
2018-02-27,71,33.0,,0.33,23.43
2018-02-28,71,33.0,,0.33,23.43
2018-03-01,0,33.0,,0.33,0.0
2018-03-02,87,33.0,,0.33,28.71
2018-03-03,95,33.0,,0.33,31.35
2018-03-04,0,22.0,False,0.22,0.0
2018-03-05,71,22.0,,0.22,15.62
2018-03-06,0,22.0,,0.22,0.0
2018-03-07,71,22.0,,0.22,15.62
2018-03-08,0,22.0,,0.22,0.0
2018-03-09,89,22.0,,0.22,19.580000000000002
2018-03-10,100,22.0,,0.22,22.0
2018-03-11,0,11.0,False,0.11,0.0
2018-03-12,0,11.0,,0.11,0.0
2018-03-13,73,11.0,,0.11,8.03
2018-03-14,0,11.0,,0.11,0.0
2018-03-15,74,11.0,,0.11,8.14
2018-03-16,0,11.0,,0.11,0.0
2018-03-17,0,11.0,,0.11,0.0
2018-03-18,0,22.0,False,0.22,0.0
2018-03-19,0,22.0,,0.22,0.0
2018-03-20,0,22.0,,0.22,0.0
2018-03-21,0,22.0,,0.22,0.0
2018-03-22,0,22.0,,0.22,0.0
2018-03-23,0,22.0,,0.22,0.0
2018-03-24,91,22.0,,0.22,20.02
2018-03-25,0,12.0,False,0.12,0.0
2018-03-26,0,12.0,,0.12,0.0
2018-03-27,0,12.0,,0.12,0.0
2018-03-28,0,12.0,,0.12,0.0
2018-03-29,0,12.0,,0.12,0.0
2018-03-30,0,12.0,,0.12,0.0
2018-03-31,0,12.0,,0.12,0.0
2018-04-01,0,35.0,False,0.35,0.0
2018-04-02,0,35.0,,0.35,0.0
2018-04-03,0,35.0,,0.35,0.0
2018-04-04,56,35.0,,0.35,19.599999999999998
2018-04-05,29,35.0,,0.35,10.149999999999999
2018-04-06,0,35.0,,0.35,0.0
2018-04-07,0,35.0,,0.35,0.0
2018-04-08,0,22.0,False,0.22,0.0
2018-04-09,0,22.0,,0.22,0.0
2018-04-10,84,22.0,,0.22,18.48
2018-04-11,0,22.0,,0.22,0.0
2018-04-12,0,22.0,,0.22,0.0
2018-04-13,0,22.0,,0.22,0.0
2018-04-14,0,22.0,,0.22,0.0
2018-04-15,34,0.0,False,0.0,0.0
2018-04-16,0,0.0,,0.0,0.0
2018-04-17,0,0.0,,0.0,0.0
2018-04-18,0,0.0,,0.0,0.0
2018-04-19,0,0.0,,0.0,0.0
2018-04-20,0,0.0,,0.0,0.0
2018-04-21,0,0.0,,0.0,0.0
2018-04-22,0,23.0,False,0.23,0.0
2018-04-23,0,23.0,,0.23,0.0
2018-04-24,100,23.0,,0.23,23.0
2018-04-25,0,23.0,,0.23,0.0
2018-04-26,33,23.0,,0.23,7.590000000000001
2018-04-27,0,23.0,,0.23,0.0
2018-04-28,0,23.0,,0.23,0.0
2018-04-29,0,56.0,False,0.56,0.0
2018-04-30,0,56.0,,0.56,0.0
2018-05-01,0,56.0,,0.56,0.0
2018-05-02,0,56.0,,0.56,0.0
2018-05-03,0,56.0,,0.56,0.0
2018-05-04,60,56.0,,0.56,33.6
2018-05-05,0,56.0,,0.56,0.0
2018-05-06,55,0.0,False,0.0,0.0
2018-05-07,0,0.0,,0.0,0.0
2018-05-08,0,0.0,,0.0,0.0
2018-05-09,0,0.0,,0.0,0.0
2018-05-10,0,0.0,,0.0,0.0
2018-05-11,0,0.0,,0.0,0.0
2018-05-12,0,0.0,,0.0,0.0
2018-05-13,0,78.0,False,0.78,0.0
2018-05-14,95,78.0,,0.78,74.10000000000001
2018-05-15,95,78.0,,0.78,74.10000000000001
2018-05-16,49,78.0,,0.78,38.22
2018-05-17,100,78.0,,0.78,78.0
2018-05-18,59,78.0,,0.78,46.02
2018-05-19,0,78.0,,0.78,0.0
2018-05-20,0,11.0,False,0.11,0.0
2018-05-21,0,11.0,,0.11,0.0
2018-05-22,0,11.0,,0.11,0.0
2018-05-23,0,11.0,,0.11,0.0
2018-05-24,50,11.0,,0.11,5.5
2018-05-25,0,11.0,,0.11,0.0
2018-05-26,0,11.0,,0.11,0.0
2018-05-27,0,34.0,False,0.34,0.0
2018-05-28,0,34.0,,0.34,0.0
2018-05-29,0,34.0,,0.34,0.0
2018-05-30,0,34.0,,0.34,0.0
2018-05-31,51,34.0,,0.34,17.34
2018-06-01,0,34.0,,0.34,0.0
2018-06-02,0,34.0,,0.34,0.0
2018-06-03,0,46.0,False,0.46,0.0
2018-06-04,0,46.0,,0.46,0.0
2018-06-05,82,46.0,,0.46,37.72
2018-06-06,42,46.0,,0.46,19.32
2018-06-07,43,46.0,,0.46,19.78
2018-06-08,0,46.0,,0.46,0.0
2018-06-09,57,46.0,,0.46,26.220000000000002
2018-06-10,0,0.0,False,0.0,0.0
2018-06-11,0,0.0,,0.0,0.0
2018-06-12,0,0.0,,0.0,0.0
2018-06-13,0,0.0,,0.0,0.0
2018-06-14,0,0.0,,0.0,0.0
2018-06-15,0,0.0,,0.0,0.0
2018-06-16,0,0.0,,0.0,0.0
2018-06-17,0,11.0,False,0.11,0.0
2018-06-18,81,11.0,,0.11,8.91
2018-06-19,0,11.0,,0.11,0.0
2018-06-20,0,11.0,,0.11,0.0
2018-06-21,42,11.0,,0.11,4.62
2018-06-22,100,11.0,,0.11,11.0
2018-06-23,0,11.0,,0.11,0.0
2018-06-24,0,35.0,False,0.35,0.0
2018-06-25,0,35.0,,0.35,0.0
2018-06-26,0,35.0,,0.35,0.0
2018-06-27,0,35.0,,0.35,0.0
2018-06-28,44,35.0,,0.35,15.399999999999999
2018-06-29,53,35.0,,0.35,18.549999999999997
2018-06-30,59,35.0,,0.35,20.65
2018-07-01,0,46.0,False,0.46,0.0
2018-07-02,0,46.0,,0.46,0.0
2018-07-03,0,46.0,,0.46,0.0
2018-07-04,0,46.0,,0.46,0.0
2018-07-05,0,46.0,,0.46,0.0
2018-07-06,0,46.0,,0.46,0.0
2018-07-07,0,46.0,,0.46,0.0
2018-07-08,0,24.0,False,0.24,0.0
2018-07-09,0,24.0,,0.24,0.0
2018-07-10,91,24.0,,0.24,21.84
2018-07-11,0,24.0,,0.24,0.0
2018-07-12,0,24.0,,0.24,0.0
2018-07-13,0,24.0,,0.24,0.0
2018-07-14,0,24.0,,0.24,0.0
2018-07-15,100,0.0,False,0.0,0.0
2018-07-16,0,0.0,,0.0,0.0
2018-07-17,96,0.0,,0.0,0.0
2018-07-18,96,0.0,,0.0,0.0
2018-07-19,96,0.0,,0.0,0.0
2018-07-20,0,0.0,,0.0,0.0
2018-07-21,0,0.0,,0.0,0.0
2018-07-22,0,11.0,False,0.11,0.0
2018-07-23,0,11.0,,0.11,0.0
2018-07-24,0,11.0,,0.11,0.0
2018-07-25,0,11.0,,0.11,0.0
2018-07-26,0,11.0,,0.11,0.0
2018-07-27,0,11.0,,0.11,0.0
2018-07-28,0,11.0,,0.11,0.0
2018-07-29,0,34.0,False,0.34,0.0
2018-07-30,87,34.0,,0.34,29.580000000000002
2018-07-31,86,34.0,,0.34,29.240000000000002
2018-08-01,33,34.0,,0.34,11.22
2018-08-02,0,34.0,,0.34,0.0
2018-08-03,0,34.0,,0.34,0.0
2018-08-04,0,34.0,,0.34,0.0
2018-08-05,0,23.0,False,0.23,0.0
2018-08-06,33,23.0,,0.23,7.590000000000001
2018-08-07,100,23.0,,0.23,23.0
2018-08-08,0,23.0,,0.23,0.0
2018-08-09,0,23.0,,0.23,0.0
2018-08-10,40,23.0,,0.23,9.200000000000001
2018-08-11,0,23.0,,0.23,0.0
2018-08-12,0,34.0,False,0.34,0.0
2018-08-13,33,34.0,,0.34,11.22
2018-08-14,0,34.0,,0.34,0.0
2018-08-15,0,34.0,,0.34,0.0
2018-08-16,0,34.0,,0.34,0.0
2018-08-17,0,34.0,,0.34,0.0
2018-08-18,0,34.0,,0.34,0.0
2018-08-19,0,0.0,False,0.0,0.0
2018-08-20,67,0.0,,0.0,0.0
2018-08-21,33,0.0,,0.0,0.0
2018-08-22,34,0.0,,0.0,0.0
2018-08-23,35,0.0,,0.0,0.0
2018-08-24,0,0.0,,0.0,0.0
2018-08-25,0,0.0,,0.0,0.0
2018-08-26,0,71.0,False,0.71,0.0
2018-08-27,35,71.0,,0.71,24.849999999999998
2018-08-28,35,71.0,,0.71,24.849999999999998
2018-08-29,0,71.0,,0.71,0.0
2018-08-30,35,71.0,,0.71,24.849999999999998
2018-08-31,0,71.0,,0.71,0.0
2018-09-01,0,71.0,,0.71,0.0
2018-09-02,0,35.0,False,0.35,0.0
2018-09-03,0,35.0,,0.35,0.0
2018-09-04,50,35.0,,0.35,17.5
2018-09-05,0,35.0,,0.35,0.0
2018-09-06,0,35.0,,0.35,0.0
2018-09-07,0,35.0,,0.35,0.0
2018-09-08,0,35.0,,0.35,0.0
2018-09-09,0,23.0,False,0.23,0.0
2018-09-10,0,23.0,,0.23,0.0
2018-09-11,0,23.0,,0.23,0.0
2018-09-12,0,23.0,,0.23,0.0
2018-09-13,0,23.0,,0.23,0.0
2018-09-14,57,23.0,,0.23,13.110000000000001
2018-09-15,0,23.0,,0.23,0.0
2018-09-16,0,59.0,False,0.59,0.0
2018-09-17,48,59.0,,0.59,28.32
2018-09-18,0,59.0,,0.59,0.0
2018-09-19,96,59.0,,0.59,56.64
2018-09-20,100,59.0,,0.59,59.0
2018-09-21,0,59.0,,0.59,0.0
2018-09-22,0,59.0,,0.59,0.0
2018-09-23,57,35.0,False,0.35,19.95
2018-09-24,0,35.0,,0.35,0.0
2018-09-25,0,35.0,,0.35,0.0
2018-09-26,0,35.0,,0.35,0.0
2018-09-27,0,35.0,,0.35,0.0
2018-09-28,0,35.0,,0.35,0.0
2018-09-29,0,35.0,,0.35,0.0
2018-09-30,0,13.0,False,0.13,0.0
2018-10-01,0,13.0,,0.13,0.0
2018-10-02,0,13.0,,0.13,0.0
2018-10-03,0,13.0,,0.13,0.0
2018-10-04,0,13.0,,0.13,0.0
2018-10-05,0,13.0,,0.13,0.0
2018-10-06,0,13.0,,0.13,0.0
2018-10-07,0,75.0,False,0.75,0.0
2018-10-08,0,75.0,,0.75,0.0
2018-10-09,0,75.0,,0.75,0.0
2018-10-10,80,75.0,,0.75,60.0
2018-10-11,0,75.0,,0.75,0.0
2018-10-12,44,75.0,,0.75,33.0
2018-10-13,100,75.0,,0.75,75.0
2018-10-14,0,37.0,False,0.37,0.0
2018-10-15,0,37.0,,0.37,0.0
2018-10-16,0,37.0,,0.37,0.0
2018-10-17,74,37.0,,0.37,27.38
2018-10-18,38,37.0,,0.37,14.06
2018-10-19,46,37.0,,0.37,17.02
2018-10-20,0,37.0,,0.37,0.0
2018-10-21,0,60.0,False,0.6,0.0
2018-10-22,41,60.0,,0.6,24.599999999999998
2018-10-23,0,60.0,,0.6,0.0
2018-10-24,0,60.0,,0.6,0.0
2018-10-25,74,60.0,,0.6,44.4
2018-10-26,0,60.0,,0.6,0.0
2018-10-27,0,60.0,,0.6,0.0
2018-10-28,0,35.0,False,0.35,0.0
2018-10-29,0,35.0,,0.35,0.0
2018-10-30,35,35.0,,0.35,12.25
2018-10-31,39,35.0,,0.35,13.649999999999999
2018-11-01,0,35.0,,0.35,0.0
2018-11-02,0,35.0,,0.35,0.0
2018-11-03,100,35.0,,0.35,35.0
2018-11-04,0,34.0,False,0.34,0.0
2018-11-05,35,34.0,,0.34,11.9
2018-11-06,0,34.0,,0.34,0.0
2018-11-07,0,34.0,,0.34,0.0
2018-11-08,0,34.0,,0.34,0.0
2018-11-09,0,34.0,,0.34,0.0
2018-11-10,0,34.0,,0.34,0.0
2018-11-11,0,60.0,False,0.6,0.0
2018-11-12,39,60.0,,0.6,23.4
2018-11-13,0,60.0,,0.6,0.0
2018-11-14,40,60.0,,0.6,24.0
2018-11-15,83,60.0,,0.6,49.8
2018-11-16,48,60.0,,0.6,28.799999999999997
2018-11-17,51,60.0,,0.6,30.599999999999998
2018-11-18,0,23.0,False,0.23,0.0
2018-11-19,0,23.0,,0.23,0.0
2018-11-20,38,23.0,,0.23,8.74
2018-11-21,0,23.0,,0.23,0.0
2018-11-22,40,23.0,,0.23,9.200000000000001
2018-11-23,0,23.0,,0.23,0.0
2018-11-24,0,23.0,,0.23,0.0
2018-11-25,41,12.0,False,0.12,4.92
2018-11-26,37,12.0,,0.12,4.4399999999999995
2018-11-27,38,12.0,,0.12,4.56
2018-11-28,0,12.0,,0.12,0.0
2018-11-29,0,12.0,,0.12,0.0
2018-11-30,0,12.0,,0.12,0.0
2018-12-01,0,12.0,,0.12,0.0
2018-12-02,0,25.0,False,0.25,0.0
2018-12-03,66,25.0,,0.25,16.5
2018-12-04,0,25.0,,0.25,0.0
2018-12-05,0,25.0,,0.25,0.0
2018-12-06,0,25.0,,0.25,0.0
2018-12-07,0,25.0,,0.25,0.0
2018-12-08,0,25.0,,0.25,0.0
2018-12-09,0,13.0,False,0.13,0.0
2018-12-10,0,13.0,,0.13,0.0
2018-12-11,37,13.0,,0.13,4.8100000000000005
2018-12-12,37,13.0,,0.13,4.8100000000000005
2018-12-13,0,13.0,,0.13,0.0
2018-12-14,0,13.0,,0.13,0.0
2018-12-15,100,13.0,,0.13,13.0
2018-12-16,0,13.0,False,0.13,0.0
2018-12-17,0,13.0,,0.13,0.0
2018-12-18,36,13.0,,0.13,4.68
2018-12-19,0,13.0,,0.13,0.0
2018-12-20,0,13.0,,0.13,0.0
2018-12-21,0,13.0,,0.13,0.0
2018-12-22,0,13.0,,0.13,0.0
2018-12-23,0,32.0,False,0.32,0.0
2018-12-24,0,32.0,,0.32,0.0
2018-12-25,0,32.0,,0.32,0.0
2018-12-26,0,32.0,,0.32,0.0
2018-12-27,0,32.0,,0.32,0.0
2018-12-28,0,32.0,,0.32,0.0
2018-12-29,0,32.0,,0.32,0.0
2018-12-30,0,0.0,False,0.0,0.0
2018-12-31,0,0.0,,0.0,0.0
2019-01-01,0,0.0,,0.0,0.0
2019-01-02,0,0.0,,0.0,0.0
2019-01-03,0,0.0,,0.0,0.0
2019-01-04,0,0.0,,0.0,0.0
2019-01-05,0,0.0,,0.0,0.0
2019-01-06,58,26.0,False,0.26,15.08
2019-01-07,0,26.0,,0.26,0.0
2019-01-08,0,26.0,,0.26,0.0
2019-01-09,0,26.0,,0.26,0.0
2019-01-10,0,26.0,,0.26,0.0
2019-01-11,0,26.0,,0.26,0.0
2019-01-12,0,26.0,,0.26,0.0
2019-01-13,0,25.0,False,0.25,0.0
2019-01-14,100,25.0,,0.25,25.0
2019-01-15,0,25.0,,0.25,0.0
2019-01-16,0,25.0,,0.25,0.0
2019-01-17,0,25.0,,0.25,0.0
2019-01-18,0,25.0,,0.25,0.0
2019-01-19,0,25.0,,0.25,0.0
2019-01-20,0,25.0,False,0.25,0.0
2019-01-21,0,25.0,,0.25,0.0
2019-01-22,50,25.0,,0.25,12.5
2019-01-23,0,25.0,,0.25,0.0
2019-01-24,0,25.0,,0.25,0.0
2019-01-25,0,25.0,,0.25,0.0
2019-01-26,0,25.0,,0.25,0.0
2019-01-27,0,37.0,False,0.37,0.0
2019-01-28,52,37.0,,0.37,19.24
2019-01-29,0,37.0,,0.37,0.0
2019-01-30,0,37.0,,0.37,0.0
2019-01-31,50,37.0,,0.37,18.5
2019-02-01,0,37.0,,0.37,0.0
2019-02-02,0,37.0,,0.37,0.0
2019-02-03,0,12.0,False,0.12,0.0
2019-02-04,0,12.0,,0.12,0.0
2019-02-05,0,12.0,,0.12,0.0
2019-02-06,95,12.0,,0.12,11.4
2019-02-07,0,12.0,,0.12,0.0
