Date,AQI,Temp,WS
2017-01-01,34.88,23,3.4
2017-01-02,24.8,24,3.8
2017-01-03,17.52,24,5.2
2017-01-04,24.18,19,7.3
2017-01-05,46.94,19,5.5
2017-01-06,47.14,20,5.3
2017-01-07,35.92,20,5.5
2017-01-08,23.24,20,6.3
2017-01-09,27.36,21,5.9
2017-01-10,28.38,22,4.8
2017-01-11,23.8,23,4.7
2017-01-12,16.24,24,3.7
2017-01-13,30.08,22,5.6
2017-01-14,39.64,23,3.6
2017-01-15,36.16,26,4.5
2017-01-16,62.14,21,6.3
2017-01-17,59.66,21,6.8
2017-01-18,47.86,23,5.7
2017-01-19,40.22,20,6.1
2017-01-20,40.66,19,6.5
2017-01-21,38.34,21,8.8
2017-01-22,51.96,21,7.7
2017-01-23,56.8,20,7.4
2017-01-24,56.84,21,4.8
2017-01-25,36.94,21,5.6
2017-01-26,62.62,20,6.0
2017-01-27,60.22,21,5.4
2017-01-28,40.72,22,4.8
2017-01-29,40.42,23,4.9
2017-01-30,37.14,23,5.4
2017-01-31,26.16,24,4.7
2017-02-01,25.56,24,2.9
2017-02-02,25.8,24,4.3
2017-02-03,25.02,23,5.0
2017-02-04,35.14,21,5.6
2017-02-05,36.72,23,5.0
2017-02-06,39.06,26,5.7
2017-02-07,30.1,27,5.3
2017-02-08,33.22,21,4.9
2017-02-09,31.44,22,3.5
2017-02-10,24.6,21,3.6
2017-02-11,25.76,21,5.5
2017-02-12,0.0,24,3.8
2017-02-13,7.83,26,4.7
2017-02-14,35.16,19,3.4
2017-02-15,47.72,22,5.0
2017-02-16,46.88,20,4.7
2017-02-17,22.72,23,3.2
2017-02-18,28.4,25,3.8
2017-02-19,21.44,25,4.0
2017-02-20,48.76,24,4.0
2017-02-21,51.38,24,3.7
2017-02-22,36.24,24,5.2
2017-02-23,42.8,25,3.5
2017-02-24,42.42,24,3.1
2017-02-25,34.12,25,4.4
2017-02-26,26.3,24,4.1
2017-02-27,32.3,25,3.5
2017-02-28,34.72,25,3.3
2017-03-01,24.86,23,2.9
2017-03-02,32.66,23,4.7
2017-03-03,32.58,22,4.6
2017-03-04,24.76,23,5.5
2017-03-05,26.06,22,4.9
2017-03-06,33.54,22,4.7
2017-03-07,26.38,21,3.2
2017-03-08,21.04,21,4.4
2017-03-09,20.56,22,4.6
2017-03-10,127.42,23,4.5
2017-03-11,127.62,23,5.0
2017-03-12,40.62,22,4.6
2017-03-13,32.38,22,5.5
2017-03-14,39.76,20,5.0
2017-03-15,28.16,22,4.9
2017-03-16,31.72,22,2.5
2017-03-17,32.42,22,2.9
2017-03-18,32.24,22,5.6
2017-03-19,28.52,24,4.1
2017-03-20,27.4,22,5.7
2017-03-21,31.22,21,6.0
2017-03-22,32.74,23,5.4
2017-03-23,31.4,22,4.0
2017-03-24,33.68,23,2.6
2017-03-25,30.52,22,3.1
2017-03-26,14.4,23,5.6
2017-03-27,17.32,22,3.5
2017-03-28,22.4,24,2.9
2017-03-29,22.94,21,3.4
2017-03-30,23.44,22,4.6
2017-03-31,25.92,22,3.7
2017-04-01,29.78,23,2.6
2017-04-02,28.38,23,3.3
2017-04-03,20.08,26,2.5
2017-04-04,20.6,23,4.5
2017-04-05,23.56,23,6.8
2017-04-06,31.0,20,3.8
2017-04-07,31.14,20,4.7
2017-04-08,41.66,21,2.7
2017-04-09,35.32,20,3.3
2017-04-10,10.48,22,3.2
2017-04-11,31.16,23,4.6
2017-04-12,34.46,21,5.4
2017-04-13,23.7,20,3.9
2017-04-14,23.7,22,3.5
2017-04-15,28.52,20,3.5
2017-04-16,26.52,21,3.4
2017-04-17,0.0,19,5.1
2017-04-18,23.72,20,3.6
2017-04-19,36.42,19,4.7
2017-04-20,33.7,19,5.1
2017-04-21,35.4,18,1.8
2017-04-22,38.12,20,1.7
2017-04-23,36.92,20,3.0
2017-04-24,18.95,20,5.6
2017-04-25,32.64,21,1.9
2017-04-26,41.0,21,2.4
2017-04-27,48.54,20,2.6
2017-04-28,132.24,21,4.0
2017-04-29,149.04,19,5.5
