Date,AQI,WS
2017-01-01,21.0,5.4
2017-01-02,20.0,6.1
2017-01-03,16.0,8.6
2017-01-04,22.0,5.3
2017-01-05,39.0,3.8
2017-01-06,41.0,4.0
2017-01-07,34.0,3.7
2017-01-08,24.0,4.9
2017-01-09,26.0,5.3
2017-01-10,29.0,5.9
2017-01-11,26.0,4.3
2017-01-12,19.0,5.5
2017-01-13,30.0,5.1
2017-01-14,40.0,4.2
2017-01-15,36.0,7.6
2017-01-16,50.0,4.3
2017-01-17,47.0,4.6
2017-01-18,38.0,4.7
2017-01-19,36.0,5.5
2017-01-20,38.0,5.0
2017-01-21,41.0,8.5
2017-01-22,47.0,8.0
2017-01-23,50.0,6.5
2017-01-24,50.0,3.3
2017-01-25,35.0,6.8
2017-01-26,55.0,4.1
2017-01-27,55.0,3.6
2017-01-28,37.0,3.3
2017-01-29,35.0,3.7
2017-01-30,33.0,4.0
2017-01-31,25.0,3.6
2017-02-01,344.0,4.5
2017-02-02,346.0,6.2
2017-02-03,25.0,4.8
2017-02-04,28.0,4.3
2017-02-05,28.0,3.7
2017-02-06,31.0,4.3
2017-02-07,27.0,4.9
2017-02-08,31.0,3.6
2017-02-09,29.0,4.3
2017-02-10,25.0,2.8
2017-02-11,25.0,3.8
2017-02-12,21.0,5.7
2017-02-13,8.0,7.8
2017-02-14,38.0,2.9
2017-02-15,37.0,3.0
2017-02-16,38.0,3.5
2017-02-17,21.0,3.4
2017-02-18,24.0,4.4
2017-02-19,17.0,4.9
2017-02-20,40.0,4.6
2017-02-21,48.0,4.2
2017-02-22,36.0,3.8
2017-02-23,39.0,2.8
2017-02-24,40.0,3.1
2017-02-25,27.0,2.8
2017-02-26,28.0,3.0
2017-02-27,23.0,3.9
2017-02-28,25.0,4.0
2017-03-01,24.0,2.5
2017-03-02,26.0,3.6
2017-03-03,28.0,3.4
2017-03-04,28.0,3.8
2017-03-05,23.0,4.1
2017-03-06,31.0,3.3
2017-03-07,26.0,3.8
2017-03-08,24.0,7.2
2017-03-09,25.0,6.5
2017-03-10,34.0,6.7
2017-03-11,32.0,3.9
2017-03-12,43.0,7.3
2017-03-13,33.0,4.4
2017-03-14,38.0,4.0
2017-03-15,25.0,4.7
2017-03-16,32.0,3.4
2017-03-17,30.0,3.0
2017-03-18,29.0,3.8
2017-03-19,25.0,2.9
2017-03-20,32.0,4.5
2017-03-21,27.0,3.9
2017-03-22,27.0,4.0
2017-03-23,27.0,3.0
2017-03-24,32.0,2.6
2017-03-25,32.0,4.0
2017-03-26,24.0,5.0
2017-03-27,25.0,3.2
2017-03-28,24.0,3.5
2017-03-29,23.0,3.8
2017-03-30,27.0,3.5
2017-03-31,21.0,2.4
2017-04-01,24.0,3.1
2017-04-02,22.0,3.3
2017-04-03,16.0,3.2
2017-04-04,20.0,4.0
2017-04-05,25.0,4.3
2017-04-06,33.0,5.9
2017-04-07,39.0,4.0
2017-04-08,34.0,3.3
2017-04-09,30.0,4.2
2017-04-10,21.0,4.3
2017-04-11,7.0,5.3
2017-04-12,14.0,5.6
2017-04-13,20.0,5.6
2017-04-14,12.0,2.6
2017-04-15,19.0,5.6
2017-04-16,10.0,4.2
2017-04-17,13.0,4.5
2017-04-18,22.0,2.2
2017-04-19,21.0,3.5
2017-04-20,24.0,3.4
2017-04-21,21.0,2.5
2017-04-22,21.0,2.7
2017-04-23,15.0,4.2
2017-04-24,18.0,3.9
2017-04-25,23.0,3.0
2017-04-26,33.0,2.6
2017-04-27,30.0,2.8
2017-04-28,27.0,3.5
2017-04-29,18.0,3.5
2017-04-30,12.0,5.4
2017-05-01,17.0,4.6
2017-05-02,27.0,2.3
2017-05-03,27.0,3.1
2017-05-04,,4.5
2017-05-05,,3.6
2017-05-06,,2.5
2017-05-07,,2.6
2017-05-08,20.0,2.4
2017-05-09,18.0,3.1
2017-05-10,6.0,3.7
2017-05-11,9.0,4.2
2017-05-12,42.0,5.3
2017-05-13,666.0,3.8
2017-05-14,46.0,3.1
2017-05-15,29.0,1.5
2017-05-16,37.0,4.9
2017-05-17,45.0,6.2
2017-05-18,40.0,8.2
2017-05-19,47.0,4.5
2017-05-20,39.0,8.8
2017-05-21,35.0,3.1
2017-05-22,68.0,2.4
2017-05-23,82.0,2.8
2017-05-24,66.0,3.6
2017-05-25,48.0,2.3
2017-05-26,45.0,5.0
2017-05-27,24.0,3.9
2017-05-28,26.0,1.9
2017-05-29,24.0,2.3
2017-05-30,36.0,2.3
2017-05-31,33.0,2.4
2017-06-01,53.0,3.2
2017-06-02,32.0,4.9
2017-06-03,18.0,3.7
2017-06-04,28.0,2.2
2017-06-05,32.0,3.2
2017-06-06,61.0,1.9
2017-06-07,40.0,2.7
2017-06-08,35.0,3.1
2017-06-09,55.0,2.2
2017-06-10,44.0,4.7
2017-06-11,45.0,2.6
2017-06-12,50.0,3.1
2017-06-13,29.0,5.9
2017-06-14,45.0,6.4
2017-06-15,52.0,3.3
2017-06-16,44.0,3.7
2017-06-17,54.0,2.2
2017-06-18,70.0,3.2
2017-06-19,25.0,3.4
2017-06-20,27.0,5.6
2017-06-21,38.0,7.0
2017-06-22,41.0,6.0
2017-06-23,24.0,2.7
2017-06-24,38.0,5.8
2017-06-25,32.0,4.3
2017-06-26,42.0,3.3
2017-06-27,66.0,2.2
2017-06-28,62.0,2.4
2017-06-29,58.0,1.4
2017-06-30,92.0,3.7
2017-07-01,66.0,5.6
2017-07-02,31.0,3.2
2017-07-03,29.0,1.6
2017-07-04,38.0,3.2
2017-07-05,45.0,2.2
2017-07-06,39.0,2.8
2017-07-07,36.0,4.3
2017-07-08,37.0,3.5
2017-07-09,34.0,5.4
2017-07-10,32.0,3.7
2017-07-11,44.0,2.9
2017-07-12,43.0,4.4
2017-07-13,49.0,5.2
2017-07-14,24.0,6.0
2017-07-15,36.0,3.0
2017-07-16,68.0,3.2
2017-07-17,60.0,2.2
2017-07-18,33.0,3.5
2017-07-19,53.0,2.9
2017-07-20,56.0,5.8
2017-07-21,30.0,5.6
2017-07-22,36.0,5.5
2017-07-23,36.0,4.0
2017-07-24,37.0,4.5
2017-07-25,36.0,2.9
2017-07-26,33.0,3.7
2017-07-27,39.0,4.2
2017-07-28,24.0,3.1
2017-07-29,50.0,4.3
2017-07-30,80.0,1.3
2017-07-31,91.0,2.4
2017-08-01,77.0,4.0
2017-08-02,45.0,4.5
2017-08-03,24.0,5.4
2017-08-04,41.0,2.9
2017-08-05,42.0,3.6
2017-08-06,24.0,4.3
2017-08-07,28.0,2.2
2017-08-08,22.0,3.5
2017-08-09,33.0,3.9
2017-08-10,28.0,4.0
2017-08-11,33.0,5.4
2017-08-12,45.0,7.8
2017-08-13,51.0,3.1
2017-08-14,36.0,4.6
2017-08-15,36.0,6.2
2017-08-16,50.0,6.5
2017-08-17,52.0,2.7
2017-08-18,27.0,3.2
2017-08-19,30.0,4.2
2017-08-20,26.0,6.3
2017-08-21,34.0,2.7
2017-08-22,47.0,2.7
2017-08-23,57.0,3.3
2017-08-24,42.0,3.2
2017-08-25,25.0,4.3
2017-08-26,19.0,4.7
2017-08-27,41.0,7.2
2017-08-28,53.0,6.1
2017-08-29,42.0,3.1
2017-08-30,23.0,2.7
2017-08-31,26.0,3.6
2017-09-01,30.0,4.3
2017-09-02,23.0,4.6
2017-09-03,16.0,3.9
2017-09-04,1422.0,4.0
2017-09-05,28.0,0.8
2017-09-06,25.0,3.0
2017-09-07,39.0,7.8
2017-09-08,42.0,6.1
2017-09-09,38.0,8.2
2017-09-10,28.0,8.4
2017-09-11,28.0,6.0
2017-09-12,31.0,6.6
2017-09-13,32.0,6.6
2017-09-14,46.0,7.8
2017-09-15,47.0,4.8
2017-09-16,37.0,7.7
2017-09-17,42.0,5.6
2017-09-18,28.0,7.1
2017-09-19,25.0,3.6
2017-09-20,26.0,4.0
2017-09-21,26.0,4.7
2017-09-22,29.0,4.3
2017-09-23,25.0,4.0
2017-09-24,27.0,4.5
2017-09-25,29.0,6.4
2017-09-26,32.0,4.2
2017-09-27,32.0,2.5
2017-09-28,39.0,5.9
2017-09-29,42.0,3.1
2017-09-30,26.0,4.9
2017-10-01,28.0,8.6
2017-10-02,40.0,8.9
2017-10-03,36.0,4.8
2017-10-04,22.0,4.6
2017-10-05,19.0,2.8
2017-10-07,35.0,
2017-10-08,34.0,
2017-10-09,28.0,
2017-10-10,24.0,
2017-10-11,39.0,
2017-10-12,41.0,
2017-10-13,42.0,
2017-10-14,32.0,
2017-10-15,33.0,
2017-10-16,32.0,
