Date(NZST),Tmax(C),Tmin(C)
2017-01-01,22.8,12.3
2017-01-02,24.5,16.8
2017-01-03,24.4,19.1
2017-01-04,24.6,16.4
2017-01-05,20.7,13.4
2017-01-06,20.3,7.9
2017-01-07,22.5,12.9
2017-01-08,21.6,15.2
2017-01-09,20.8,15.2
2017-01-10,23.0,16.0
2017-01-11,22.4,18.4
2017-01-12,23.7,15.0
2017-01-13,24.7,18.6
2017-01-14,22.7,12.7
2017-01-15,25.6,18.1
2017-01-16,25.4,15.1
2017-01-17,22.4,14.8
2017-01-18,23.0,12.7
2017-01-19,24.4,17.0
2017-01-20,21.2,12.7
2017-01-21,21.4,8.9
2017-01-22,23.4,16.4
2017-01-23,22.3,14.6
2017-01-24,21.2,13.9
2017-01-25,22.8,14.0
2017-01-26,22.3,11.6
2017-01-27,21.7,12.6
2017-01-28,22.0,14.1
2017-01-29,24.2,11.8
2017-01-30,25.1,12.6
2017-01-31,24.2,17.5
2017-02-01,25.1,13.7
2017-02-02,24.3,17.4
2017-02-03,25.2,18.7
2017-02-04,24.8,10.8
2017-02-05,23.8,14.4
2017-02-06,25.1,12.2
2017-02-07,28.5,17.7
2017-02-08,28.5,18.7
2017-02-09,22.2,14.4
2017-02-10,23.6,12.5
2017-02-11,23.1,11.9
2017-02-12,22.8,10.4
2017-02-13,25.1,16.7
2017-02-14,26.6,17.7
2017-02-15,20.1,17.3
2017-02-16,23.6,14.0
2017-02-17,20.4,14.7
2017-02-18,23.8,18.1
2017-02-19,25.8,20.1
2017-02-20,26.2,19.0
2017-02-21,26.0,16.8
2017-02-22,24.7,14.2
2017-02-23,25.3,14.7
2017-02-24,26.5,17.1
2017-02-25,26.2,15.3
2017-02-26,25.2,12.7
2017-02-27,24.9,13.0
2017-02-28,26.3,16.1
2017-03-01,25.6,15.4
2017-03-02,24.7,14.7
2017-03-03,23.5,11.9
2017-03-04,24.4,13.5
2017-03-05,24.5,16.8
2017-03-06,24.0,12.2
2017-03-07,23.6,14.1
2017-03-08,22.7,15.5
2017-03-09,20.1,15.4
2017-03-10,22.3,19.8
2017-03-11,22.6,18.6
2017-03-12,23.3,20.0
2017-03-13,22.6,17.8
2017-03-14,22.8,12.9
2017-03-15,21.9,12.4
2017-03-16,22.6,9.4
2017-03-17,22.7,11.2
2017-03-18,24.3,14.6
2017-03-19,22.7,12.3
2017-03-20,24.5,10.4
2017-03-21,23.3,15.8
2017-03-22,21.8,18.1
2017-03-23,25.0,18.7
2017-03-24,23.4,13.5
2017-03-25,23.0,16.9
2017-03-26,23.4,18.3
2017-03-27,23.4,17.9
2017-03-28,24.5,17.0
2017-03-29,25.0,17.2
2017-03-30,20.8,17.0
2017-03-31,23.6,14.7
2017-04-01,23.0,11.8
2017-04-02,23.9,13.6
2017-04-03,24.4,19.0
2017-04-04,26.7,19.9
2017-04-05,22.6,17.1
2017-04-06,24.1,15.2
2017-04-07,21.0,14.7
2017-04-08,20.2,9.8
2017-04-09,22.1,12.1
2017-04-10,21.2,13.2
2017-04-11,23.5,16.1
2017-04-12,24.4,20.2
2017-04-13,21.0,18.5
2017-04-14,19.8,16.0
2017-04-15,22.6,15.2
2017-04-16,21.2,12.3
2017-04-17,21.3,12.7
2017-04-18,19.8,10.6
2017-04-19,21.0,8.2
2017-04-20,20.4,9.6
2017-04-21,20.0,9.4
2017-04-22,18.8,13.0
2017-04-23,20.8,10.4
2017-04-24,20.9,14.4
2017-04-25,20.0,7.7
2017-04-26,21.0,7.4
2017-04-27,22.0,7.9
2017-04-28,21.4,9.5
2017-04-29,22.6,15.1
2017-04-30,18.7,16.8
2017-05-01,19.1,12.2
2017-05-02,16.8,4.3
2017-05-03,16.6,3.4
2017-05-04,17.6,9.5
2017-05-05,17.7,13.4
2017-05-06,18.2,6.1
2017-05-07,19.0,6.4
2017-05-08,20.2,8.9
2017-05-09,20.4,8.0
2017-05-10,21.6,12.1
2017-05-11,20.9,16.2
2017-05-12,19.1,15.0
2017-05-13,16.1,11.3
2017-05-14,15.8,3.0
2017-05-15,17.1,9.2
2017-05-16,18.8,8.3
2017-05-17,18.6,12.7
2017-05-18,21.4,15.9
2017-05-19,17.8,13.5
2017-05-20,16.7,12.4
2017-05-21,16.9,8.2
2017-05-22,14.4,0.4
2017-05-23,14.9,0.6
2017-05-24,16.5,5.5
2017-05-25,19.8,7.7
2017-05-26,17.6,7.5
2017-05-27,19.6,13.9
2017-05-28,20.5,11.2
2017-05-29,18.8,10.8
2017-05-30,19.1,10.4
2017-05-31,18.1,10.0
2017-06-01,18.3,7.4
2017-06-02,18.5,10.5
2017-06-03,16.1,11.1
2017-06-04,16.5,4.8
2017-06-05,16.6,7.2
2017-06-06,17.0,3.8
2017-06-07,16.2,5.6
2017-06-08,16.6,5.0
2017-06-09,14.5,2.4
2017-06-10,15.3,7.1
2017-06-11,16.9,5.2
2017-06-12,15.8,6.6
2017-06-13,17.4,9.6
2017-06-14,17.6,12.9
2017-06-15,15.7,7.9
2017-06-16,15.7,9.8
2017-06-17,17.5,6.4
2017-06-18,16.1,7.2
2017-06-19,17.8,9.6
2017-06-20,18.0,8.2
2017-06-21,18.2,11.4
2017-06-22,16.0,13.8
2017-06-23,16.8,13.9
2017-06-24,18.4,12.6
2017-06-25,15.3,7.3
2017-06-26,17.5,6.8
2017-06-27,15.1,2.7
2017-06-28,14.4,1.9
2017-06-29,16.0,6.9
2017-06-30,17.0,2.7
2017-07-01,16.4,7.1
2017-07-02,15.7,6.9
2017-07-03,16.0,8.7
2017-07-04,15.4,5.4
2017-07-05,16.6,7.7
2017-07-06,15.1,9.1
2017-07-07,16.5,10.6
2017-07-08,16.8,7.0
2017-07-09,17.3,9.0
2017-07-10,15.7,8.8
2017-07-11,15.9,4.8
2017-07-12,16.1,7.5
2017-07-13,13.3,3.2
2017-07-14,11.6,5.9
2017-07-15,11.7,4.8
2017-07-16,14.8,3.1
2017-07-17,16.5,3.5
2017-07-18,15.6,7.5
2017-07-19,18.3,5.3
2017-07-20,17.3,6.6
2017-07-21,16.9,11.2
2017-07-22,14.5,10.0
2017-07-23,16.0,7.2
2017-07-24,16.9,9.4
2017-07-25,15.9,8.7
2017-07-26,16.0,6.8
2017-07-27,16.2,5.5
2017-07-28,15.3,9.5
2017-07-29,15.3,2.6
2017-07-30,11.5,-1.4
2017-07-31,13.6,0.2
2017-08-01,14.0,4.9
2017-08-02,17.2,9.0
2017-08-03,16.4,10.7
2017-08-04,14.7,2.3
2017-08-05,15.0,2.5
2017-08-06,15.4,6.2
2017-08-07,17.0,12.6
