Date(NZST),RH(%),Tmax(C),Tmin(C),Dir(DegT),Speed(m/s)
2019-08-21,,,,219,13.2
2019-08-22,,,,323,9.6
2019-08-23,,,,335,9.1
2019-08-24,,,,194,6.1
2019-08-25,,,,228,9.5
2019-08-26,,,,278,6.9
2019-08-27,,,,223,10.8
2019-08-28,,,,209,5.3
2019-08-29,,,,235,5.8
2019-08-30,,,,221,4.2
2019-08-31,,,,221,10.0
2019-09-01,,,,63,0.9
2019-09-02,,,,174,2.6
2019-09-03,,,,74,14.8
2019-09-04,,,,41,12.5
2019-09-05,,,,20,9.4
2019-09-06,,,,239,13.7
2019-09-07,,,,208,9.3
2019-09-08,,,,285,11.3
2019-09-09,,,,23,6.2
2019-09-10,88.0,13.5,9.3,88,12.0
2019-09-11,87.0,11.1,8.5,217,6.6
2019-09-12,76.0,11.4,8.2,221,9.1
2019-09-13,94.0,12.2,9.7,255,6.3
2019-09-14,78.0,12.9,10.2,350,6.5
2019-09-15,90.0,13.4,9.2,289,3.8
2019-09-16,81.0,14.2,9.9,213,8.0
2019-09-17,88.0,13.3,10.9,264,11.7
2019-09-18,64.0,14.0,9.0,165,5.0
2019-09-19,84.0,12.8,9.0,102,2.0
2019-09-20,78.0,14.0,9.1,184,3.5
2019-09-21,56.0,14.6,9.2,116,0.7
2019-09-22,83.0,14.4,9.6,195,8.5
2019-09-23,70.0,12.2,10.1,248,8.2
2019-09-24,91.0,13.7,11.0,336,12.3
2019-09-25,82.0,13.6,7.4,244,14.7
2019-09-26,70.0,12.1,6.7,227,19.0
2019-09-27,68.0,11.5,7.1,242,11.5
2019-09-28,86.0,12.7,9.7,243,6.8
2019-09-29,93.0,13.3,10.0,273,7.8
2019-09-30,100.0,15.0,11.5,6,16.7
2019-10-01,76.0,14.2,10.1,277,7.5
2019-10-02,61.0,12.0,6.9,223,14.0
2019-10-03,87.0,11.4,7.1,213,5.6
2019-10-04,87.0,11.2,7.7,204,6.8
2019-10-05,91.0,12.2,8.9,285,7.0
2019-10-06,95.0,13.1,8.3,187,5.9
2019-10-07,100.0,15.1,8.8,55,9.8
2019-10-08,91.0,13.2,11.1,278,3.4
2019-10-09,88.0,15.1,12.1,44,4.2
2019-10-10,100.0,16.3,13.1,17,16.1
