Date,mucus_unscaled,mucus_monthly,isPartial,scale,mucus
2018-01-01,59,,,,
2018-01-02,54,,,,
2018-01-03,100,,,,
2018-01-04,0,,,,
2018-01-05,49,,,,
2018-01-06,0,,,,
2018-01-07,0,37.0,False,0.37,0.0
2018-01-08,0,37.0,,0.37,0.0
2018-01-09,0,37.0,,0.37,0.0
2018-01-10,0,37.0,,0.37,0.0
2018-01-11,0,37.0,,0.37,0.0
2018-01-12,0,37.0,,0.37,0.0
2018-01-13,0,37.0,,0.37,0.0
2018-01-14,0,23.0,False,0.23,0.0
2018-01-15,0,23.0,,0.23,0.0
2018-01-16,0,23.0,,0.23,0.0
2018-01-17,0,23.0,,0.23,0.0
2018-01-18,0,23.0,,0.23,0.0
2018-01-19,0,23.0,,0.23,0.0
2018-01-20,0,23.0,,0.23,0.0
2018-01-21,0,11.0,False,0.11,0.0
2018-01-22,0,11.0,,0.11,0.0
2018-01-23,0,11.0,,0.11,0.0
2018-01-24,0,11.0,,0.11,0.0
2018-01-25,0,11.0,,0.11,0.0
2018-01-26,0,11.0,,0.11,0.0
2018-01-27,0,11.0,,0.11,0.0
2018-01-28,0,12.0,False,0.12,0.0
2018-01-29,48,12.0,,0.12,5.76
2018-01-30,0,12.0,,0.12,0.0
2018-01-31,43,12.0,,0.12,5.16
2018-02-01,0,12.0,,0.12,0.0
2018-02-02,87,12.0,,0.12,10.44
2018-02-03,0,12.0,,0.12,0.0
2018-02-04,0,34.0,False,0.34,0.0
2018-02-05,0,34.0,,0.34,0.0
2018-02-06,0,34.0,,0.34,0.0
2018-02-07,0,34.0,,0.34,0.0
2018-02-08,0,34.0,,0.34,0.0
2018-02-09,0,34.0,,0.34,0.0
2018-02-10,0,34.0,,0.34,0.0
2018-02-11,0,0.0,False,0.0,0.0
2018-02-12,0,0.0,,0.0,0.0
2018-02-13,0,0.0,,0.0,0.0
2018-02-14,0,0.0,,0.0,0.0
2018-02-15,0,0.0,,0.0,0.0
2018-02-16,0,0.0,,0.0,0.0
2018-02-17,0,0.0,,0.0,0.0
2018-02-18,0,11.0,False,0.11,0.0
2018-02-19,72,11.0,,0.11,7.92
2018-02-20,0,11.0,,0.11,0.0
2018-02-21,0,11.0,,0.11,0.0
2018-02-22,0,11.0,,0.11,0.0
2018-02-23,0,11.0,,0.11,0.0
2018-02-24,100,11.0,,0.11,11.0
2018-02-25,0,21.0,False,0.21,0.0
2018-02-26,0,21.0,,0.21,0.0
2018-02-27,0,21.0,,0.21,0.0
2018-02-28,72,21.0,,0.21,15.12
2018-03-01,0,21.0,,0.21,0.0
2018-03-02,57,21.0,,0.21,11.969999999999999
2018-03-03,65,21.0,,0.21,13.65
2018-03-04,0,32.0,False,0.32,0.0
2018-03-05,48,32.0,,0.32,15.36
2018-03-06,47,32.0,,0.32,15.040000000000001
2018-03-07,0,32.0,,0.32,0.0
2018-03-08,100,32.0,,0.32,32.0
2018-03-09,0,32.0,,0.32,0.0
2018-03-10,0,32.0,,0.32,0.0
2018-03-11,53,21.0,False,0.21,11.129999999999999
2018-03-12,0,21.0,,0.21,0.0
2018-03-13,48,21.0,,0.21,10.08
2018-03-14,0,21.0,,0.21,0.0
2018-03-15,0,21.0,,0.21,0.0
2018-03-16,59,21.0,,0.21,12.389999999999999
2018-03-17,0,21.0,,0.21,0.0
2018-03-18,54,42.0,False,0.42,22.68
2018-03-19,0,42.0,,0.42,0.0
2018-03-20,0,42.0,,0.42,0.0
2018-03-21,0,42.0,,0.42,0.0
2018-03-22,50,42.0,,0.42,21.0
2018-03-23,56,42.0,,0.42,23.52
2018-03-24,61,42.0,,0.42,25.619999999999997
2018-03-25,0,22.0,False,0.22,0.0
2018-03-26,0,22.0,,0.22,0.0
2018-03-27,0,22.0,,0.22,0.0
2018-03-28,0,22.0,,0.22,0.0
2018-03-29,0,22.0,,0.22,0.0
2018-03-30,0,22.0,,0.22,0.0
2018-03-31,66,22.0,,0.22,14.52
2018-04-01,42,22.0,False,0.22,9.24
2018-04-02,36,22.0,,0.22,7.92
2018-04-03,30,22.0,,0.22,6.6
2018-04-04,0,22.0,,0.22,0.0
2018-04-05,60,22.0,,0.22,13.2
2018-04-06,0,22.0,,0.22,0.0
