Date,oxygen_unscaled,oxygen_monthly,isPartial,scale,oxygen
2018-01-01,51,,,,
2018-01-02,0,,,,
2018-01-03,44,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,48,,,,
2018-01-07,0,42.0,False,0.42,0.0
2018-01-08,0,42.0,,0.42,0.0
2018-01-09,0,42.0,,0.42,0.0
2018-01-10,41,42.0,,0.42,17.22
2018-01-11,0,42.0,,0.42,0.0
2018-01-12,0,42.0,,0.42,0.0
2018-01-13,100,42.0,,0.42,42.0
2018-01-14,43,16.0,False,0.16,6.88
2018-01-15,39,16.0,,0.16,6.24
2018-01-16,0,16.0,,0.16,0.0
2018-01-17,0,16.0,,0.16,0.0
2018-01-18,0,16.0,,0.16,0.0
2018-01-19,0,16.0,,0.16,0.0
2018-01-20,51,16.0,,0.16,8.16
2018-01-21,0,47.0,False,0.47,0.0
2018-01-22,0,47.0,,0.47,0.0
2018-01-23,0,47.0,,0.47,0.0
2018-01-24,40,47.0,,0.47,18.799999999999997
2018-01-25,40,47.0,,0.47,18.799999999999997
2018-01-26,47,47.0,,0.47,22.09
2018-01-27,0,47.0,,0.47,0.0
2018-01-28,0,32.0,False,0.32,0.0
2018-01-29,42,32.0,,0.32,13.44
2018-01-30,0,32.0,,0.32,0.0
2018-01-31,37,32.0,,0.32,11.84
2018-02-01,0,32.0,,0.32,0.0
2018-02-02,34,32.0,,0.32,10.88
2018-02-03,0,32.0,,0.32,0.0
2018-02-04,100,54.0,False,0.54,54.0
2018-02-05,0,54.0,,0.54,0.0
2018-02-06,31,54.0,,0.54,16.740000000000002
2018-02-07,58,54.0,,0.54,31.32
2018-02-08,60,54.0,,0.54,32.400000000000006
2018-02-09,32,54.0,,0.54,17.28
2018-02-10,33,54.0,,0.54,17.82
2018-02-11,0,68.0,False,0.68,0.0
2018-02-12,83,68.0,,0.68,56.440000000000005
2018-02-13,55,68.0,,0.68,37.400000000000006
2018-02-14,58,68.0,,0.68,39.440000000000005
2018-02-15,0,68.0,,0.68,0.0
2018-02-16,35,68.0,,0.68,23.8
2018-02-17,38,68.0,,0.68,25.840000000000003
2018-02-18,0,52.0,False,0.52,0.0
2018-02-19,28,52.0,,0.52,14.56
2018-02-20,27,52.0,,0.52,14.040000000000001
2018-02-21,0,52.0,,0.52,0.0
2018-02-22,60,52.0,,0.52,31.200000000000003
2018-02-23,69,52.0,,0.52,35.88
2018-02-24,0,52.0,,0.52,0.0
2018-02-25,63,73.0,False,0.73,45.99
2018-02-26,27,73.0,,0.73,19.71
2018-02-27,82,73.0,,0.73,59.86
2018-02-28,55,73.0,,0.73,40.15
2018-03-01,0,73.0,,0.73,0.0
2018-03-02,0,73.0,,0.73,0.0
2018-03-03,32,73.0,,0.73,23.36
2018-03-04,80,88.0,False,0.88,70.4
2018-03-05,0,88.0,,0.88,0.0
2018-03-06,24,88.0,,0.88,21.12
2018-03-07,48,88.0,,0.88,42.24
2018-03-08,25,88.0,,0.88,22.0
2018-03-09,0,88.0,,0.88,0.0
2018-03-10,33,88.0,,0.88,29.04
2018-03-11,53,66.0,False,0.66,34.980000000000004
2018-03-12,72,66.0,,0.66,47.52
2018-03-13,49,66.0,,0.66,32.34
2018-03-14,0,66.0,,0.66,0.0
2018-03-15,100,66.0,,0.66,66.0
2018-03-16,30,66.0,,0.66,19.8
2018-03-17,32,66.0,,0.66,21.12
2018-03-18,0,58.0,False,0.58,0.0
2018-03-19,0,58.0,,0.58,0.0
2018-03-20,0,58.0,,0.58,0.0
2018-03-21,49,58.0,,0.58,28.419999999999998
2018-03-22,50,58.0,,0.58,28.999999999999996
2018-03-23,28,58.0,,0.58,16.24
2018-03-24,31,58.0,,0.58,17.98
2018-03-25,27,46.0,False,0.46,12.42
2018-03-26,48,46.0,,0.46,22.080000000000002
2018-03-27,0,46.0,,0.46,0.0
2018-03-28,77,46.0,,0.46,35.42
2018-03-29,0,46.0,,0.46,0.0
2018-03-30,0,46.0,,0.46,0.0
2018-03-31,0,46.0,,0.46,0.0
2018-04-01,43,38.0,False,0.38,16.34
2018-04-02,37,38.0,,0.38,14.06
2018-04-03,94,38.0,,0.38,35.72
2018-04-04,0,38.0,,0.38,0.0
2018-04-05,0,38.0,,0.38,0.0
2018-04-06,0,38.0,,0.38,0.0
2018-04-07,0,38.0,,0.38,0.0
2018-04-08,100,50.0,False,0.5,50.0
2018-04-09,29,50.0,,0.5,14.5
2018-04-10,88,50.0,,0.5,44.0
2018-04-11,31,50.0,,0.5,15.5
2018-04-12,0,50.0,,0.5,0.0
2018-04-13,0,50.0,,0.5,0.0
2018-04-14,38,50.0,,0.5,19.0
2018-04-15,0,39.0,False,0.39,0.0
2018-04-16,31,39.0,,0.39,12.09
2018-04-17,0,39.0,,0.39,0.0
2018-04-18,66,39.0,,0.39,25.740000000000002
2018-04-19,0,39.0,,0.39,0.0
2018-04-20,38,39.0,,0.39,14.82
2018-04-21,0,39.0,,0.39,0.0
2018-04-22,38,31.0,False,0.31,11.78
2018-04-23,32,31.0,,0.31,9.92
2018-04-24,0,31.0,,0.31,0.0
2018-04-25,0,31.0,,0.31,0.0
2018-04-26,0,31.0,,0.31,0.0
2018-04-27,36,31.0,,0.31,11.16
2018-04-28,0,31.0,,0.31,0.0
2018-04-29,0,66.0,False,0.66,0.0
2018-04-30,59,66.0,,0.66,38.940000000000005
2018-05-01,100,66.0,,0.66,66.0
