Date,O3
2017-01-01,43
2017-01-02,32
2017-01-03,44
2017-01-04,43
2017-01-05,41
2017-01-06,41
2017-01-07,36
2017-01-08,37
2017-01-09,38
2017-01-10,37
2017-01-11,28
2017-01-12,37
2017-01-13,39
2017-01-14,39
2017-01-15,37
2017-01-16,49
2017-01-17,38
2017-01-18,33
2017-01-19,40
2017-01-20,42
2017-01-21,43
2017-01-22,37
2017-01-23,36
2017-01-24,33
2017-01-25,35
2017-01-26,33
2017-01-27,27
2017-01-28,37
2017-01-29,47
2017-01-30,29
2017-01-31,36
2017-02-01,37
2017-02-02,40
2017-02-03,42
2017-02-04,36
2017-02-05,33
2017-02-06,34
2017-02-07,23
2017-02-08,59
2017-02-09,47
2017-02-10,50
2017-02-11,40
2017-02-12,44
2017-02-13,52
2017-02-14,53
2017-02-15,42
2017-02-16,31
2017-02-17,66
2017-02-18,36
2017-02-19,26
2017-02-20,35
2017-02-21,50
2017-02-22,45
2017-02-23,58
2017-02-24,52
2017-02-25,49
2017-02-26,36
2017-02-27,50
2017-02-28,41
2017-03-01,54
2017-03-02,37
2017-03-03,44
2017-03-04,30
2017-03-05,45
2017-03-06,52
2017-03-07,34
2017-03-08,41
2017-03-09,36
2017-03-10,37
2017-03-11,44
2017-03-12,51
2017-03-13,49
2017-03-14,50
2017-03-15,54
2017-03-16,53
2017-03-17,48
2017-03-18,40
2017-03-19,50
2017-03-20,53
2017-03-21,42
2017-03-22,33
2017-03-23,49
2017-03-24,18
2017-03-25,46
2017-03-26,40
2017-03-27,40
2017-03-28,29
2017-03-29,28
2017-03-30,32
2017-03-31,33
2017-04-01,75
2017-04-02,35
2017-04-03,30
2017-04-04,37
2017-04-05,40
2017-04-06,46
2017-04-07,43
2017-04-08,45
2017-04-09,48
2017-04-10,46
2017-04-11,45
2017-04-12,41
2017-04-13,47
2017-04-14,48
2017-04-15,45
2017-04-16,49
2017-04-17,60
2017-04-18,48
2017-04-19,50
2017-04-20,47
2017-04-21,39
2017-04-22,51
2017-04-23,42
2017-04-24,52
2017-04-25,56
2017-04-26,64
2017-04-27,62
2017-04-28,55
2017-04-29,52
2017-04-30,62
2017-05-01,52
2017-05-02,55
2017-05-03,51
2017-05-04,61
2017-05-05,60
2017-05-06,55
2017-05-07,53
2017-05-08,45
2017-05-09,52
2017-05-10,51
2017-05-11,49
2017-05-12,64
2017-05-13,53
2017-05-14,52
2017-05-15,57
2017-05-16,50
2017-05-17,54
2017-05-18,62
2017-05-19,67
2017-05-20,67
2017-05-21,61
2017-05-22,54
2017-05-23,42
2017-05-24,50
2017-05-25,31
2017-05-26,49
2017-05-27,53
2017-05-28,58
2017-05-29,41
2017-05-30,52
2017-05-31,56
2017-06-01,31
2017-06-02,42
2017-06-03,46
2017-06-04,49
2017-06-05,45
2017-06-06,49
2017-06-07,53
2017-06-08,47
2017-06-09,51
2017-06-10,57
2017-06-11,51
2017-06-12,54
2017-06-13,54
2017-06-14,63
2017-06-15,59
2017-06-16,61
2017-06-17,34
2017-06-18,51
2017-06-19,40
2017-06-20,40
2017-06-21,59
2017-06-22,55
2017-06-23,44
2017-06-24,62
2017-06-25,61
2017-06-26,60
2017-06-27,48
2017-06-28,38
2017-06-29,53
2017-06-30,52
2017-07-01,60
2017-07-02,55
2017-07-03,57
2017-07-04,58
2017-07-05,52
2017-07-06,0
2017-07-07,44
2017-07-08,58
2017-07-09,67
2017-07-10,61
2017-07-11,65
2017-07-12,66
2017-07-13,65
2017-07-14,61
2017-07-15,61
2017-07-16,63
2017-07-17,53
2017-07-18,52
2017-07-19,54
2017-07-20,66
2017-07-21,69
2017-07-22,62
2017-07-23,58
2017-07-24,67
2017-07-25,66
2017-07-26,66
2017-07-27,56
2017-07-28,62
2017-07-29,64
2017-07-30,58
2017-07-31,60
2017-08-01,50
2017-08-02,57
2017-08-03,53
2017-08-04,57
2017-08-05,54
2017-08-06,53
2017-08-07,0
2017-08-08,61
2017-08-09,62
