Date,Pollen_unscaled,Pollen_monthly,isPartial,scale,Pollen
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,100,,,,
2018-01-05,55,,,,
2018-01-06,0,,,,
2018-01-07,0,77.0,False,0.77,0.0
2018-01-08,0,77.0,,0.77,0.0
2018-01-09,52,77.0,,0.77,40.04
2018-01-10,0,77.0,,0.77,0.0
2018-01-11,0,77.0,,0.77,0.0
2018-01-12,57,77.0,,0.77,43.89
2018-01-13,0,77.0,,0.77,0.0
2018-01-14,53,14.0,False,0.14,7.420000000000001
2018-01-15,47,14.0,,0.14,6.580000000000001
2018-01-16,0,14.0,,0.14,0.0
2018-01-17,0,14.0,,0.14,0.0
2018-01-18,46,14.0,,0.14,6.44
2018-01-19,0,14.0,,0.14,0.0
2018-01-20,62,14.0,,0.14,8.680000000000001
2018-01-21,0,29.0,False,0.29,0.0
2018-01-22,0,29.0,,0.29,0.0
2018-01-23,0,29.0,,0.29,0.0
2018-01-24,98,29.0,,0.29,28.419999999999998
2018-01-25,0,29.0,,0.29,0.0
2018-01-26,0,29.0,,0.29,0.0
2018-01-27,0,29.0,,0.29,0.0
2018-01-28,0,15.0,False,0.15,0.0
2018-01-29,0,15.0,,0.15,0.0
2018-01-30,0,15.0,,0.15,0.0
2018-01-31,0,15.0,,0.15,0.0
2018-02-01,0,15.0,,0.15,0.0
2018-02-02,100,15.0,,0.15,15.0
2018-02-03,0,15.0,,0.15,0.0
2018-02-04,0,14.0,False,0.14,0.0
2018-02-05,0,14.0,,0.14,0.0
2018-02-06,0,14.0,,0.14,0.0
2018-02-07,0,14.0,,0.14,0.0
2018-02-08,85,14.0,,0.14,11.9
2018-02-09,0,14.0,,0.14,0.0
2018-02-10,0,14.0,,0.14,0.0
2018-02-11,85,14.0,False,0.14,11.9
2018-02-12,82,14.0,,0.14,11.48
2018-02-13,0,14.0,,0.14,0.0
2018-02-14,0,14.0,,0.14,0.0
2018-02-15,90,14.0,,0.14,12.600000000000001
2018-02-16,0,14.0,,0.14,0.0
2018-02-17,0,14.0,,0.14,0.0
2018-02-18,0,14.0,False,0.14,0.0
2018-02-19,0,14.0,,0.14,0.0
2018-02-20,0,14.0,,0.14,0.0
2018-02-21,0,14.0,,0.14,0.0
2018-02-22,87,14.0,,0.14,12.180000000000001
2018-02-23,0,14.0,,0.14,0.0
2018-02-24,0,14.0,,0.14,0.0
2018-02-25,0,40.0,False,0.4,0.0
2018-02-26,0,40.0,,0.4,0.0
2018-02-27,0,40.0,,0.4,0.0
2018-02-28,0,40.0,,0.4,0.0
2018-03-01,48,40.0,,0.4,19.200000000000003
2018-03-02,0,40.0,,0.4,0.0
2018-03-03,0,40.0,,0.4,0.0
2018-03-04,0,0.0,False,0.0,0.0
2018-03-05,0,0.0,,0.0,0.0
2018-03-06,49,0.0,,0.0,0.0
2018-03-07,0,0.0,,0.0,0.0
2018-03-08,0,0.0,,0.0,0.0
2018-03-09,0,0.0,,0.0,0.0
2018-03-10,0,0.0,,0.0,0.0
2018-03-11,54,0.0,False,0.0,0.0
2018-03-12,0,0.0,,0.0,0.0
2018-03-13,0,0.0,,0.0,0.0
2018-03-14,50,0.0,,0.0,0.0
2018-03-15,0,0.0,,0.0,0.0
2018-03-16,61,0.0,,0.0,0.0
2018-03-17,0,0.0,,0.0,0.0
2018-03-18,0,27.0,False,0.27,0.0
2018-03-19,48,27.0,,0.27,12.96
2018-03-20,100,27.0,,0.27,27.0
2018-03-21,0,27.0,,0.27,0.0
2018-03-22,0,27.0,,0.27,0.0
2018-03-23,0,27.0,,0.27,0.0
2018-03-24,61,27.0,,0.27,16.470000000000002
2018-03-25,0,14.0,False,0.14,0.0
2018-03-26,0,14.0,,0.14,0.0
2018-03-27,0,14.0,,0.14,0.0
2018-03-28,0,14.0,,0.14,0.0
2018-03-29,0,14.0,,0.14,0.0
2018-03-30,0,14.0,,0.14,0.0
2018-03-31,0,14.0,,0.14,0.0
2018-04-01,0,0.0,False,0.0,0.0
2018-04-02,0,0.0,,0.0,0.0
2018-04-03,0,0.0,,0.0,0.0
2018-04-04,0,0.0,,0.0,0.0
2018-04-05,0,0.0,,0.0,0.0
2018-04-06,48,0.0,,0.0,0.0
2018-04-07,0,0.0,,0.0,0.0
2018-04-08,46,53.0,False,0.53,24.380000000000003
2018-04-09,39,53.0,,0.53,20.67
2018-04-10,0,53.0,,0.53,0.0
2018-04-11,0,53.0,,0.53,0.0
2018-04-12,0,53.0,,0.53,0.0
2018-04-13,47,53.0,,0.53,24.91
2018-04-14,0,53.0,,0.53,0.0
2018-04-15,47,71.0,False,0.71,33.37
2018-04-16,0,71.0,,0.71,0.0
2018-04-17,0,71.0,,0.71,0.0
2018-04-18,0,71.0,,0.71,0.0
2018-04-19,46,71.0,,0.71,32.66
2018-04-20,100,71.0,,0.71,71.0
2018-04-21,0,71.0,,0.71,0.0
2018-04-22,0,14.0,False,0.14,0.0
2018-04-23,0,14.0,,0.14,0.0
2018-04-24,48,14.0,,0.14,6.720000000000001
2018-04-25,0,14.0,,0.14,0.0
2018-04-26,0,14.0,,0.14,0.0
2018-04-27,0,14.0,,0.14,0.0
2018-04-28,100,14.0,,0.14,14.000000000000002
2018-04-29,45,13.0,False,0.13,5.8500000000000005
2018-04-30,0,13.0,,0.13,0.0
2018-05-01,100,13.0,,0.13,13.0
2018-05-02,34,13.0,,0.13,4.42
2018-05-03,0,13.0,,0.13,0.0
2018-05-04,0,13.0,,0.13,0.0
2018-05-05,91,13.0,,0.13,11.83
2018-05-06,0,40.0,False,0.4,0.0
2018-05-07,0,40.0,,0.4,0.0
2018-05-08,0,40.0,,0.4,0.0
2018-05-09,0,40.0,,0.4,0.0
2018-05-10,0,40.0,,0.4,0.0
2018-05-11,0,40.0,,0.4,0.0
2018-05-12,0,40.0,,0.4,0.0
2018-05-13,0,79.0,False,0.79,0.0
2018-05-14,0,79.0,,0.79,0.0
2018-05-15,0,79.0,,0.79,0.0
2018-05-16,0,79.0,,0.79,0.0
2018-05-17,0,79.0,,0.79,0.0
2018-05-18,41,79.0,,0.79,32.39
2018-05-19,0,79.0,,0.79,0.0
2018-05-20,38,41.0,False,0.41,15.579999999999998
2018-05-21,33,41.0,,0.41,13.53
2018-05-22,0,41.0,,0.41,0.0
2018-05-23,0,41.0,,0.41,0.0
2018-05-24,34,41.0,,0.41,13.94
2018-05-25,0,41.0,,0.41,0.0
2018-05-26,0,41.0,,0.41,0.0
2018-05-27,39,14.0,False,0.14,5.460000000000001
2018-05-28,34,14.0,,0.14,4.760000000000001
2018-05-29,0,14.0,,0.14,0.0
2018-05-30,36,14.0,,0.14,5.040000000000001
2018-05-31,37,14.0,,0.14,5.180000000000001
2018-06-01,97,14.0,,0.14,13.580000000000002
2018-06-02,0,14.0,,0.14,0.0
2018-06-03,96,42.0,False,0.42,40.32
2018-06-04,0,42.0,,0.42,0.0
2018-06-05,0,42.0,,0.42,0.0
2018-06-06,0,42.0,,0.42,0.0
2018-06-07,0,42.0,,0.42,0.0
2018-06-08,0,42.0,,0.42,0.0
2018-06-09,0,42.0,,0.42,0.0
2018-06-10,0,39.0,False,0.39,0.0
2018-06-11,73,39.0,,0.39,28.470000000000002
2018-06-12,71,39.0,,0.39,27.69
2018-06-13,0,39.0,,0.39,0.0
2018-06-14,78,39.0,,0.39,30.42
2018-06-15,0,39.0,,0.39,0.0
2018-06-16,100,39.0,,0.39,39.0
2018-06-17,0,0.0,False,0.0,0.0
2018-06-18,0,0.0,,0.0,0.0
2018-06-19,0,0.0,,0.0,0.0
2018-06-20,0,0.0,,0.0,0.0
2018-06-21,0,0.0,,0.0,0.0
2018-06-22,0,0.0,,0.0,0.0
2018-06-23,0,0.0,,0.0,0.0
2018-06-24,0,28.0,False,0.28,0.0
2018-06-25,78,28.0,,0.28,21.840000000000003
2018-06-26,0,28.0,,0.28,0.0
2018-06-27,81,28.0,,0.28,22.680000000000003
2018-06-28,0,28.0,,0.28,0.0
2018-06-29,0,28.0,,0.28,0.0
2018-06-30,0,28.0,,0.28,0.0
2018-07-01,0,14.0,False,0.14,0.0
2018-07-02,0,14.0,,0.14,0.0
2018-07-03,0,14.0,,0.14,0.0
2018-07-04,0,14.0,,0.14,0.0
2018-07-05,0,14.0,,0.14,0.0
2018-07-06,0,14.0,,0.14,0.0
2018-07-07,0,14.0,,0.14,0.0
2018-07-08,0,15.0,False,0.15,0.0
2018-07-09,100,15.0,,0.15,15.0
2018-07-10,0,15.0,,0.15,0.0
2018-07-11,0,15.0,,0.15,0.0
2018-07-12,0,15.0,,0.15,0.0
2018-07-13,0,15.0,,0.15,0.0
2018-07-14,0,15.0,,0.15,0.0
2018-07-15,0,15.0,False,0.15,0.0
2018-07-16,0,15.0,,0.15,0.0
2018-07-17,0,15.0,,0.15,0.0
2018-07-18,0,15.0,,0.15,0.0
2018-07-19,0,15.0,,0.15,0.0
2018-07-20,0,15.0,,0.15,0.0
2018-07-21,0,15.0,,0.15,0.0
2018-07-22,0,41.0,False,0.41,0.0
2018-07-23,0,41.0,,0.41,0.0
2018-07-24,0,41.0,,0.41,0.0
2018-07-25,0,41.0,,0.41,0.0
2018-07-26,0,41.0,,0.41,0.0
2018-07-27,0,41.0,,0.41,0.0
2018-07-28,0,41.0,,0.41,0.0
2018-07-29,0,14.0,False,0.14,0.0
2018-07-30,0,14.0,,0.14,0.0
2018-07-31,0,14.0,,0.14,0.0
2018-08-01,0,14.0,,0.14,0.0
2018-08-02,0,14.0,,0.14,0.0
2018-08-03,0,14.0,,0.14,0.0
2018-08-04,0,14.0,,0.14,0.0
2018-08-05,0,0.0,False,0.0,0.0
2018-08-06,0,0.0,,0.0,0.0
2018-08-07,91,0.0,,0.0,0.0
2018-08-08,91,0.0,,0.0,0.0
2018-08-09,0,0.0,,0.0,0.0
2018-08-10,0,0.0,,0.0,0.0
2018-08-11,0,0.0,,0.0,0.0
2018-08-12,0,0.0,False,0.0,0.0
2018-08-13,0,0.0,,0.0,0.0
2018-08-14,0,0.0,,0.0,0.0
2018-08-15,0,0.0,,0.0,0.0
2018-08-16,0,0.0,,0.0,0.0
2018-08-17,0,0.0,,0.0,0.0
2018-08-18,0,0.0,,0.0,0.0
2018-08-19,0,28.0,False,0.28,0.0
2018-08-20,0,28.0,,0.28,0.0
2018-08-21,0,28.0,,0.28,0.0
2018-08-22,0,28.0,,0.28,0.0
2018-08-23,97,28.0,,0.28,27.160000000000004
2018-08-24,0,28.0,,0.28,0.0
2018-08-25,0,28.0,,0.28,0.0
2018-08-26,0,29.0,False,0.29,0.0
2018-08-27,100,29.0,,0.29,28.999999999999996
2018-08-28,0,29.0,,0.29,0.0
2018-08-29,96,29.0,,0.29,27.839999999999996
2018-08-30,100,29.0,,0.29,28.999999999999996
2018-08-31,0,29.0,,0.29,0.0
2018-09-01,0,29.0,,0.29,0.0
2018-09-02,39,100.0,False,1.0,39.0
2018-09-03,0,100.0,,1.0,0.0
2018-09-04,34,100.0,,1.0,34.0
2018-09-05,0,100.0,,1.0,0.0
2018-09-06,100,100.0,,1.0,100.0
2018-09-07,0,100.0,,1.0,0.0
2018-09-08,0,100.0,,1.0,0.0
2018-09-09,0,43.0,False,0.43,0.0
2018-09-10,67,43.0,,0.43,28.81
2018-09-11,0,43.0,,0.43,0.0
2018-09-12,0,43.0,,0.43,0.0
2018-09-13,0,43.0,,0.43,0.0
2018-09-14,0,43.0,,0.43,0.0
2018-09-15,0,43.0,,0.43,0.0
2018-09-16,39,28.0,False,0.28,10.920000000000002
2018-09-17,0,28.0,,0.28,0.0
2018-09-18,33,28.0,,0.28,9.24
2018-09-19,0,28.0,,0.28,0.0
2018-09-20,0,28.0,,0.28,0.0
2018-09-21,0,28.0,,0.28,0.0
2018-09-22,0,28.0,,0.28,0.0
2018-09-23,0,14.0,False,0.14,0.0
2018-09-24,0,14.0,,0.14,0.0
2018-09-25,0,14.0,,0.14,0.0
2018-09-26,0,14.0,,0.14,0.0
2018-09-27,36,14.0,,0.14,5.040000000000001
2018-09-28,43,14.0,,0.14,6.0200000000000005
2018-09-29,0,14.0,,0.14,0.0
2018-09-30,0,15.0,False,0.15,0.0
2018-10-01,0,15.0,,0.15,0.0
2018-10-02,0,15.0,,0.15,0.0
2018-10-03,0,15.0,,0.15,0.0
2018-10-04,0,15.0,,0.15,0.0
2018-10-05,0,15.0,,0.15,0.0
2018-10-06,0,15.0,,0.15,0.0
2018-10-07,53,0.0,False,0.0,0.0
2018-10-08,0,0.0,,0.0,0.0
2018-10-09,0,0.0,,0.0,0.0
2018-10-10,50,0.0,,0.0,0.0
2018-10-11,0,0.0,,0.0,0.0
2018-10-12,0,0.0,,0.0,0.0
2018-10-13,0,0.0,,0.0,0.0
2018-10-14,53,15.0,False,0.15,7.949999999999999
2018-10-15,0,15.0,,0.15,0.0
2018-10-16,0,15.0,,0.15,0.0
2018-10-17,0,15.0,,0.15,0.0
2018-10-18,0,15.0,,0.15,0.0
2018-10-19,0,15.0,,0.15,0.0
2018-10-20,65,15.0,,0.15,9.75
2018-10-21,63,59.0,False,0.59,37.169999999999995
2018-10-22,100,59.0,,0.59,59.0
2018-10-23,45,59.0,,0.59,26.549999999999997
2018-10-24,0,59.0,,0.59,0.0
2018-10-25,0,59.0,,0.59,0.0
2018-10-26,54,59.0,,0.59,31.86
2018-10-27,0,59.0,,0.59,0.0
2018-10-28,0,42.0,False,0.42,0.0
2018-10-29,0,42.0,,0.42,0.0
2018-10-30,0,42.0,,0.42,0.0
2018-10-31,0,42.0,,0.42,0.0
2018-11-01,56,42.0,,0.42,23.52
2018-11-02,0,42.0,,0.42,0.0
2018-11-03,0,42.0,,0.42,0.0
2018-11-04,0,41.0,False,0.41,0.0
2018-11-05,0,41.0,,0.41,0.0
2018-11-06,0,41.0,,0.41,0.0
2018-11-07,52,41.0,,0.41,21.32
2018-11-08,100,41.0,,0.41,41.0
2018-11-09,0,41.0,,0.41,0.0
2018-11-10,0,41.0,,0.41,0.0
2018-11-11,0,15.0,False,0.15,0.0
2018-11-12,55,15.0,,0.15,8.25
2018-11-13,0,15.0,,0.15,0.0
2018-11-14,0,15.0,,0.15,0.0
2018-11-15,0,15.0,,0.15,0.0
2018-11-16,0,15.0,,0.15,0.0
2018-11-17,0,15.0,,0.15,0.0
2018-11-18,0,0.0,False,0.0,0.0
2018-11-19,0,0.0,,0.0,0.0
2018-11-20,0,0.0,,0.0,0.0
2018-11-21,0,0.0,,0.0,0.0
2018-11-22,0,0.0,,0.0,0.0
2018-11-23,0,0.0,,0.0,0.0
2018-11-24,0,0.0,,0.0,0.0
2018-11-25,0,42.0,False,0.42,0.0
2018-11-26,0,42.0,,0.42,0.0
2018-11-27,53,42.0,,0.42,22.259999999999998
2018-11-28,0,42.0,,0.42,0.0
2018-11-29,0,42.0,,0.42,0.0
2018-11-30,0,42.0,,0.42,0.0
2018-12-01,0,42.0,,0.42,0.0
2018-12-02,0,15.0,False,0.15,0.0
2018-12-03,0,15.0,,0.15,0.0
2018-12-04,0,15.0,,0.15,0.0
2018-12-05,0,15.0,,0.15,0.0
2018-12-06,0,15.0,,0.15,0.0
2018-12-07,0,15.0,,0.15,0.0
2018-12-08,0,15.0,,0.15,0.0
2018-12-09,0,16.0,False,0.16,0.0
2018-12-10,0,16.0,,0.16,0.0
2018-12-11,76,16.0,,0.16,12.16
2018-12-12,0,16.0,,0.16,0.0
2018-12-13,0,16.0,,0.16,0.0
2018-12-14,0,16.0,,0.16,0.0
2018-12-15,0,16.0,,0.16,0.0
2018-12-16,0,0.0,False,0.0,0.0
2018-12-17,0,0.0,,0.0,0.0
2018-12-18,74,0.0,,0.0,0.0
2018-12-19,0,0.0,,0.0,0.0
2018-12-20,0,0.0,,0.0,0.0
2018-12-21,0,0.0,,0.0,0.0
2018-12-22,0,0.0,,0.0,0.0
2018-12-23,0,38.0,False,0.38,0.0
2018-12-24,0,38.0,,0.38,0.0
2018-12-25,0,38.0,,0.38,0.0
2018-12-26,0,38.0,,0.38,0.0
2018-12-27,0,38.0,,0.38,0.0
2018-12-28,96,38.0,,0.38,36.480000000000004
2018-12-29,0,38.0,,0.38,0.0
2018-12-30,100,56.0,False,0.56,56.00000000000001
2018-12-31,0,56.0,,0.56,0.0
2019-01-01,0,56.0,,0.56,0.0
2019-01-02,0,56.0,,0.56,0.0
2019-01-03,100,56.0,,0.56,56.00000000000001
2019-01-04,0,56.0,,0.56,0.0
2019-01-05,0,56.0,,0.56,0.0
2019-01-06,0,48.0,False,0.48,0.0
2019-01-07,0,48.0,,0.48,0.0
2019-01-08,0,48.0,,0.48,0.0
2019-01-09,0,48.0,,0.48,0.0
2019-01-10,0,48.0,,0.48,0.0
2019-01-11,0,48.0,,0.48,0.0
2019-01-12,0,48.0,,0.48,0.0
2019-01-13,0,31.0,False,0.31,0.0
2019-01-14,0,31.0,,0.31,0.0
2019-01-15,83,31.0,,0.31,25.73
2019-01-16,85,31.0,,0.31,26.35
2019-01-17,87,31.0,,0.31,26.97
2019-01-18,0,31.0,,0.31,0.0
2019-01-19,0,31.0,,0.31,0.0
2019-01-20,0,30.0,False,0.3,0.0
2019-01-21,79,30.0,,0.3,23.7
2019-01-22,83,30.0,,0.3,24.9
2019-01-23,0,30.0,,0.3,0.0
2019-01-24,0,30.0,,0.3,0.0
2019-01-25,0,30.0,,0.3,0.0
2019-01-26,0,30.0,,0.3,0.0
2019-01-27,0,15.0,False,0.15,0.0
2019-01-28,0,15.0,,0.15,0.0
2019-01-29,0,15.0,,0.15,0.0
2019-01-30,0,15.0,,0.15,0.0
2019-01-31,0,15.0,,0.15,0.0
2019-02-01,0,15.0,,0.15,0.0
2019-02-02,61,15.0,,0.15,9.15
2019-02-03,0,15.0,False,0.15,0.0
2019-02-04,0,15.0,,0.15,0.0
2019-02-05,0,15.0,,0.15,0.0
