Date,puffer_unscaled,puffer_monthly,isPartial,scale,puffer
2018-01-01,0,,,,
2018-01-02,97,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,100,,,,
2018-01-07,0,0.0,False,0.0,0.0
2018-01-08,87,0.0,,0.0,0.0
2018-01-09,0,0.0,,0.0,0.0
2018-01-10,0,0.0,,0.0,0.0
2018-01-11,0,0.0,,0.0,0.0
2018-01-12,0,0.0,,0.0,0.0
2018-01-13,0,0.0,,0.0,0.0
2018-01-14,0,25.0,False,0.25,0.0
2018-01-15,0,25.0,,0.25,0.0
2018-01-16,0,25.0,,0.25,0.0
2018-01-17,0,25.0,,0.25,0.0
2018-01-18,0,25.0,,0.25,0.0
2018-01-19,0,25.0,,0.25,0.0
2018-01-20,0,25.0,,0.25,0.0
2018-01-21,88,25.0,False,0.25,22.0
2018-01-22,0,25.0,,0.25,0.0
2018-01-23,0,25.0,,0.25,0.0
2018-01-24,0,25.0,,0.25,0.0
2018-01-25,0,25.0,,0.25,0.0
2018-01-26,0,25.0,,0.25,0.0
2018-01-27,0,25.0,,0.25,0.0
2018-01-28,0,0.0,False,0.0,0.0
2018-01-29,0,0.0,,0.0,0.0
2018-01-30,0,0.0,,0.0,0.0
2018-01-31,0,0.0,,0.0,0.0
2018-02-01,0,0.0,,0.0,0.0
2018-02-02,0,0.0,,0.0,0.0
2018-02-03,0,0.0,,0.0,0.0
2018-02-04,100,12.0,False,0.12,12.0
2018-02-05,0,12.0,,0.12,0.0
2018-02-06,0,12.0,,0.12,0.0
2018-02-07,0,12.0,,0.12,0.0
2018-02-08,0,12.0,,0.12,0.0
2018-02-09,95,12.0,,0.12,11.4
2018-02-10,100,12.0,,0.12,12.0
2018-02-11,0,0.0,False,0.0,0.0
2018-02-12,0,0.0,,0.0,0.0
2018-02-13,0,0.0,,0.0,0.0
2018-02-14,0,0.0,,0.0,0.0
2018-02-15,0,0.0,,0.0,0.0
2018-02-16,0,0.0,,0.0,0.0
2018-02-17,0,0.0,,0.0,0.0
2018-02-18,0,12.0,False,0.12,0.0
2018-02-19,0,12.0,,0.12,0.0
2018-02-20,0,12.0,,0.12,0.0
2018-02-21,85,12.0,,0.12,10.2
2018-02-22,0,12.0,,0.12,0.0
2018-02-23,0,12.0,,0.12,0.0
2018-02-24,0,12.0,,0.12,0.0
2018-02-25,0,35.0,False,0.35,0.0
